dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID,past20dxdy
0,0,-0.0,-0.0,0,0.7460923194885254,430.70965498840616,-244,367,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,2,-1.5800000429153442,1.5800000429153442,0,1.029325246810913,429.32334333609,-243,366,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-5,5,-5.900000333786011,5.900000333786011,0,1.0373642444610596,422.3944958021552,-238,361,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-6,6,-7.394999742507935,7.394999742507935,0,1.0453124046325684,412.7020227063031,-231,354,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-4,4,-4.047999858856201,4.047999858856201,0,1.0532763004302979,407.16783193338387,-227,350,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-4,3,-4.047999858856201,3.035999894142151,0,1.0613124370574951,402.47787819469784,-223,347,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-4,4,-4.047999858856201,4.047999858856201,0,1.069087266921997,396.95208563171167,-219,343,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.0774073600769043,394.1905491225642,-217,341,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.0852863788604736,391.42994407492824,-215,339,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,4,-3.035999894142151,4.047999858856201,0,1.0933163166046143,386.4454565258631,-212,335,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.1011712551116943,384.2207503417343,-211,333,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.109290361404419,381.4613646325778,-209,331,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,4,-1.840000033378601,3.680000066757202,0,1.1174492835998535,378.3915550060274,-208,328,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.1252384185791016,376.16706229299257,-207,326,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.1334784030914307,373.40709435272584,-205,324,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,4,-1.840000033378601,3.680000066757202,0,1.1413743495941162,370.33800756695354,-204,321,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,4,-1.840000033378601,3.680000066757202,0,1.149207353591919,367.27046001509314,-203,318,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.1573803424835205,365.04666376332426,-202,316,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-1,2,-0.7900000214576721,1.5800000429153442,0,1.1654002666473389,364.20448955083367,-202,315,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.173126459121704,361.9811823197512,-201,313,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.1813063621520996,359.218092731112,-199,311,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-1,3,-0.8733332753181458,2.6199998259544373,0,1.1893033981323242,357.535032343857,-199,309,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.1972384452819824,355.3121952522253,-198,307,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-4,5,-4.446666717529297,5.558333396911621,0,1.2051172256469727,348.9428923937623,-194,302,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-5,4,-5.558333396911621,4.446666717529297,0,1.2133593559265137,342.8809997718778,-189,298,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-3,3,-2.7600000500679016,2.7600000500679016,0,1.2213573455810547,340.12140751459344,-187,296,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-1,3,-0.8733332753181458,2.6199998259544373,0,1.2292282581329346,338.4322028745334,-187,294,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,2,-1.5800000429153442,1.5800000429153442,0,1.2372183799743652,337.0518693221519,-186,293,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-1,3,-0.8733332753181458,2.6199998259544373,0,1.2451622486114502,335.36502428589955,-186,291,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,2,-1.5800000429153442,1.5800000429153442,0,1.2532892227172852,333.98401125633734,-185,290,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
-2,3,-1.7466665506362915,2.6199998259544373,0,1.2612693309783936,331.76014981270123,-184,288,716,907,20,960,540,1,"[(3, 3), (3, 3), (5, 4), (4, 4), (4, 5), (5, 5), (6, 6), (5, 5), (6, 7), (6, 5), (6, 5), (4, 4), (4, 3), (3, 2), (2, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 0)]"
