dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,-0.0,-0.0,0,0.8428542613983154,538.1678575035205,542,-82,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.0674521923065186,538.1678575035205,542,-82,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.0694763660430908,538.1678575035205,542,-82,1502,458,20,960,540,1
1,0,0.6899999976158142,-0.0,0,1.0757341384887695,538.1678575035205,542,-82,1502,458,20,960,540,1
3,0,2.6199998259544373,-0.0,0,1.0757882595062256,536.1904429775387,540,-82,1502,458,20,960,540,1
2,0,1.5800000429153442,-0.0,0,1.0758073329925537,535.2017975025394,539,-82,1502,458,20,960,540,1
3,0,2.6199998259544373,-0.0,0,1.0774261951446533,533.2246312530389,537,-82,1502,458,20,960,540,1
3,0,2.6199998259544373,-0.0,0,1.0793952941894531,531.2476327892807,535,-82,1502,458,20,960,540,1
4,-1,3.680000066757202,-0.9200000166893005,0,1.0850613117218018,528.2824537359545,532,-82,1502,458,20,960,540,1
3,0,2.6199998259544373,-0.0,0,1.085282325744629,526.3058828690955,530,-82,1502,458,20,960,540,1
4,-1,3.680000066757202,-0.9200000166893005,0,1.0853023529052734,523.3413541063546,527,-82,1502,458,20,960,540,1
5,0,5.0599998235702515,-0.0,0,1.087395191192627,518.4013626023309,522,-82,1502,458,20,960,540,1
5,0,5.0599998235702515,-0.0,0,1.0937292575836182,513.4625105965088,517,-82,1502,458,20,960,540,1
5,0,5.0599998235702515,-0.0,0,1.0939433574676514,508.52483064941066,512,-82,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.0939631462097168,502.6012095186667,506,-82,1502,458,20,960,540,1
6,-1,6.670000076293945,-1.1116666793823242,0,1.095412254333496,496.5185090398968,500,-81,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.0974183082580566,490.5966440159183,494,-81,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.1028151512145996,484.67666207331837,488,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1028602123260498,476.7864007960781,480,-81,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.1032061576843262,470.8710845954454,474,-81,1502,458,20,960,540,1
8,0,9.859999656677246,-0.0,0,1.1054272651672363,462.00211863931287,465,-81,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.1073901653289795,456.09226554406587,459,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1133723258972168,448.21610622063474,451,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1134381294250488,440.3443127208336,443,-81,1502,458,20,960,540,1
8,0,9.859999656677246,-0.0,0,1.1134741306304932,431.49405432010064,434,-81,1502,458,20,960,540,1
6,0,6.670000076293945,-0.0,0,1.1153943538665771,425.59729108432253,428,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1171753406524658,417.7394066484873,420,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1239192485809326,409.88688953097835,412,-81,1502,458,20,960,540,1
7,0,8.260000467300415,-0.0,0,1.1241211891174316,402.0400465974151,404,-81,1502,458,20,960,540,1
