dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.5985565185546875,807.7848127716728,774,264,1734,864,20,960,600,1
3,-2,0,2.6199998259544373,-1.7466665506362915,0.7024815082550049,806.2162703597619,772,265,1734,864,20,960,600,1
3,0,0,2.6199998259544373,-0.0,0.7105526924133301,804.3248737451165,770,265,1734,864,20,960,600,1
6,0,0,6.670000076293945,-0.0,0.7184455394744873,798.6538196286468,764,265,1734,864,20,960,600,1
8,0,0,9.859999656677246,-0.0,0.726529598236084,790.1562347441904,755,265,1734,864,20,960,600,1
11,4,0,14.649999141693115,5.327272415161133,0.7353277206420898,775.2903921480257,741,260,1734,864,20,960,600,1
14,6,0,22.017333030700684,9.435999870300293,0.742661714553833,751.5523619554995,719,251,1734,864,20,960,600,1
19,8,0,38.085498332977295,16.035999298095703,0.7505006790161133,710.4068295067725,681,235,1734,864,20,960,600,1
18,8,0,34.844210386276245,15.486315727233887,0.7584035396575928,673.3805674732052,647,220,1734,864,20,960,600,1
17,7,0,31.629446029663086,13.023889541625977,0.7664315700531006,639.8499826883125,616,207,1734,864,20,960,600,1
20,7,0,41.32380962371826,14.463333368301392,0.7748956680297852,596.5261742085003,575,193,1734,864,20,960,600,1
17,8,0,31.629446029663086,14.884445190429688,0.7824695110321045,562.6927623080285,544,179,1734,864,20,960,600,1
17,6,0,31.629446029663086,11.163333892822266,0.7909536361694336,529.8082993063371,513,168,1734,864,20,960,600,1
17,6,0,31.629446029663086,11.163333892822266,0.7986636161804199,496.9250437688002,482,157,1734,864,20,960,600,1
14,5,0,20.269999980926514,7.239285707473755,0.8066797256469727,475.74067155221826,462,150,1734,864,20,960,600,1
12,4,0,16.249999523162842,5.416666507720947,0.8145925998687744,458.97867755368156,446,145,1734,864,20,960,600,1
11,3,0,14.649999141693115,3.9954543113708496,0.8224925994873047,444.73948585976126,432,142,1734,864,20,960,600,1
9,2,0,11.459999799728394,2.5466666221618652,0.8305075168609619,433.6676684186036,421,140,1734,864,20,960,600,1
8,3,0,9.859999656677246,3.6974998712539673,0.8386275768280029,424.18083790052276,412,137,1734,864,20,960,600,1
6,1,0,6.670000076293945,1.1116666793823242,0.8465156555175781,418.1728622881184,406,136,1734,864,20,960,600,1
6,1,0,6.670000076293945,1.1116666793823242,0.8545846939086914,412.1670285562339,400,135,1734,864,20,960,600,1
5,1,0,5.0599998235702515,1.0119999647140503,0.8627316951751709,407.11029716371183,395,134,1734,864,20,960,600,1
8,0,0,9.859999656677246,-0.0,0.8707916736602783,398.5976015592847,386,134,1734,864,20,960,600,1
8,2,0,9.859999656677246,2.4649999141693115,0.8785006999969482,389.44085920195994,377,132,1734,864,20,960,600,1
9,2,0,11.459999799728394,2.5466666221618652,0.8866045475006104,378.40185375458753,366,130,1734,864,20,960,600,1
11,2,0,14.649999141693115,2.6636362075805664,0.894472599029541,364.550397143028,352,128,1734,864,20,960,600,1
13,4,0,17.84999990463257,5.492307662963867,0.9025347232818604,346.8669219751251,335,123,1734,864,20,960,600,1
12,4,0,16.249999523162842,5.416666507720947,0.9105286598205566,330.1249770305027,319,118,1734,864,20,960,600,1
12,4,0,16.249999523162842,5.416666507720947,0.9189226627349854,313.3852192045889,303,113,1734,864,20,960,600,1
11,4,0,14.649999141693115,5.327272415161133,0.926830530166626,298.5206638136253,289,108,1734,864,20,960,600,1
10,4,0,13.059999942779541,5.223999977111816,0.9345955848693848,284.5929394944828,276,103,1734,864,20,960,600,1
11,5,0,14.895832896232605,6.770833134651184,0.942603588104248,269.3796699833401,262,97,1734,864,20,960,600,1
12,4,0,16.249999523162842,5.416666507720947,0.9504976272583008,252.64043862284421,246,92,1734,864,20,960,600,1
12,4,0,16.249999523162842,5.416666507720947,0.9584255218505859,235.9044529893674,230,87,1734,864,20,960,600,1
11,4,0,14.649999141693115,5.327272415161133,0.9667994976043701,221.0411218809327,216,82,1734,864,20,960,600,1
10,4,0,13.059999942779541,5.223999977111816,0.974724531173706,207.1128738697915,203,77,1734,864,20,960,600,1
10,4,0,13.059999942779541,5.223999977111816,0.982738733291626,193.18464508914053,190,72,1734,864,20,960,600,1
8,4,0,9.859999656677246,4.929999828338623,0.990675687789917,183.35201059208046,181,68,1734,864,20,960,600,1
6,2,0,6.670000076293945,2.2233333587646484,0.9983656406402588,177.0320828093405,175,66,1734,864,20,960,600,1
5,2,0,5.0599998235702515,2.0239999294281006,1.006523609161377,171.64801127455263,170,64,1734,864,20,960,600,1
4,2,0,3.680000066757202,1.840000033378601,1.0144436359405518,168.48809484108457,167,63,1734,864,20,960,600,1
3,2,0,2.6199998259544373,1.7466665506362915,1.0225896835327148,166.26400653565094,165,62,1734,864,20,960,600,1
3,1,0,2.6199998259544373,0.8733332753181458,1.0315065383911133,164.39323381370048,163,62,1734,864,20,960,600,1
3,1,0,2.6199998259544373,0.8733332753181458,1.038651704788208,162.52536045462998,161,62,1734,864,20,960,600,1
3,3,0,2.7600000500679016,2.7600000500679016,1.0465927124023438,159.94410845922255,159,60,1734,864,20,960,600,1
3,2,0,2.6199998259544373,1.7466665506362915,1.0545375347137451,157.72000476985446,157,59,1734,864,20,960,600,1
5,3,0,5.0599998235702515,3.035999894142151,1.062436580657959,151.9876538505327,152,56,1734,864,20,960,600,1
3,2,0,2.6199998259544373,1.7466665506362915,1.070509672164917,149.76545308670458,150,55,1734,864,20,960,600,1
4,3,0,4.047999858856201,3.035999894142151,1.0786375999450684,144.983870128475,146,52,1734,864,20,960,600,1
6,4,0,7.080000400543213,4.720000267028809,1.0866587162017822,137.05441169852742,139,48,1734,864,20,960,600,1
6,3,0,6.670000076293945,3.3350000381469727,1.0946276187896729,130.40655255364686,133,45,1734,864,20,960,600,1
4,2,0,3.680000066757202,1.840000033378601,1.103494644165039,127.2443077143821,130,44,1734,864,20,960,600,1
6,4,0,7.080000400543213,4.720000267028809,1.1104886531829834,119.34063553268942,123,40,1734,864,20,960,600,1
7,3,0,8.260000467300415,3.5400002002716064,1.1185956001281738,110.8056290079233,115,37,1734,864,20,960,600,1
7,4,0,8.62749969959259,4.929999828338623,1.1265506744384766,101.97321108193691,107,33,1734,864,20,960,600,1
7,3,0,8.260000467300415,3.5400002002716064,1.134537696838379,93.4456378974,99,30,1734,864,20,960,600,1
6,2,0,6.670000076293945,2.2233333587646484,1.1425297260284424,87.12363255150623,93,28,1734,864,20,960,600,1
9,3,0,11.459999799728394,3.819999933242798,1.1505565643310547,75.72630868059116,82,25,1734,864,20,960,600,1
8,3,0,9.859999656677246,3.6974998712539673,1.1584465503692627,66.24303246854758,73,22,1734,864,20,960,600,1
7,2,0,8.260000467300415,2.3600001335144043,1.166564702987671,58.007352543677214,65,20,1734,864,20,960,600,1
8,4,0,9.859999656677246,4.929999828338623,1.1750855445861816,48.240879114244144,56,16,1734,864,20,960,600,1
11,3,0,14.649999141693115,3.9954543113708496,1.1828396320343018,33.965895873961216,42,13,1734,864,20,960,600,1
7,2,0,8.260000467300415,2.3600001335144043,1.1906566619873047,25.735136770411273,34,11,1734,864,20,960,600,1
8,2,0,9.859999656677246,2.4649999141693115,1.198624610900879,16.570660511172846,25,9,1734,864,20,960,600,1
9,3,0,11.459999799728394,3.819999933242798,1.2066116333007812,5.231546211727817,14,6,1734,864,20,960,600,1
7,2,0,8.260000467300415,2.3600001335144043,1.2145295143127441,-2.7888974490720218,6,4,1734,864,20,960,600,1
4,1,0,3.680000066757202,0.9200000166893005,1.2225077152252197,-5.0,3,4,1734,864,20,960,600,1
5,2,0,5.0599998235702515,2.0239999294281006,1.2305326461791992,-7.17157287525381,-2,2,1734,864,20,960,600,1
5,2,0,5.0599998235702515,2.0239999294281006,1.2385375499725342,-3.0,-7,0,1734,864,20,960,600,1
3,1,0,2.6199998259544373,0.8733332753181458,1.2466444969177246,-1.0,-9,0,1734,864,20,960,600,1
4,2,0,3.680000066757202,1.840000033378601,1.254612684249878,2.0415945787922958,-12,-1,1734,864,20,960,600,1
2,1,0,1.5800000429153442,0.7900000214576721,1.2626335620880127,3.0384048104052983,-13,-1,1734,864,20,960,600,1
2,1,0,1.5800000429153442,0.7900000214576721,1.270430564880371,4.035668847618199,-14,-1,1734,864,20,960,600,1
3,1,0,2.6199998259544373,0.8733332753181458,1.27864670753479,6.0312195418813985,-16,-1,1734,864,20,960,600,1
