dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
1,0,4,0.6899999976158142,-0.0,0.26685237884521484,38.16637831516918,1,-32,-36,928,564,20,960,600
1,0,4,0.6899999976158142,-0.0,0.28277134895324707,38.16637831516918,1,-32,-36,928,564,20,960,600
1,0,4,0.6899999976158142,-0.0,0.29070138931274414,38.16637831516918,1,-32,-36,928,564,20,960,600
1,0,4,0.6899999976158142,-0.0,0.29865145683288574,38.16637831516918,1,-32,-36,928,564,20,960,600
0,-1,4,-0.0,-0.6899999976158142,0.3066134452819824,38.16637831516918,1,-32,-36,928,564,20,960,600
0,0,0,-0.0,-0.0,0.338118314743042,38.16637831516918,1,-32,-36,928,564,20,960,600
-2,0,0,-1.5800000429153442,-0.0,0.586890459060669,37.50789408087881,1,-31,-36,928,564,20,960,600
-2,-1,0,-1.5800000429153442,-0.7900000214576721,0.5948033332824707,36.861498055439924,1,-30,-36,928,564,20,960,600
-3,-5,0,-3.035999894142151,-5.0599998235702515,0.6027054786682129,31.10960958218893,1,-27,-31,928,564,20,960,600
-4,-5,0,-4.446666717529297,-5.558333396911621,0.6107003688812256,24.713109915419565,1,-23,-26,928,564,20,960,600
-3,-7,0,-3.5400002002716064,-8.260000467300415,0.6187703609466553,16.90724809414742,1,-20,-18,928,564,20,960,600
-5,-8,0,-6.366666555404663,-10.186666488647461,0.6268062591552734,6.124515496597098,1,-14,-8,928,564,20,960,600
-4,-6,0,-4.720000267028809,-7.080000400543213,0.6345384120941162,0.049875621120889946,1,-10,-1,928,564,20,960,600
-5,-6,0,-5.900000333786011,-7.080000400543213,0.6429994106292725,-2.189750324093346,1,-5,6,928,564,20,960,600
-5,-6,0,-5.900000333786011,-7.080000400543213,0.6506874561309814,3.0,1,0,13,928,564,20,960,600
-4,-4,0,-4.047999858856201,-4.047999858856201,0.6588282585144043,7.464249196572979,1,4,17,928,564,20,960,600
-4,-4,0,-4.047999858856201,-4.047999858856201,0.6667873859405518,12.472205054244231,1,8,21,928,564,20,960,600
-3,-2,0,-2.6199998259544373,-1.7466665506362915,0.674647331237793,14.166091947189145,1,10,22,928,564,20,960,600
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.682610273361206,15.079872407968907,1,10,23,928,564,20,960,600
-2,-1,0,-1.5800000429153442,-0.7900000214576721,0.6906664371490479,15.495097567963924,1,11,23,928,564,20,960,600
-1,0,0,-0.6899999976158142,-0.0,0.7074854373931885,15.495097567963924,1,11,23,928,564,20,960,600
0,-1,0,-0.0,-0.6899999976158142,0.7149052619934082,15.495097567963924,1,11,23,928,564,20,960,600
-1,0,0,-0.6899999976158142,-0.0,0.7305963039398193,15.495097567963924,1,11,23,928,564,20,960,600
-1,0,0,-0.6899999976158142,-0.0,0.7387843132019043,15.495097567963924,1,11,23,928,564,20,960,600
-1,-1,0,-0.6899999976158142,-0.6899999976158142,0.7466914653778076,15.495097567963924,1,11,23,928,564,20,960,600
-1,0,0,-0.6899999976158142,-0.0,0.7548444271087646,15.495097567963924,1,11,23,928,564,20,960,600
-1,-1,0,-0.6899999976158142,-0.6899999976158142,0.7628352642059326,15.495097567963924,1,11,23,928,564,20,960,600
0,0,1,-0.0,-0.0,0.8147733211517334,15.495097567963924,1,11,23,928,564,20,960,600
1,0,1,0.6899999976158142,-0.0,0.858696460723877,15.495097567963924,1,11,23,928,564,20,960,600
0,0,0,-0.0,-0.0,0.9016373157501221,15.495097567963924,1,11,23,928,564,20,960,600
1,0,0,0.6899999976158142,-0.0,0.9387073516845703,15.495097567963924,1,11,23,928,564,20,960,600
1,0,0,0.6899999976158142,-0.0,0.954735279083252,15.495097567963924,1,11,23,928,564,20,960,600
1,0,0,0.6899999976158142,-0.0,0.9627304077148438,15.495097567963924,1,11,23,928,564,20,960,600
1,1,0,0.6899999976158142,0.6899999976158142,0.9787442684173584,15.495097567963924,1,11,23,928,564,20,960,600
1,0,0,0.6899999976158142,-0.0,0.9867124557495117,15.495097567963924,1,11,23,928,564,20,960,600
1,0,0,0.6899999976158142,-0.0,0.9948134422302246,15.495097567963924,1,11,23,928,564,20,960,600
1,1,0,0.6899999976158142,0.6899999976158142,1.002631425857544,15.495097567963924,1,11,23,928,564,20,960,600
1,3,0,0.8733332753181458,2.6199998259544373,1.010662317276001,13.706539182259394,1,11,21,928,564,20,960,600
1,2,0,0.7900000214576721,1.5800000429153442,1.0186243057250977,12.825424421026653,1,11,20,928,564,20,960,600
1,2,0,0.7900000214576721,1.5800000429153442,1.0266332626342773,11.95449840010015,1,11,19,928,564,20,960,600
1,3,0,0.8733332753181458,2.6199998259544373,1.0346944332122803,10.248456731316587,1,11,17,928,564,20,960,600
2,3,0,1.7466665506362915,2.6199998259544373,1.0427052974700928,8.027756377319946,1,10,15,928,564,20,960,600
1,2,0,0.7900000214576721,1.5800000429153442,1.050661325454712,7.204650534085253,1,10,14,928,564,20,960,600
1,3,0,0.8733332753181458,2.6199998259544373,1.0587823390960693,5.620499351813308,1,10,12,928,564,20,960,600
0,3,0,-0.0,2.6199998259544373,1.0668354034423828,4.142135623730951,1,10,10,928,564,20,960,600
1,2,0,0.7900000214576721,1.5800000429153442,1.0746684074401855,3.45362404707371,1,10,9,928,564,20,960,600
0,3,0,-0.0,2.6199998259544373,1.082679271697998,2.206555615733702,1,10,7,928,564,20,960,600
0,2,0,-0.0,1.5800000429153442,1.0905554294586182,1.6619037896906015,1,10,6,928,564,20,960,600
0,1,0,-0.0,0.6899999976158142,1.098785400390625,1.6619037896906015,1,10,6,928,564,20,960,600
1,1,0,0.6899999976158142,0.6899999976158142,1.1067533493041992,1.6619037896906015,1,10,6,928,564,20,960,600
0,0,1,-0.0,-0.0,1.111450433731079,1.6619037896906015,1,10,6,928,564,20,960,600
0,0,0,-0.0,-0.0,0.07877969741821289,530.3056713714143,2,376,-410,1294,148,53,918,558
1,0,0,0.6899999976158142,-0.0,0.22302675247192383,530.3056713714143,2,376,-410,1294,148,53,918,558
2,-1,0,1.5800000429153442,-0.7900000214576721,0.23055362701416016,529.6302727533841,2,375,-410,1294,148,53,918,558
3,-4,0,3.035999894142151,-4.047999858856201,0.23949265480041504,524.6541564357796,2,372,-406,1294,148,53,918,558
5,-7,0,6.162499785423279,-8.62749969959259,0.24669361114501953,514.7032457827491,2,366,-398,1294,148,53,918,558
3,-7,0,3.5400002002716064,-8.260000467300415,0.25507664680480957,506.79358104241453,2,363,-390,1294,148,53,918,558
4,-6,0,4.720000267028809,-7.080000400543213,0.2627277374267578,498.94761643424954,2,359,-383,1294,148,53,918,558
5,-6,0,5.900000333786011,-7.080000400543213,0.27069973945617676,490.4223078063146,2,354,-376,1294,148,53,918,558
8,-10,0,10.833333015441895,-13.541666269302368,0.2786526679992676,474.10498897731463,2,344,-363,1294,148,53,918,558
9,-12,0,14.15399980545044,-18.871999740600586,0.286604642868042,451.4149138851865,2,330,-345,1294,148,53,918,558
