dx,rx
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-2,-4.0
-2,-4.0
-1,-2.0
-2,-4.0
-2,-4.0
-3,-6.0
-3,-6.0
-3,-6.0
-3,-6.0
-5,-10.0
-5,-10.0
-5,-10.0
-4,-8.0
-6,-12.0
-5,-10.0
-5,-10.0
-5,-10.0
-5,-10.0
-5,-10.0
-5,-10.0
-3,-6.0
-4,-8.0
-4,-8.0
-3,-6.0
-4,-8.0
-3,-6.0
-4,-8.0
-4,-8.0
-6,-12.0
-7,-14.0
-11,-22.0
-12,-24.0
-14,-28.0
-16,-32.0
-18,-36.0
-18,-36.0
-21,-42.0
-20,-40.0
-21,-42.0
-21,-42.0
-23,-46.0
-23,-46.0
-23,-46.0
-22,-44.0
-19,-38.0
-17,-34.0
-16,-32.0
-15,-30.0
-17,-34.0
-17,-34.0
-20,-40.0
-18,-36.0
-16,-32.0
-15,-30.0
-11,-22.0
-8,-16.0
-7,-14.0
-6,-12.0
-6,-12.0
-5,-10.0
-4,-8.0
-3,-6.0
-2,-4.0
-2,-4.0
-1,-2.0
-1,-2.0
0,-0.0
2,4.0
3,6.0
5,10.0
6,12.0
7,14.0
8,16.0
8,16.0
8,16.0
7,14.0
8,16.0
4,8.0
4,8.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
-2,-4.0
-2,-4.0
-2,-4.0
-2,-4.0
-3,-6.0
-2,-4.0
-2,-4.0
-2,-4.0
-2,-4.0
-2,-4.0
-2,-4.0
-2,-4.0
-3,-6.0
-2,-4.0
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
-2,-4.0
0,-0.0
-1,-2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
1,2.0
1,2.0
2,4.0
1,2.0
2,4.0
1,2.0
2,4.0
1,2.0
1,2.0
1,2.0
2,4.0
1,2.0
1,2.0
0,-0.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
1,2.0
2,4.0
1,2.0
2,4.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
-1,-2.0
0,-0.0
-2,-4.0
-1,-2.0
-1,-2.0
1,2.0
3,6.0
3,6.0
2,4.0
4,8.0
5,10.0
11,22.0
16,32.0
22,44.0
26,52.0
24,48.0
19,38.0
17,34.0
15,30.0
15,30.0
14,28.0
14,28.0
13,26.0
11,22.0
11,22.0
8,16.0
8,16.0
6,12.0
5,10.0
3,6.0
3,6.0
4,8.0
3,6.0
3,6.0
5,10.0
6,12.0
6,12.0
5,10.0
4,8.0
3,6.0
1,2.0
0,-0.0
-2,-4.0
-4,-8.0
-5,-10.0
-5,-10.0
-7,-14.0
-8,-16.0
-9,-18.0
-10,-20.0
-10,-20.0
-11,-22.0
-11,-22.0
-11,-22.0
-10,-20.0
-10,-20.0
-9,-18.0
-9,-18.0
-8,-16.0
-9,-18.0
-7,-14.0
-8,-16.0
-6,-12.0
-6,-12.0
-6,-12.0
-5,-10.0
-5,-10.0
-5,-10.0
-5,-10.0
-4,-8.0
-4,-8.0
-5,-10.0
-3,-6.0
-4,-8.0
-4,-8.0
-4,-8.0
-4,-8.0
-3,-6.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
1,2.0
0,-0.0
0,-0.0
1,2.0
1,2.0
1,2.0
2,4.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
3,6.0
3,6.0
4,8.0
5,10.0
6,12.0
10,20.0
14,28.0
16,32.0
19,38.0
25,50.0
28,56.0
31,62.0
34,68.0
34,68.0
35,70.0
34,68.0
37,74.0
37,74.0
38,76.0
36,72.0
37,74.0
34,68.0
33,66.0
32,64.0
31,62.0
27,54.0
26,52.0
22,44.0
19,38.0
17,34.0
12,24.0
10,20.0
7,14.0
4,8.0
2,4.0
0,-0.0
1,2.0
0,-0.0
1,2.0
1,2.0
0,-0.0
1,2.0
2,4.0
2,4.0
2,4.0
3,6.0
3,6.0
2,4.0
2,4.0
2,4.0
2,4.0
1,2.0
2,4.0
2,4.0
1,2.0
2,4.0
2,4.0
4,8.0
5,10.0
5,10.0
5,10.0
4,8.0
2,4.0
2,4.0
2,4.0
2,4.0
3,6.0
2,4.0
1,2.0
1,2.0
1,2.0
1,2.0
1,2.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-2,-4.0
-1,-2.0
-2,-4.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
0,-0.0
0,-0.0
-1,-2.0
-2,-4.0
-2,-4.0
-2,-4.0
-3,-6.0
-3,-6.0
-5,-10.0
-5,-10.0
-8,-16.0
-12,-24.0
-16,-32.0
-20,-40.0
-20,-40.0
-17,-34.0
-16,-32.0
-13,-26.0
-12,-24.0
-13,-26.0
-13,-26.0
-12,-24.0
-12,-24.0
-10,-20.0
-10,-20.0
-10,-20.0
-12,-24.0
-11,-22.0
-13,-26.0
-13,-26.0
-14,-28.0
-14,-28.0
