dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,score
0,0,0,-0.0,-0.0,0.1996927261352539,565.8280993491027,1,363,447,1320,1055,957,608,20,146.32
-1,0,0,-1.5,-0.0,0.21555185317993164,566.4590184913408,1,364,447,1320,1055,957,608,20,11.19
-1,0,0,-1.5,-0.0,0.2309558391571045,567.0909806954186,1,365,447,1320,1055,957,608,20,11.18
1,0,0,1.5,-0.0,0.3669579029083252,566.4590184913408,1,364,447,1320,1055,957,608,20,5.21
1,0,0,1.5,-0.0,0.37485170364379883,565.8280993491027,1,363,447,1320,1055,957,608,20,5.2
1,0,0,1.5,-0.0,0.3828856945037842,565.1982267010218,1,362,447,1320,1055,957,608,20,5.19
2,0,0,3.0,-0.0,0.390765905380249,563.3149221850065,1,359,447,1320,1055,957,608,20,12.87
1,0,0,1.5,-0.0,0.3987576961517334,562.689270023457,1,358,447,1320,1055,957,608,20,5.14
2,2,0,3.0,3.0,0.4067246913909912,558.4725147269655,1,355,444,1320,1055,957,608,20,27.8
3,2,0,4.5,3.0,0.4146769046783447,553.6328592266423,1,351,441,1320,1055,957,608,20,29.4
3,4,0,4.5,6.0,0.42270588874816895,546.4476615100472,1,347,435,1320,1055,957,608,20,40.04
2,4,0,3.0,6.0,0.43091273307800293,539.8881704492287,1,344,429,1320,1055,957,608,20,36.24
3,5,0,4.5,7.5,0.4390296936035156,531.9261942368167,1,340,422,1320,1055,957,608,20,41.33
6,6,0,9.0,9.0,0.4468808174133301,519.2730864119203,1,331,413,1320,1055,957,608,20,54.68
8,9,0,12.0,13.5,0.45488572120666504,501.62583984783254,1,319,400,1320,1055,957,608,20,64.43
12,14,0,18.0,21.0,0.46283483505249023,473.98553697398853,1,301,379,1320,1055,957,608,20,76.61
15,17,0,22.5,25.5,0.47074079513549805,440.72940884748135,1,279,354,1320,1055,957,608,20,77.84
14,17,0,21.0,25.5,0.4787158966064453,408.09687872549347,1,258,329,1320,1055,957,608,20,74.07
15,19,0,22.5,28.5,0.4867238998413086,372.48790830560904,1,236,301,1320,1055,957,608,20,73.86
15,20,0,22.5,30.0,0.4947397708892822,335.3071096864355,1,214,271,1320,1055,957,608,20,67.88
12,17,0,18.0,25.5,0.5027868747711182,304.53457679562035,1,196,246,1320,1055,957,608,20,59.32
13,17,0,19.5,25.5,0.5117828845977783,273.14307337457507,1,177,221,1320,1055,957,608,20,56.23
11,14,0,16.5,21.0,0.5188689231872559,246.75085199469152,1,161,200,1320,1055,957,608,20,49.25
12,13,0,18.0,19.5,0.5268797874450684,220.67292862405853,1,143,181,1320,1055,957,608,20,44.02
10,9,0,15.0,13.5,0.5346689224243164,201.20606051910536,1,128,168,1320,1055,957,608,20,35.42
10,8,0,15.0,12.0,0.5428187847137451,182.62658175859323,1,113,156,1320,1055,957,608,20,31.99
9,8,0,13.5,12.0,0.5508298873901367,165.31685600648902,1,100,144,1320,1055,957,608,20,29.09
7,6,0,10.5,9.0,0.5587508678436279,152.24980739587951,1,90,135,1320,1055,957,608,20,23.64
7,7,0,10.5,10.5,0.5667147636413574,138.4082207965583,1,80,125,1320,1055,957,608,20,23.0
4,4,0,6.0,6.0,0.5747907161712646,130.13208055259867,1,74,119,1320,1055,957,608,20,16.54
4,5,0,6.0,7.5,0.5826008319854736,121.02671483327359,1,68,112,1320,1055,957,608,20,17.13
2,4,0,3.0,6.0,0.5905928611755371,114.34226956268733,1,65,106,1320,1055,957,608,20,14.72
3,5,0,4.5,7.5,0.5986769199371338,106.2841347734075,1,61,99,1320,1055,957,608,20,16.73
4,6,0,6.0,9.0,0.6068277359008789,95.47511554864494,1,55,90,1320,1055,957,608,20,17.95
5,6,0,7.5,9.0,0.6146507263183594,84.15412895885129,1,48,81,1320,1055,957,608,20,15.61
6,6,0,9.0,9.0,0.6226859092712402,71.88406438373708,1,39,72,1320,1055,957,608,20,13.6
5,4,0,7.5,6.0,0.6307477951049805,63.348483283568996,1,32,66,1320,1055,957,608,20,9.88
5,4,0,7.5,6.0,0.6387379169464111,55.0,1,25,60,1320,1055,957,608,20,8.75
2,2,0,3.0,3.0,0.6466588973999023,51.09828148156051,1,22,57,1320,1055,957,608,20,5.58
2,2,0,3.0,3.0,0.6549208164215088,47.245087125446844,1,19,54,1320,1055,957,608,20,5.22
2,2,0,3.0,3.0,0.6629118919372559,43.45091205957107,1,16,51,1320,1055,957,608,20,4.85
1,2,0,1.5,3.0,0.6707818508148193,40.28916384272063,1,15,48,1320,1055,957,608,20,8.3
2,2,0,3.0,3.0,0.6787497997283936,36.57252408878007,1,12,45,1320,1055,957,608,20,4.26
2,2,0,3.0,3.0,0.6867578029632568,32.95346318982906,1,9,42,1320,1055,957,608,20,3.85
1,1,0,1.5,1.5,0.6948878765106201,31.773197148410844,1,8,41,1320,1055,957,608,20,2.28
0,1,0,-0.0,1.5,0.7036457061767578,30.792156108742276,1,8,40,1320,1055,957,608,20,3.68
1,2,0,1.5,3.0,0.7108547687530518,27.656340767525464,1,7,37,1320,1055,957,608,20,5.35
0,2,0,-0.0,3.0,0.7188618183135986,24.713109915419565,1,7,34,1320,1055,957,608,20,4.53
0,4,0,-0.0,6.0,0.7267467975616455,18.861739379323623,1,7,28,1320,1055,957,608,20,5.05
1,3,0,1.5,4.5,0.7348449230194092,14.738633753705962,1,6,24,1320,1055,957,608,20,9.15
0,3,0,-0.0,4.5,0.7428188323974609,10.880613017821101,1,6,20,1320,1055,957,608,20,3.45
0,3,0,-0.0,4.5,0.7507708072662354,7.088007490635061,1,6,16,1320,1055,957,608,20,2.8
0,2,0,-0.0,3.0,0.758793830871582,4.317821063276353,1,6,13,1320,1055,957,608,20,2.05
0,2,0,-0.0,3.0,0.7667117118835449,1.6619037896906015,1,6,10,1320,1055,957,608,20,1.45
0,2,0,-0.0,3.0,0.7753677368164062,-0.7804555427071129,1,6,7,1320,1055,957,608,20,0.74
0,2,0,-0.0,3.0,0.7827558517456055,-2.7888974490720218,1,6,4,1320,1055,957,608,20,-0.12
0,2,0,-0.0,3.0,0.7908258438110352,-3.9172374697017807,1,6,1,1320,1055,957,608,20,-1.09
0,1,0,-0.0,1.5,0.7987759113311768,-4.0,1,6,0,1320,1055,957,608,20,-0.78
0,2,0,-0.0,3.0,0.8067936897277832,-3.2917960675006306,1,6,-3,1320,1055,957,608,20,-1.22
0,1,0,-0.0,1.5,0.8147728443145752,-2.7888974490720218,1,6,-4,1320,1055,957,608,20,0.42
1,1,0,1.5,1.5,0.8227977752685547,-2.9289321881345245,1,5,-5,1320,1055,957,608,20,-0.88
1,1,0,1.5,1.5,0.8388197422027588,-2.7888974490720218,1,4,-6,1320,1055,957,608,20,1.47
0,0,1,-0.0,-0.0,0.9097797870635986,-2.7888974490720218,1,4,-6,1320,1055,957,608,20,26.13
0,0,0,-0.0,-0.0,0.0714561939239502,738.4991661102766,2,215,-718,1531,343,1316,1061,23,172.25
0,-2,0,-0.0,-3.0,0.13355231285095215,735.625742926133,2,215,-715,1531,343,1316,1061,23,20.8
0,-1,0,-0.0,-1.5,0.14148926734924316,734.6681567560734,2,215,-714,1531,343,1316,1061,23,9.08
0,-2,0,-0.0,-3.0,0.1497211456298828,731.796068917977,2,215,-711,1531,343,1316,1061,23,20.72
-1,-2,0,-1.5,-3.0,0.1577303409576416,729.2161846379745,2,216,-708,1531,343,1316,1061,23,17.98
-1,-4,0,-1.5,-6.0,0.16566729545593262,723.7741149496218,2,217,-702,1531,343,1316,1061,23,33.05
-1,-6,0,-1.5,-9.0,0.17368316650390625,715.4798689571514,2,218,-693,1531,343,1316,1061,23,44.9
0,-6,0,-0.0,-9.0,0.1817023754119873,706.899714444852,2,218,-684,1531,343,1316,1061,23,46.06
0,-10,0,-0.0,-15.0,0.18950414657592773,692.6227682501469,2,218,-669,1531,343,1316,1061,23,63.09
-1,-16,0,-1.5,-24.0,0.19749236106872559,670.1651782056978,2,219,-645,1531,343,1316,1061,23,78.78
-2,-24,0,-3.0,-36.0,0.2055373191833496,637.2013576042556,2,222,-609,1531,343,1316,1061,23,90.28
-3,-24,0,-4.5,-36.0,0.21359634399414062,604.958602505071,2,226,-573,1531,343,1316,1061,23,86.39
-1,-19,0,-1.5,-28.5,0.2217881679534912,579.3846203958907,2,227,-545,1531,343,1316,1061,23,76.18
1,-14,0,1.5,-21.0,0.22976231575012207,559.6592678648092,2,226,-524,1531,343,1316,1061,23,65.86
3,-11,0,4.5,-16.5,0.23776721954345703,543.3897545950863,2,222,-508,1531,343,1316,1061,23,59.29
6,-11,0,9.0,-16.5,0.24559831619262695,525.1277832755918,2,213,-492,1531,343,1316,1061,23,62.37
8,-15,0,12.0,-22.5,0.25334835052490234,500.17609490272525,2,201,-470,1531,343,1316,1061,23,70.5
11,-20,0,16.5,-30.0,0.26140427589416504,466.31017169132275,2,185,-440,1531,343,1316,1061,23,76.53
14,-22,0,21.0,-33.0,0.26954030990600586,427.79949863234805,2,164,-407,1531,343,1316,1061,23,74.87
16,-25,0,24.0,-37.5,0.27743029594421387,384.60080889704966,2,140,-370,1531,343,1316,1061,23,72.24
15,-23,0,22.5,-34.5,0.2855522632598877,345.1179579858337,2,118,-336,1531,343,1316,1061,23,64.89
13,-21,0,19.5,-31.5,0.2943572998046875,309.66493416025395,2,99,-305,1531,343,1316,1061,23,57.88
11,-18,0,16.5,-27.0,0.301699161529541,279.12583476829496,2,83,-278,1531,343,1316,1061,23,50.73
7,-14,0,10.5,-21.0,0.3095512390136719,256.1666146808018,2,73,-257,1531,343,1316,1061,23,42.71
8,-12,0,12.0,-18.0,0.3174912929534912,235.661711661944,2,61,-239,1531,343,1316,1061,23,37.22
6,-11,0,9.0,-16.5,0.3255293369293213,217.98253208487324,2,52,-223,1531,343,1316,1061,23,32.9
5,-10,0,7.5,-15.0,0.3335611820220947,201.81212371479216,2,45,-208,1531,343,1316,1061,23,30.05
6,-10,0,9.0,-15.0,0.34145522117614746,185.32880583347927,2,36,-193,1531,343,1316,1061,23,27.93
5,-8,0,7.5,-12.0,0.3495352268218994,172.30848316430968,2,29,-181,1531,343,1316,1061,23,23.21
3,-5,0,4.5,-7.5,0.35767316818237305,164.78680269007683,2,25,-174,1531,343,1316,1061,23,16.01
2,-4,0,3.0,-6.0,0.3664562702178955,158.43435306926398,2,22,-168,1531,343,1316,1061,23,14.12
1,-3,0,1.5,-4.5,0.37385129928588867,154.33904560024533,2,21,-164,1531,343,1316,1061,23,11.8
2,-3,0,3.0,-4.5,0.381561279296875,150.00931650062986,2,18,-160,1531,343,1316,1061,23,9.93
1,-4,0,1.5,-6.0,0.38958120346069336,143.93547043850222,2,17,-154,1531,343,1316,1061,23,15.23
1,-4,0,1.5,-6.0,0.39757418632507324,137.86235252742716,2,16,-148,1531,343,1316,1061,23,14.83
1,-5,0,1.5,-7.5,0.4055652618408203,130.7956275771577,2,15,-141,1531,343,1316,1061,23,16.18
1,-4,0,1.5,-6.0,0.4135563373565674,124.72398461583714,2,14,-135,1531,343,1316,1061,23,13.96
0,-4,0,-0.0,-6.0,0.4223752021789551,118.75746606650424,2,14,-129,1531,343,1316,1061,23,12.77
0,-4,0,-0.0,-6.0,0.42980337142944336,112.79418403139947,2,14,-123,1531,343,1316,1061,23,12.34
0,-4,0,-0.0,-6.0,0.4377012252807617,106.83462988442744,2,14,-117,1531,343,1316,1061,23,11.91
0,-2,0,-0.0,-3.0,0.4455373287200928,103.85643212288984,2,14,-114,1531,343,1316,1061,23,8.13
0,-2,0,-0.0,-3.0,0.453397274017334,100.87939935484101,2,14,-111,1531,343,1316,1061,23,7.99
0,-3,0,-0.0,-4.5,0.4613771438598633,96.91200118615167,2,14,-107,1531,343,1316,1061,23,9.0
-1,-3,0,-1.5,-4.5,0.4703083038330078,93.08650248711405,2,15,-103,1531,343,1316,1061,23,7.16
-1,-3,0,-1.5,-4.5,0.477703332901001,89.2845950283492,2,16,-99,1531,343,1316,1061,23,6.91
-1,-3,0,-1.5,-4.5,0.4858253002166748,85.5090669315583,2,17,-95,1531,343,1316,1061,23,6.65
-2,-3,0,-3.0,-4.5,0.4937152862548828,82.17188417113823,2,20,-91,1531,343,1316,1061,23,4.95
-2,-3,0,-3.0,-4.5,0.5016133785247803,78.98888820293314,2,23,-87,1531,343,1316,1061,23,4.58
-1,-3,0,-1.5,-4.5,0.5093262195587158,75.40023148117139,2,24,-83,1531,343,1316,1061,23,5.68
-2,-4,0,-3.0,-6.0,0.5175092220306396,70.59656855530139,2,27,-77,1531,343,1316,1061,23,5.87
-2,-3,0,-3.0,-4.5,0.5255873203277588,67.92401408950256,2,30,-73,1531,343,1316,1061,23,3.41
0,-3,0,-0.0,-4.5,0.5334882736206055,64.23961722390672,2,30,-69,1531,343,1316,1061,23,5.62
0,-2,0,-0.0,-3.0,0.54217529296875,61.498275841567434,2,30,-66,1531,343,1316,1061,23,4.64
0,-4,0,-0.0,-6.0,0.5499613285064697,56.08203932499369,2,30,-60,1531,343,1316,1061,23,6.3
0,-3,0,-0.0,-4.5,0.5577952861785889,52.52952069707436,2,30,-56,1531,343,1316,1061,23,4.7
0,-4,0,-0.0,-6.0,0.565596342086792,47.309518948453004,2,30,-50,1531,343,1316,1061,23,5.36
0,-3,0,-0.0,-4.5,0.57354736328125,43.91812087098393,2,30,-46,1531,343,1316,1061,23,3.93
1,-4,0,1.5,-6.0,0.5815093517303467,38.4064773081425,2,29,-40,1531,343,1316,1061,23,5.15
0,-4,0,-0.0,-6.0,0.5896081924438477,33.68780594300866,2,29,-34,1531,343,1316,1061,23,3.76
1,-3,0,1.5,-4.5,0.597515344619751,30.036569057366385,2,28,-30,1531,343,1316,1061,23,3.56
0,-3,0,-0.0,-4.5,0.6055593490600586,27.209946349085598,2,28,-26,1531,343,1316,1061,23,2.25
1,-2,0,1.5,-3.0,0.6135783195495605,24.4682957019364,2,27,-23,1531,343,1316,1061,23,2.76
0,-2,0,-0.0,-3.0,0.6214041709899902,22.600595232822883,2,27,-20,1531,343,1316,1061,23,1.44
1,-2,0,1.5,-3.0,0.629758358001709,20.064449134018133,2,26,-17,1531,343,1316,1061,23,2.14
0,-2,0,-0.0,-3.0,0.6376183032989502,18.5296461204668,2,26,-14,1531,343,1316,1061,23,0.9
1,-2,0,1.5,-3.0,0.645632266998291,16.313000567495326,2,25,-11,1531,343,1316,1061,23,1.49
0,-1,0,-0.0,-1.5,0.6536073684692383,15.92582403567252,2,25,-10,1531,343,1316,1061,23,0.45
0,-2,0,-0.0,-3.0,0.6615712642669678,14.96150997149434,2,25,-7,1531,343,1316,1061,23,0.21
1,-2,0,1.5,-3.0,0.6695091724395752,13.331050121192877,2,24,-4,1531,343,1316,1061,23,0.69
1,-2,0,1.5,-3.0,0.6774642467498779,12.021728866442675,2,23,-1,1531,343,1316,1061,23,0.34
0,-1,0,-0.0,-1.5,0.6856043338775635,12.0,2,23,0,1531,343,1316,1061,23,-0.17
1,-1,0,1.5,-1.5,0.6935052871704102,11.022715545545239,2,22,1,1531,343,1316,1061,23,1.03
0,-1,0,-0.0,-1.5,0.7095832824707031,11.090722034374522,2,22,2,1531,343,1316,1061,23,5.1
1,-1,0,1.5,-1.5,0.7177653312683105,10.213203435596427,2,21,3,1531,343,1316,1061,23,0.8
0,-1,0,-0.0,-1.5,0.7335183620452881,10.377558326431949,2,21,4,1531,343,1316,1061,23,2.66
0,0,1,-0.0,-0.0,0.758554220199585,10.377558326431949,2,21,4,1531,343,1316,1061,23,29.99
0,0,0,-0.0,-0.0,0.06529545783996582,1516.6730172345035,3,-1408,623,102,962,1510,339,47,258.23
0,1,0,-0.0,1.5,0.10317134857177734,1516.2686575123914,3,-1408,622,102,962,1510,339,47,2.71
0,1,0,-0.0,1.5,0.11126947402954102,1515.864841368468,3,-1408,621,102,962,1510,339,47,2.71
0,1,0,-0.0,1.5,0.11922645568847656,1515.4615692307689,3,-1408,620,102,962,1510,339,47,2.71
-1,1,0,-1.5,1.5,0.12821340560913086,1514.1434545936172,3,-1407,619,102,962,1510,339,47,9.01
-2,1,0,-3.0,1.5,0.13529753684997559,1510.994784867276,3,-1404,618,102,962,1510,339,47,19.73
-2,2,0,-3.0,3.0,0.14324736595153809,1507.0411759165177,3,-1401,615,102,962,1510,339,47,21.59
-3,2,0,-4.5,3.0,0.15128636360168457,1502.1731049294044,3,-1397,612,102,962,1510,339,47,26.27
-3,2,0,-4.5,3.0,0.1592423915863037,1497.3058902734015,3,-1393,609,102,962,1510,339,47,26.22
-2,3,0,-3.0,4.5,0.16725444793701172,1492.9567935795533,3,-1390,605,102,962,1510,339,47,22.8
-3,2,0,-4.5,3.0,0.17525839805603027,1488.0923201446033,3,-1386,602,102,962,1510,339,47,26.11
-5,4,0,-7.5,6.0,0.18326735496520996,1479.2839278911295,3,-1379,596,102,962,1510,339,47,41.56
-7,5,0,-10.5,7.5,0.19118356704711914,1467.3294937697503,3,-1369,589,102,962,1510,339,47,52.99
-13,7,0,-19.5,10.5,0.19929051399230957,1445.9251172200711,3,-1350,579,102,962,1510,339,47,80.74
-16,9,0,-24.0,13.5,0.20723342895507812,1418.7461635114553,3,-1326,566,102,962,1510,339,47,92.69
-20,10,0,-30.0,15.0,0.2157304286956787,1385.26737518129,3,-1296,551,102,962,1510,339,47,103.87
-23,12,0,-34.5,18.0,0.22325539588928223,1346.939049739075,3,-1262,533,102,962,1510,339,47,109.71
-25,12,0,-37.5,18.0,0.23109650611877441,1305.8528887728694,3,-1225,515,102,962,1510,339,47,112.44
-27,13,0,-40.5,19.5,0.23931550979614258,1261.6170635640801,3,-1185,496,102,962,1510,339,47,114.71
-28,13,0,-42.0,19.5,0.2471153736114502,1215.5386550285784,3,-1143,477,102,962,1510,339,47,115.18
-33,15,0,-49.5,22.5,0.25516343116760254,1161.846403547734,3,-1094,455,102,962,1510,339,47,120.68
-38,16,0,-57.0,24.0,0.26361846923828125,1100.000445235887,3,-1037,431,102,962,1510,339,47,125.68
-42,18,0,-63.0,27.0,0.27135539054870605,1031.4628964548729,3,-974,404,102,962,1510,339,47,125.81
-45,18,0,-67.5,27.0,0.27919435501098633,959.2311336951196,3,-907,377,102,962,1510,339,47,123.26
-44,17,0,-66.0,25.5,0.28728246688842773,888.6934791913344,3,-841,352,102,962,1510,339,47,115.89
-40,15,0,-60.0,22.5,0.2952604293823242,824.8567095918979,3,-781,330,102,962,1510,339,47,106.3
-35,13,0,-52.5,19.5,0.30329251289367676,769.5667164346481,3,-729,311,102,962,1510,339,47,95.94
-28,9,0,-42.0,13.5,0.31117844581604004,725.8477815951651,3,-687,298,102,962,1510,339,47,82.22
-24,8,0,-36.0,12.0,0.31931543350219727,688.0534438423036,3,-651,286,102,962,1510,339,47,74.13
-21,7,0,-31.5,10.5,0.327303409576416,655.6574983008734,3,-620,276,102,962,1510,339,47,66.06
-19,5,0,-28.5,7.5,0.3351435661315918,627.2499519415592,3,-592,269,102,962,1510,339,47,58.96
-16,5,0,-24.0,7.5,0.34383344650268555,602.5141884881589,3,-568,262,102,962,1510,339,47,53.18
-14,5,0,-21.0,7.5,0.35120248794555664,580.5180196149904,3,-547,255,102,962,1510,339,47,48.66
