dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0,-0.0,-0.0,0.2779979705810547,533.7738500516552,1,-349,-417,611,123,960,540,20
1,0,0,1.5,-0.0,0.3820180892944336,534.4162010814888,1,-350,-417,611,123,960,540,20
-1,0,0,-1.5,-0.0,0.38991403579711914,533.7738500516552,1,-349,-417,611,123,960,540,20
-1,0,0,-1.5,-0.0,0.39411091804504395,533.1325804994578,1,-348,-417,611,123,960,540,20
-1,1,0,-1.5,1.5,0.3960559368133545,533.2614471872636,1,-347,-418,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.40312910079956055,531.350163941972,1,-344,-418,611,123,960,540,20
-1,0,0,-1.5,-0.0,0.40328001976013184,530.7152670306249,1,-343,-418,611,123,960,540,20
-1,1,0,-1.5,1.5,0.40330004692077637,530.8558033339385,1,-342,-419,611,123,960,540,20
-1,0,0,-1.5,-0.0,0.4039640426635742,530.2240276033639,1,-341,-419,611,123,960,540,20
-2,1,0,-3.0,1.5,0.4059591293334961,529.1140881112271,1,-338,-420,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.4135410785675049,527.2383083883725,1,-335,-420,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.41357898712158203,525.372767331324,1,-332,-420,611,123,960,540,20
-1,1,0,-1.5,1.5,0.4136059284210205,525.5389808407974,1,-331,-421,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.41404199600219727,523.689984916337,1,-328,-421,611,123,960,540,20
-2,1,0,-3.0,1.5,0.4160621166229248,522.6434079194072,1,-325,-422,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.4178950786590576,520.818236310698,1,-322,-422,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.4339110851287842,519.0037807048263,1,-319,-422,611,123,960,540,20
-3,1,0,-4.5,1.5,0.4388411045074463,517.4030716634101,1,-315,-423,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.4388740062713623,515.6167805540458,1,-312,-423,611,123,960,540,20
-2,0,0,-3.0,-0.0,0.43889713287353516,513.8415791057445,1,-309,-423,611,123,960,540,20
-3,0,0,-4.5,-0.0,0.4389169216156006,511.49209006465287,1,-305,-423,611,123,960,540,20
-3,0,0,-4.5,-0.0,0.4389359951019287,509.162787572453,1,-301,-423,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.43895602226257324,506.0358514677057,1,-297,-422,611,123,960,540,20
-3,0,0,-4.5,-0.0,0.4389760494232178,503.74409972280944,1,-293,-422,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.4391930103302002,500.6486071654362,1,-289,-421,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.43921995162963867,497.56772947065895,1,-285,-420,611,123,960,540,20
-3,0,0,-4.5,-0.0,0.43990612030029297,495.332563763706,1,-281,-420,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.44202399253845215,492.2847797813507,1,-277,-419,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.4441521167755127,489.2524411557744,1,-273,-418,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.4501039981842041,486.2358310319802,1,-269,-417,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.4502890110015869,483.23523799501595,1,-265,-416,611,123,960,540,20
-3,-1,0,-4.5,-1.5,0.4503180980682373,480.2509561438917,1,-261,-415,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.4522080421447754,475.5852139429289,1,-257,-412,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.45415401458740234,470.9261897630446,1,-253,-409,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.45943403244018555,466.79765100092516,1,-250,-406,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.4594690799713135,462.1493407810711,1,-246,-403,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.45992207527160645,457.5082886965749,1,-242,-400,611,123,960,540,20
-3,-3,0,-4.5,-4.5,0.4619259834289551,452.01731569282117,1,-238,-396,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.4689159393310547,447.38933087687997,1,-234,-393,611,123,960,540,20
-3,-3,0,-4.5,-4.5,0.46912503242492676,441.9081765137692,1,-230,-389,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.46915602684020996,437.8001786511479,1,-227,-386,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.4699559211730957,433.1907038736259,1,-223,-383,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.4719250202178955,429.089968002003,1,-220,-380,611,123,960,540,20
-3,-3,0,-4.5,-4.5,0.47962093353271484,423.62656745176486,1,-216,-376,611,123,960,540,20
-3,-2,0,-4.5,-3.0,0.47985005378723145,419.03729441623136,1,-212,-373,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.47987794876098633,414.9482321412809,1,-209,-370,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.4799830913543701,410.86221023037933,1,-206,-367,611,123,960,540,20
-2,-3,0,-3.0,-4.5,0.48218703269958496,405.9062394338416,1,-203,-363,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.48405909538269043,401.82520563948003,1,-200,-360,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.4898030757904053,398.71750635371615,1,-199,-357,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.49002695083618164,394.63810992045717,1,-196,-354,611,123,960,540,20
-2,-2,0,-3.0,-3.0,0.49006199836730957,390.5621050473946,1,-193,-351,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.49211907386779785,387.45188388030067,1,-192,-348,611,123,960,540,20
0,-1,0,-0.0,-1.5,0.49427294731140137,386.5766004191372,1,-192,-347,611,123,960,540,20
-2,-3,0,-3.0,-4.5,0.5010111331939697,381.6248204595822,1,-189,-343,611,123,960,540,20
0,-2,0,-0.0,-3.0,0.5011699199676514,379.0,1,-189,-340,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.5012009143829346,375.8924720696168,1,-188,-337,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.5019810199737549,372.78584090846414,1,-187,-334,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.5039629936218262,369.6801285292661,1,-186,-331,611,123,960,540,20
-1,-2,0,-1.5,-3.0,0.5111069679260254,366.575357664306,1,-185,-328,611,123,960,540,20
