dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID,past20dxdy
0,0,-0.0,-0.0,0,0.6383380889892578,741.1224933391358,571,-488,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
2,0,1.5800000429153442,-0.0,0,0.8182592391967773,740.3625790243008,570,-488,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
5,-4,5.558333396911621,-4.446666717529297,0,0.8263702392578125,733.9630367162067,565,-484,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
8,-5,10.186666488647461,-6.366666555404663,0,0.834172248840332,722.4677467301888,555,-478,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-7,11.986362934112549,-9.322726726531982,0,0.842339277267456,708.2597023361396,544,-469,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
10,-5,13.318181037902832,-6.659090518951416,0,0.8504180908203125,694.5069197672937,531,-463,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-7,11.986362934112549,-9.322726726531982,0,0.8581602573394775,680.3013834550819,520,-454,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-8,12.187499642372131,-10.833333015441895,0,0.8663110733032227,664.68511173732,508,-444,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
7,-6,8.913333177566528,-7.639999866485596,0,0.8743801116943359,654.0549676043393,500,-437,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
8,-7,10.447999954223633,-9.141999959945679,0,0.8821682929992676,640.6027974117542,490,-428,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-6,11.753999948501587,-7.835999965667725,0,0.8901591300964355,627.7162378362339,479,-421,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-7,11.986362934112549,-9.322726726531982,0,0.8982431888580322,613.5126301848263,468,-412,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
9,-6,11.753999948501587,-7.835999965667725,0,0.9063522815704346,600.6340966569096,457,-405,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
6,-5,7.080000400543213,-5.900000333786011,0,0.9142642021179199,592.0797289396148,450,-400,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
6,-5,7.080000400543213,-5.900000333786011,0,0.922213077545166,583.5267475017448,443,-395,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
5,-6,5.900000333786011,-7.080000400543213,0,0.930138111114502,575.1392996543643,438,-388,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
6,-5,7.080000400543213,-5.900000333786011,0,0.938075065612793,566.584772605035,431,-383,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
5,-6,5.900000333786011,-7.080000400543213,0,0.9463562965393066,558.2006687782055,426,-376,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
4,-6,4.720000267028809,-7.080000400543213,0,0.9543981552124023,550.5755970428966,422,-369,1531,52,20,960,540,1,"[(1, 7), (6, 10), (11, 11), (15, 12), (19, 11), (20, 10), (21, 8), (20, 7), (21, 6), (20, 6), (18, 4), (17, 3), (15, 2), (12, 1), (10, 0), (7, 0), (4, 0), (2, -1), (1, 0), (0, 0)]"
