dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,-0.0,-0.0,0,0.6503307819366455,272.93108701590216,-33,281,927,821,20,960,540,1
-2,2,-1.5800000429153442,1.5800000429153442,0,0.8812816143035889,271.82263926093657,-32,280,927,821,20,960,540,1
-3,4,-3.035999894142151,4.047999858856201,0,0.8891527652740479,267.5193686934301,-29,276,927,821,20,960,540,1
-2,4,-1.840000033378601,3.680000066757202,0,0.8972158432006836,264.4321409747772,-28,273,927,821,20,960,540,1
-3,6,-3.3350000381469727,6.670000076293945,0,0.9051206111907959,258.1678578800972,-25,267,927,821,20,960,540,1
-2,7,-2.3600001335144043,8.260000467300415,0,0.913233757019043,250.0192300580863,-23,259,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,0.9212636947631836,240.88044961694405,-21,250,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,0.9293906688690186,231.74780247191492,-19,241,927,821,20,960,540,1
-3,9,-3.819999933242798,11.459999799728394,0,0.9372878074645996,220.5558500667463,-16,230,927,821,20,960,540,1
-2,9,-2.5466666221618652,11.459999799728394,0,0.9453377723693848,209.44703233354514,-14,219,927,821,20,960,540,1
-3,10,-3.9179999828338623,13.059999942779541,0,0.9531996250152588,196.29348026537338,-11,206,927,821,20,960,540,1
-3,9,-3.819999933242798,11.459999799728394,0,0.9611287117004395,185.1640335717624,-8,195,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,0.9691808223724365,176.09674903124989,-6,186,927,821,20,960,540,1
-2,11,-2.6636362075805664,14.649999141693115,0,0.9772307872772217,162.04650534085255,-4,172,927,821,20,960,540,1
-2,9,-2.5466666221618652,11.459999799728394,0,0.9851596355438232,151.01242188104618,-2,161,927,821,20,960,540,1
-2,9,-2.5466666221618652,11.459999799728394,0,0.9932718276977539,140.0,0,150,927,821,20,960,540,1
-2,9,-2.5466666221618652,11.459999799728394,0,1.0011897087097168,129.01438774457844,2,139,927,821,20,960,540,1
-1,8,-1.2324999570846558,9.859999656677246,0,1.0093986988067627,120.034610777285,3,130,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,1.017258644104004,111.10326172320876,5,121,927,821,20,960,540,1
-1,9,-1.2733333110809326,11.459999799728394,0,1.0250778198242188,100.16351483136329,6,110,927,821,20,960,540,1
-1,8,-1.2324999570846558,9.859999656677246,0,1.0333137512207031,91.24228365658294,7,101,927,821,20,960,540,1
-1,7,-1.1800000667572021,8.260000467300415,0,1.0411367416381836,83.34345183246653,8,93,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,1.0493817329406738,74.5931439302264,10,84,927,821,20,960,540,1
-2,7,-2.3600001335144043,8.260000467300415,0,1.057100772857666,66.94153624668537,12,76,927,821,20,960,540,1
-2,6,-2.2233333587646484,6.670000076293945,0,1.0651817321777344,61.38627319029899,14,70,927,821,20,960,540,1
-2,8,-2.4649999141693115,9.859999656677246,0,1.0732238292694092,53.06346010171025,16,61,927,821,20,960,540,1
-1,6,-1.1116666793823242,6.670000076293945,0,1.0813088417053223,47.56735185849702,17,55,927,821,20,960,540,1
-1,5,-1.0119999647140503,5.0599998235702515,0,1.089242696762085,43.14132102234569,18,50,927,821,20,960,540,1
-1,4,-0.9200000166893005,3.680000066757202,0,1.0972576141357422,40.32891812864648,18,47,927,821,20,960,540,1
-1,5,-1.0119999647140503,5.0599998235702515,0,1.1051428318023682,36.09772228646444,19,42,927,821,20,960,540,1
0,3,-0.0,2.6199998259544373,0,1.1132936477661133,34.28317965096906,19,40,927,821,20,960,540,1
0,4,-0.0,3.680000066757202,0,1.121222734451294,31.593268686170845,19,37,927,821,20,960,540,1
0,3,-0.0,2.6199998259544373,0,1.1292698383331299,29.824615503479755,19,35,927,821,20,960,540,1
0,3,-0.0,2.6199998259544373,0,1.1372017860412598,28.078865529319543,19,33,927,821,20,960,540,1
1,2,0.7900000214576721,1.5800000429153442,0,1.1452257633209229,27.21558813185679,19,32,927,821,20,960,540,1
2,3,1.7466665506362915,2.6199998259544373,0,1.1530916690826416,24.9857113690718,18,30,927,821,20,960,540,1
