dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.3852732181549072,717.5781744939852,599,413,1559,1013,20,960,600,1
2,0,0,1.5800000429153442,-0.0,0.5542292594909668,716.7551169410505,598,413,1559,1013,20,960,600,1
5,1,0,5.0599998235702515,1.0119999647140503,0.5624561309814453,712.0754808190069,593,412,1559,1013,20,960,600,1
6,2,0,6.670000076293945,2.2233333587646484,0.5703182220458984,706.0090781547397,587,410,1559,1013,20,960,600,1
8,4,0,9.859999656677246,4.929999828338623,0.5782530307769775,696.3426930322137,578,406,1559,1013,20,960,600,1
15,7,0,25.19999921321869,11.759999632835388,0.5861611366271973,669.5836960963675,553,395,1559,1013,20,960,600,1
21,12,0,46.62875247001648,26.64500141143799,0.594367265701294,617.0645899745895,507,369,1559,1013,20,960,600,1
26,14,0,62.57931137084961,33.69655227661133,0.6021852493286133,547.602905300896,445,336,1559,1013,20,960,600,1
28,14,0,69.0064525604248,34.5032262802124,0.6102092266082764,472.26548705044195,376,302,1559,1013,20,960,600,1
29,15,0,72.22812223434448,37.359373569488525,0.6182591915130615,393.28773846969364,304,265,1559,1013,20,960,600,1
26,13,0,62.57931137084961,31.289655685424805,0.626291036605835,326.63036107873575,242,234,1559,1013,20,960,600,1
22,11,0,48.84916925430298,24.42458462715149,0.6341502666473389,275.8950856520622,194,210,1559,1013,20,960,600,1
16,10,0,29.768890380859375,18.60555648803711,0.6423060894012451,243.15805339747737,165,192,1559,1013,20,960,600,1
13,8,0,20.444666385650635,12.58133316040039,0.6503002643585205,221.1384866265244,145,180,1559,1013,20,960,600,1
10,6,0,13.318181037902832,7.990908622741699,0.6581912040710449,207.60744472558838,132,173,1559,1013,20,960,600,1
9,6,0,11.753999948501587,7.835999965667725,0.6662261486053467,195.41908382621125,121,166,1559,1013,20,960,600,1
6,5,0,7.080000400543213,5.900000333786011,0.6742491722106934,187.27392123643713,114,161,1559,1013,20,960,600,1
3,2,0,2.6199998259544373,1.7466665506362915,0.6821861267089844,185.30488985173923,112,160,1559,1013,20,960,600,1
