dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
-2,0,4,-1.5800000429153442,-0.0,1.0872442722320557,468.83400046362624,1,409,249,1368,849,20,960,600
0,0,0,-0.0,-0.0,1.1541922092437744,468.83400046362624,1,409,249,1368,849,20,960,600
0,1,0,-0.0,0.6899999976158142,1.4070453643798828,468.83400046362624,1,409,249,1368,849,20,960,600
1,1,0,0.6899999976158142,0.6899999976158142,1.4152562618255615,468.83400046362624,1,409,249,1368,849,20,960,600
3,4,0,3.035999894142151,4.047999858856201,1.4230523109436035,464.19510752431853,1,406,245,1368,849,20,960,600
3,5,0,3.035999894142151,5.0599998235702515,1.4311423301696777,459.0511699164602,1,403,240,1368,849,20,960,600
2,5,0,2.0239999294281006,5.0599998235702515,1.4392123222351074,454.7859722495936,1,401,235,1368,849,20,960,600
2,5,0,2.0239999294281006,5.0599998235702515,1.4471893310546875,450.5442432600803,1,399,230,1368,849,20,960,600
3,7,0,3.5400002002716064,8.260000467300415,1.455322265625,443.9823785126467,1,396,222,1368,849,20,960,600
4,9,0,5.0933332443237305,11.459999799728394,1.463036298751831,434.2994485704433,1,391,211,1368,849,20,960,600
4,9,0,5.0933332443237305,11.459999799728394,1.4711253643035889,424.73670192427966,1,386,200,1368,849,20,960,600
7,9,0,9.322726726531982,11.986362934112549,1.4790213108062744,411.7226576791909,1,377,189,1368,849,20,960,600
4,6,0,4.720000267028809,7.080000400543213,1.487006425857544,405.03373356873055,1,373,182,1368,849,20,960,600
7,6,0,8.913333177566528,7.639999866485596,1.4950313568115234,394.7838929601819,1,365,175,1368,849,20,960,600
6,4,0,7.080000400543213,4.720000267028809,1.503021240234375,386.7429898561536,1,358,171,1368,849,20,960,600
6,5,0,7.080000400543213,5.900000333786011,1.5111432075500488,378.2743875148089,1,351,166,1368,849,20,960,600
6,3,0,6.670000076293945,3.3350000381469727,1.5192172527313232,371.5678183495039,1,345,163,1368,849,20,960,600
5,3,0,5.0599998235702515,3.035999894142151,1.527130365371704,365.7658845611187,1,340,160,1368,849,20,960,600
5,3,0,5.0599998235702515,3.035999894142151,1.5351452827453613,359.9648631964933,1,335,157,1368,849,20,960,600
5,3,0,5.0599998235702515,3.035999894142151,1.5430653095245361,354.1647978594307,1,330,154,1368,849,20,960,600
5,3,0,5.0599998235702515,3.035999894142151,1.5510852336883545,348.36573496917924,1,325,151,1368,849,20,960,600
8,3,0,9.859999656677246,3.6974998712539673,1.559234380722046,338.9412558010302,1,316,148,1368,849,20,960,600
8,4,0,9.859999656677246,4.929999828338623,1.567103385925293,329.09438214160963,1,307,144,1368,849,20,960,600
8,4,0,9.859999656677246,4.929999828338623,1.5752763748168945,319.24762717444145,1,298,140,1368,849,20,960,600
9,5,0,11.753999948501587,6.5299999713897705,1.5830702781677246,306.7412192942371,1,287,134,1368,849,20,960,600
11,4,0,14.649999141693115,5.327272415161133,1.591158390045166,291.94370336206714,1,273,129,1368,849,20,960,600
11,5,0,14.895832896232605,6.770833134651184,1.5991852283477783,276.7228627089232,1,259,123,1368,849,20,960,600
11,4,0,14.649999141693115,5.327272415161133,1.6072063446044922,261.93565415369864,1,245,118,1368,849,20,960,600
9,4,0,11.459999799728394,5.0933332443237305,1.6151542663574219,249.85572920372567,1,234,113,1368,849,20,960,600
6,3,0,6.670000076293945,3.3350000381469727,1.6231882572174072,243.14817795117546,1,228,110,1368,849,20,960,600
6,2,0,6.670000076293945,2.2233333587646484,1.631237268447876,236.8764873372918,1,222,108,1368,849,20,960,600
3,1,0,2.6199998259544373,0.8733332753181458,1.6392192840576172,235.07957891264624,1,220,108,1368,849,20,960,600
3,0,0,2.6199998259544373,-0.0,1.647146224975586,233.28584011405184,1,218,108,1368,849,20,960,600
3,1,0,2.6199998259544373,0.8733332753181458,1.6552133560180664,231.49534156997728,1,216,108,1368,849,20,960,600
3,0,0,2.6199998259544373,-0.0,1.6632373332977295,229.70815588961506,1,214,108,1368,849,20,960,600
5,1,0,5.0599998235702515,1.0119999647140503,1.6711363792419434,224.7977853387889,1,209,107,1368,849,20,960,600
5,1,0,5.0599998235702515,1.0119999647140503,1.6791422367095947,219.89562849258357,1,204,106,1368,849,20,960,600
