dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0,-0.0,-0.0,0.23352932929992676,327.764711004569,1,-143,-306,817,294,960,600,20
-2,-4,0,-1.840000033378601,-3.680000066757202,0.43637824058532715,324.6236692166291,1,-142,-303,817,294,960,600,20
-4,-10,0,-5.223999977111816,-13.059999942779541,0.4443342685699463,310.73197533142843,1,-137,-290,817,294,960,600,20
-5,-13,0,-6.865384578704834,-17.84999990463257,0.4524102210998535,292.80356668969404,1,-131,-273,817,294,960,600,20
-8,-18,0,-15.486315727233887,-34.844210386276245,0.4602782726287842,255.66332076521212,1,-116,-239,817,294,960,600,20
-10,-17,0,-19.35789465904236,-32.90842092037201,0.46836233139038086,218.60008748904713,1,-97,-207,817,294,960,600,20
-10,-17,0,-19.35789465904236,-32.90842092037201,0.47642016410827637,181.59592897553955,1,-78,-175,817,294,960,600,20
-9,-14,0,-15.119999527931213,-23.519999265670776,0.48437929153442383,154.53874923555242,1,-63,-152,817,294,960,600,20
-8,-14,0,-13.4399995803833,-23.519999265670776,0.49251413345336914,128.351002887583,1,-50,-129,817,294,960,600,20
-6,-11,0,-8.124999761581421,-14.895832896232605,0.5004172325134277,112.42957159118053,1,-42,-115,817,294,960,600,20
-5,-10,0,-6.659090518951416,-13.318181037902832,0.5083673000335693,98.16653826391968,1,-36,-102,817,294,960,600,20
-3,-8,0,-3.6974998712539673,-9.859999656677246,0.5162632465362549,88.68130522039117,1,-33,-93,817,294,960,600,20
-3,-5,0,-3.035999894142151,-5.0599998235702515,0.5241823196411133,82.97311439335567,1,-30,-88,817,294,960,600,20
-1,-7,0,-1.1800000667572021,-8.260000467300415,0.5323293209075928,75.09406559801923,1,-29,-80,817,294,960,600,20
-2,-5,0,-2.0239999294281006,-5.0599998235702515,0.5402011871337891,69.71198153351854,1,-27,-75,817,294,960,600,20
-3,-5,0,-3.035999894142151,-5.0599998235702515,0.5484311580657959,64.0,1,-24,-70,817,294,960,600,20
-2,-5,0,-2.0239999294281006,-5.0599998235702515,0.5564043521881104,58.62215385719105,1,-22,-65,817,294,960,600,20
-2,-4,0,-1.840000033378601,-3.680000066757202,0.5644352436065674,55.45991139621256,1,-21,-62,817,294,960,600,20
-2,-4,0,-1.840000033378601,-3.680000066757202,0.5725011825561523,52.297672508690084,1,-20,-59,817,294,960,600,20
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.5803542137145996,50.40695324215582,1,-20,-57,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.5882012844085693,49.464274989274024,1,-20,-56,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.5963771343231201,48.52349955359813,1,-20,-55,817,294,960,600,20
0,-1,0,-0.0,-0.6899999976158142,0.6443531513214111,48.52349955359813,1,-20,-55,817,294,960,600,20
-1,0,0,-0.6899999976158142,-0.0,0.6524171829223633,48.52349955359813,1,-20,-55,817,294,960,600,20
0,-2,0,-0.0,-1.5800000429153442,0.6602892875671387,47.584720195551874,1,-20,-54,817,294,960,600,20
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.6682312488555908,45.71355310873648,1,-20,-52,817,294,960,600,20
0,-2,0,-0.0,-1.5800000429153442,0.6763191223144531,44.78138369920935,1,-20,-51,817,294,960,600,20
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.6842982769012451,42.92447448959697,1,-20,-49,817,294,960,600,20
0,-3,0,-0.0,-2.6199998259544373,0.6922092437744141,41.07837115648854,1,-20,-47,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.7002513408660889,40.15974481593781,1,-20,-46,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.7083532810211182,39.24428900898052,1,-20,-45,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.716292142868042,38.33218389437829,1,-20,-44,817,294,960,600,20
0,-3,0,-0.0,-2.6199998259544373,0.7242782115936279,36.51881339845203,1,-20,-42,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.7323613166809082,35.617978911828175,1,-20,-41,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.7402281761169434,34.721359549995796,1,-20,-40,817,294,960,600,20
-2,-3,0,-1.7466665506362915,-2.6199998259544373,0.7482361793518066,32.485291572496,1,-19,-38,817,294,960,600,20
-2,-2,0,-1.5800000429153442,-1.5800000429153442,0.7562732696533203,31.146081222881968,1,-18,-37,817,294,960,600,20
-2,-2,0,-1.5800000429153442,-1.5800000429153442,0.7642292976379395,29.812058474788763,1,-17,-36,817,294,960,600,20
-3,-4,0,-3.035999894142151,-4.047999858856201,0.7722122669219971,24.928498393145958,1,-14,-32,817,294,960,600,20
-4,-4,0,-4.047999858856201,-4.047999858856201,0.7800881862640381,19.732137494637012,1,-10,-28,817,294,960,600,20
-4,-2,0,-3.680000066757202,-1.840000033378601,0.7880861759185791,17.892651361962706,1,-7,-27,817,294,960,600,20
-2,-3,0,-1.7466665506362915,-2.6199998259544373,0.7962391376495361,15.709920264364882,1,-6,-25,817,294,960,600,20
-2,-3,0,-1.7466665506362915,-2.6199998259544373,0.8043692111968994,13.53720459187964,1,-5,-23,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.8122303485870361,12.561028345356956,1,-5,-22,817,294,960,600,20
-2,-2,0,-1.5800000429153442,-1.5800000429153442,0.82023024559021,11.377558326431949,1,-4,-21,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.8282692432403564,10.396078054371138,1,-4,-20,817,294,960,600,20
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.836219310760498,8.439088914585774,1,-4,-18,817,294,960,600,20
-1,-2,0,-0.7900000214576721,-1.5800000429153442,0.8442842960357666,7.464249196572979,1,-4,-17,817,294,960,600,20
