dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,score
0,0,0,-0.0,-0.0,0.27698206901550293,816.329837292591,1,786,-255,1737,344,951,599,20,182.83
2,0,0,3.0,-0.0,0.41290903091430664,813.476775628797,1,783,-255,1737,344,951,599,20,24.3
2,-1,0,3.0,-1.5,0.42090320587158203,810.3145738069024,1,780,-254,1737,344,951,599,20,30.09
2,0,0,3.0,-0.0,0.42885613441467285,807.4625373679212,1,777,-254,1737,344,951,599,20,24.19
3,-1,0,4.5,-1.5,0.4368782043457031,803.3498632200045,1,773,-253,1737,344,951,599,20,34.0
3,-1,0,4.5,-1.5,0.4449501037597656,799.2372952354581,1,769,-252,1737,344,951,599,20,33.9
5,-1,0,7.5,-1.5,0.4531271457672119,792.2748905456284,1,762,-251,1737,344,951,599,20,47.74
4,-2,0,6.0,-3.0,0.4610891342163086,785.6381086901255,1,756,-248,1737,344,951,599,20,46.19
5,-2,0,7.5,-3.0,0.46915602684020996,778.0520287392197,1,749,-245,1737,344,951,599,20,50.98
6,-3,0,9.0,-4.5,0.4769420623779297,768.2550995656886,1,740,-241,1737,344,951,599,20,59.52
6,-2,0,9.0,-3.0,0.4850451946258545,758.7684957124609,1,731,-238,1737,344,951,599,20,60.3
7,-3,0,10.5,-4.5,0.4928591251373291,748.0217674974776,1,721,-234,1737,344,951,599,20,62.59
11,-3,0,16.5,-4.5,0.5007760524749756,731.5692819959576,1,705,-230,1737,344,951,599,20,78.41
16,-3,0,24.0,-4.5,0.5092360973358154,707.5214282514495,1,681,-226,1737,344,951,599,20,91.02
15,-3,0,22.5,-4.5,0.5168731212615967,685.3883806909632,1,659,-222,1737,344,951,599,20,86.12
17,-3,0,25.5,-4.5,0.5248332023620605,660.4326961000635,1,634,-218,1737,344,951,599,20,88.51
16,-3,0,24.0,-4.5,0.5331511497497559,636.4487605371364,1,610,-214,1737,344,951,599,20,85.03
16,-5,0,24.0,-7.5,0.5410900115966797,611.486122129851,1,586,-207,1737,344,951,599,20,85.8
15,-6,0,22.5,-9.0,0.5491600036621094,587.7457653551382,1,564,-198,1737,344,951,599,20,82.06
15,-6,0,22.5,-9.0,0.5568931102752686,564.0078396677175,1,542,-189,1737,344,951,599,20,79.94
15,-4,0,22.5,-6.0,0.5648550987243652,541.2612810637075,1,520,-183,1737,344,951,599,20,76.11
13,-4,0,19.5,-6.0,0.573782205581665,521.3473440227211,1,501,-177,1737,344,951,599,20,70.83
15,-4,0,22.5,-6.0,0.5809681415557861,498.6079039889176,1,479,-171,1737,344,951,599,20,72.16
13,-4,0,19.5,-6.0,0.588994026184082,478.6972477925367,1,460,-165,1737,344,951,599,20,67.0
12,-4,0,18.0,-6.0,0.5969321727752686,459.7286450707472,1,442,-159,1737,344,951,599,20,64.34
10,-4,0,15.0,-6.0,0.6049380302429199,443.583509400419,1,427,-153,1737,344,951,599,20,57.76
