dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0,-0.0,-0.0,0.22919511795043945,553.4252390512871,1,78,558,1042,1147,964,589,20
2,6,0,3.0,9.0,0.42752504348754883,544.0992690845206,1,75,549,1042,1147,964,589,20
5,10,0,7.5,15.0,0.43541502952575684,528.3121770868647,1,68,534,1042,1147,964,589,20
8,12,0,12.0,18.0,0.4434540271759033,509.02986426601694,1,56,516,1042,1147,964,589,20
9,13,0,13.5,19.5,0.45122194290161133,488.8566928487579,1,43,497,1042,1147,964,589,20
11,18,0,16.5,27.0,0.4591240882873535,460.77489312834007,1,27,470,1042,1147,964,589,20
14,20,0,21.0,30.0,0.4671950340270996,430.0409071893203,1,6,440,1042,1147,964,589,20
13,22,0,19.5,33.0,0.47515201568603516,397.20756378043865,1,-13,407,1042,1147,964,589,20
11,20,0,16.5,30.0,0.4832780361175537,368.1137395017536,1,-29,377,1042,1147,964,589,20
9,19,0,13.5,28.5,0.49139404296875,341.51813608973293,1,-42,349,1042,1147,964,589,20
8,19,0,12.0,28.5,0.49926114082336426,315.5103684984551,1,-54,321,1042,1147,964,589,20
6,17,0,9.0,25.5,0.5073690414428711,292.63013729633735,1,-63,296,1042,1147,964,589,20
5,17,0,7.5,25.5,0.5155229568481445,269.8946230280246,1,-70,271,1042,1147,964,589,20
3,13,0,4.5,19.5,0.5231771469116211,252.64043862284421,1,-74,252,1042,1147,964,589,20
1,12,0,1.5,18.0,0.5312449932098389,235.72545655670274,1,-75,234,1042,1147,964,589,20
1,10,0,1.5,15.0,0.5392091274261475,221.81242417092315,1,-76,219,1042,1147,964,589,20
0,8,0,-0.0,12.0,0.5471861362457275,210.51077071199947,1,-76,207,1042,1147,964,589,20
0,8,0,-0.0,12.0,0.5552139282226562,199.2868844433401,1,-76,195,1042,1147,964,589,20
0,5,0,-0.0,7.5,0.5632381439208984,192.78066969018522,1,-76,188,1042,1147,964,589,20
-1,4,0,-1.5,6.0,0.5715451240539551,186.84765683136794,1,-75,182,1042,1147,964,589,20
0,2,0,-0.0,3.0,0.5793380737304688,184.07730418572905,1,-75,179,1042,1147,964,589,20
