dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,reward
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
0,0,0,0,0,0,916.026746334407,1,737,544,1697,1144,960,600,20,0
-1,0,0,-1.0,-0.0,0.31822681427001953,916.8315003314405,1,738,544,1697,1144,960,600,20,8.57
-1,0,0,-1.0,-0.0,0.32613182067871094,917.6366383269578,1,739,544,1697,1144,960,600,20,8.57
-1,0,0,-1.0,-0.0,0.350205659866333,918.4421593110804,1,740,544,1697,1144,960,600,20,8.57
-2,1,0,-2.0,1.0,0.374295711517334,919.4634304854109,1,742,543,1697,1144,960,600,20,6.23
1,0,0,1.0,-0.0,0.48649072647094727,918.6566279083823,1,741,543,1697,1144,960,600,20,6.61
1,0,0,1.0,-0.0,0.5744056701660156,917.8502056436007,1,740,543,1697,1144,960,600,20,6.61
1,1,0,1.0,1.0,0.5821127891540527,916.4523992003076,1,739,542,1697,1144,960,600,20,17.81
2,1,0,2.0,1.0,0.590228796005249,914.2483251283537,1,737,541,1697,1144,960,600,20,20.0
1,2,0,1.0,2.0,0.597996711730957,912.2592833180707,1,736,539,1697,1144,960,600,20,12.64
2,2,0,2.0,2.0,0.6063077449798584,909.4641279346866,1,734,537,1697,1144,960,600,20,23.31
1,1,0,1.0,1.0,0.6143567562103271,908.0666275114398,1,733,536,1697,1144,960,600,20,17.71
