dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,-2,0,-0.0,-3.0,0.27429938316345215,571.938807915672,1,-75,-567,885,30,960,600,20
-1,-4,0,-1.5,-6.0,0.28238630294799805,565.8595232034183,1,-74,-561,885,30,960,600,20
0,-2,0,-0.0,-3.0,0.29023027420043945,562.8854235099715,1,-74,-558,885,30,960,600,20
0,-4,0,-0.0,-6.0,0.2980973720550537,556.9380575970724,1,-74,-552,885,30,960,600,20
0,-7,0,-0.0,-10.5,0.30610132217407227,547.0283356463356,1,-74,-542,885,30,960,600,20
-1,-14,0,-1.5,-21.0,0.31418442726135254,526.089346024038,1,-73,-521,885,30,960,600,20
0,-15,0,-0.0,-22.5,0.32223939895629883,504.31141172890386,1,-73,-499,885,30,960,600,20
-2,-14,0,-3.0,-21.0,0.33003926277160645,483.0983336754537,1,-70,-478,885,30,960,600,20
-2,-15,0,-3.0,-22.5,0.338712215423584,460.89586676384937,1,-67,-456,885,30,960,600,20
-2,-17,0,-3.0,-25.5,0.34620237350463867,435.72583122876705,1,-64,-431,885,30,960,600,20
-2,-16,0,-3.0,-24.0,0.3542933464050293,411.54586621663447,1,-61,-407,885,30,960,600,20
-2,-14,0,-3.0,-21.0,0.3620922565460205,390.3331910048132,1,-58,-386,885,30,960,600,20
-1,-14,0,-1.5,-21.0,0.3701913356781006,369.42387578498494,1,-57,-365,885,30,960,600,20
-1,-13,0,-1.5,-19.5,0.37825727462768555,350.5024964247758,1,-56,-346,885,30,960,600,20
-2,-16,0,-3.0,-24.0,0.38695240020751953,326.3326523656497,1,-53,-322,885,30,960,600,20
-2,-17,0,-3.0,-25.5,0.3944683074951172,301.179348561617,1,-50,-297,885,30,960,600,20
-4,-18,0,-6.0,-27.0,0.4022402763366699,273.5616932247642,1,-44,-270,885,30,960,600,20
-3,-15,0,-4.5,-22.5,0.41022634506225586,251.20509548972132,1,-40,-248,885,30,960,600,20
-2,-14,0,-3.0,-21.0,0.4180593490600586,229.9956521328175,1,-37,-227,885,30,960,600,20
-4,-14,0,-6.0,-21.0,0.42595934867858887,208.31946620515328,1,-31,-206,885,30,960,600,20
-3,-12,0,-4.5,-18.0,0.43421220779418945,189.92893407798613,1,-27,-188,885,30,960,600,20
-4,-13,0,-6.0,-19.5,0.44223833084106445,170.29973576021777,1,-21,-169,885,30,960,600,20
-5,-10,0,-7.5,-15.0,0.45026230812072754,154.63505424062166,1,-14,-154,885,30,960,600,20
-3,-9,0,-4.5,-13.5,0.4582793712615967,141.35416513141735,1,-10,-141,885,30,960,600,20
-2,-8,0,-3.0,-12.0,0.46608638763427734,129.18978287774928,1,-7,-129,885,30,960,600,20
-2,-8,0,-3.0,-12.0,0.4741382598876953,117.06835610018618,1,-4,-117,885,30,960,600,20
-2,-7,0,-3.0,-10.5,0.4821662902832031,107.00467279516349,1,-1,-107,885,30,960,600,20
-1,-6,0,-1.5,-9.0,0.4900822639465332,98.0,1,0,-98,885,30,960,600,20
-1,-6,0,-1.5,-9.0,0.49831223487854004,89.00561780022652,1,1,-89,885,30,960,600,20
-2,-6,0,-3.0,-9.0,0.5060863494873047,80.09993757800315,1,4,-80,885,30,960,600,20
-1,-7,0,-1.5,-10.5,0.5141923427581787,70.178344238091,1,5,-70,885,30,960,600,20
-1,-6,0,-1.5,-9.0,0.5220792293548584,61.29437168288782,1,6,-61,885,30,960,600,20
0,-5,0,-0.0,-7.5,0.5300552845001221,54.3323108288245,1,6,-54,885,30,960,600,20
0,-3,0,-0.0,-4.5,0.5380773544311523,50.35871324805669,1,6,-50,885,30,960,600,20
0,-4,0,-0.0,-6.0,0.5461153984069824,44.40720662234904,1,6,-44,885,30,960,600,20
0,-2,0,-0.0,-3.0,0.5540862083435059,41.43669871020132,1,6,-41,885,30,960,600,20
0,-3,0,-0.0,-4.5,0.5621063709259033,37.48332962798263,1,6,-37,885,30,960,600,20
1,-2,0,1.5,-3.0,0.5701613426208496,34.36568055487916,1,5,-34,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.5781702995300293,33.37663853655727,1,5,-33,885,30,960,600,20
1,-2,0,1.5,-3.0,0.5862743854522705,30.265491900843113,1,4,-30,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.5946433544158936,29.274562336608895,1,4,-29,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.6021723747253418,28.284271247461902,1,4,-28,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.610201358795166,27.294688127912362,1,4,-27,885,30,960,600,20
0,-2,0,-0.0,-3.0,0.6180932521820068,24.331050121192877,1,4,-24,885,30,960,600,20
0,-2,0,-0.0,-3.0,0.6261322498321533,21.37755832643195,1,4,-21,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.6341283321380615,20.396078054371138,1,4,-20,885,30,960,600,20
0,-2,0,-0.0,-3.0,0.6422932147979736,17.46424919657298,1,4,-17,885,30,960,600,20
1,-1,0,1.5,-1.5,0.6500704288482666,16.278820596099706,1,3,-16,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.6581823825836182,15.297058540778355,1,3,-15,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.6661243438720703,14.317821063276353,1,3,-14,885,30,960,600,20
1,-1,0,1.5,-1.5,0.6740753650665283,13.152946437965905,1,2,-13,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.6820192337036133,12.165525060596439,1,2,-12,885,30,960,600,20
1,-1,0,1.5,-1.5,0.6900992393493652,11.045361017187261,1,1,-11,885,30,960,600,20
0,-1,0,-0.0,-1.5,0.7060613632202148,10.04987562112089,1,1,-10,885,30,960,600,20
1,0,0,1.5,-0.0,0.7221453189849854,10.0,1,0,-10,885,30,960,600,20
0,0,1,-0.0,-0.0,0.8440003395080566,10.0,1,0,-10,885,30,960,600,20
0,0,0,-0.0,-0.0,0.06745028495788574,482.6282213049709,2,-411,253,474,293,885,40,63
-2,2,0,-3.0,3.0,0.16761326789855957,478.50182862764484,2,-408,250,474,293,885,40,63
-3,4,0,-4.5,6.0,0.17568135261535645,471.9661004775661,2,-404,244,474,293,885,40,63
-5,6,0,-7.5,9.0,0.18359827995300293,461.33935448864537,2,-397,235,474,293,885,40,63
-8,7,0,-12.0,10.5,0.19161128997802734,445.92600283006595,2,-385,225,474,293,885,40,63
-10,8,0,-15.0,12.0,0.1995234489440918,426.9297366077936,2,-370,213,474,293,885,40,63
-10,9,0,-15.0,13.5,0.20760536193847656,407.4616546375867,2,-355,200,474,293,885,40,63
-12,11,0,-18.0,16.5,0.2155463695526123,383.9596332949598,2,-337,184,474,293,885,40,63
