dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
18,101,0.0,27.0,151.5,0.9236283302307129,329.68956416116174,1,210,-267,1198,473,961,589,20
49,237,0.0,73.5,355.5,0.9336025714874268,626.9089416863293,1,137,-622,1198,473,961,589,20
-81,0,0.0,-121.5,0,0.9415802955627441,760.4803696396165,1,258,-726,1198,473,961,589,20
-166,0,0.0,-249.0,0,0.9495594501495361,875.5083285887265,1,507,-726,1198,473,961,589,20
-278,-105,0.0,-417.0,-157.5,0.9575378894805908,1075.1437692766797,1,924,-569,1198,473,961,589,20
0,-187,0.0,0,-280.5,0.9655163288116455,1221.3935195541676,1,1197,-289,1198,473,961,589,20
0,-253,0.0,0,-379.5,0.9744930267333984,1190.3786902473735,1,1197,90,1198,473,961,589,20
0,0,0.0,0,0,0.9814755916595459,1276.698488380242,1,1197,472,1198,473,961,589,20
0,0,0.0,0,0,0.9914495944976807,1276.698488380242,1,1197,472,1198,473,961,589,20
0,0,0.0,0,0,0.9999332427978516,1276.698488380242,1,1197,472,1198,473,961,589,20
0,0,1.0,0,0,1.0079326629638672,1276.698488380242,1,1197,472,1198,473,961,589,20
13,0,1.0,19.5,0,1.01589035987854,1259.0421584801666,1,1178,472,1198,473,961,589,20
0,0,0.0,0,0,1.0238690376281738,1276.698488380242,1,1197,472,1198,473,961,589,20
0,0,0.0,0,0,1.0318491458892822,1276.698488380242,1,1197,472,1198,473,961,589,20
0,0,1.0,0,0,1.0398268699645996,1276.698488380242,1,1197,472,1198,473,961,589,20
222,0,1.0,333.0,0,1.0478060245513916,974.5201877056661,1,864,472,1198,473,961,589,20
322,0,0.99,483.0,0,1.0557913780212402,596.5847014226455,1,381,472,1198,473,961,589,20
256,0,0.0,384.0,0,1.0637648105621338,462.00953380201975,1,-3,472,1198,473,961,589,20
282,130,0.0,423.0,195.0,1.0717425346374512,498.138760576282,1,-426,277,1198,473,961,589,20
0,50,0.0,0,75.0,1.079721212387085,738.7623120857513,1,-721,202,1198,473,961,589,20
0,68,0.0,0,102.0,1.0867037773132324,717.9017790883603,1,-721,100,1198,473,961,589,20
-90,60,0.0,-135.0,90.0,1.0966765880584717,576.0853180211905,1,-586,10,1198,473,961,589,20
-118,58,0.0,-177.0,87.0,1.1046552658081055,406.18505499356894,1,-409,-77,1198,473,961,589,20
-131,38,0.0,-196.5,57.0,1.1126346588134766,241.6445906432324,1,-213,-134,1198,473,961,589,20
