dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.0,-0.0,-0.0,0.8677029609680176,287.60041724587256,1,-133,-255,827,345,960,600,20
-24,-6,0.0,-36.0,-9.0,0.8746833801269531,264.43335644354704,1,-97,-246,827,345,960,600,20
-20,-3,0.0,-30.0,-4.5,0.8846585750579834,251.10356429170812,1,-67,-242,827,345,960,600,20
-10,0,0.0,-15.0,-0.0,0.891638994216919,247.52373623553763,1,-52,-242,827,345,960,600,20
-2,2,0.0,-3.0,3.0,0.9006161689758301,249.85195616604645,1,-49,-245,827,345,960,600,20
-1,0,0.0,-1.5,-0.0,0.9095909595489502,249.65776575143823,1,-48,-245,827,345,960,600,20
0,-2,0.0,-0.0,-3.0,0.917569637298584,246.71440979399642,1,-48,-242,827,345,960,600,20
2,-2,0.0,3.0,-3.0,0.9265456199645996,244.38085031360376,1,-51,-239,827,345,960,600,20
1,-2,0.0,1.5,-3.0,0.9355490207672119,241.66091947189145,1,-52,-236,827,345,960,600,20
1,-1,0.0,1.5,-1.5,0.9454953670501709,240.9024698918631,1,-53,-235,827,345,960,600,20
2,-1,0.0,3.0,-1.5,0.9524836540222168,240.60756430336932,1,-56,-234,827,345,960,600,20
1,-1,0.0,1.5,-1.5,0.9624505043029785,239.87079855622275,1,-57,-233,827,345,960,600,20
0,0,0.0,-0.0,-0.0,0.9694325923919678,239.87079855622275,1,-57,-233,827,345,960,600,20
1,-1,0.0,1.5,-1.5,0.9784097671508789,239.14012628582432,1,-58,-232,827,345,960,600,20
1,-1,0.0,1.5,-1.5,0.9873855113983154,238.41560351621283,1,-59,-231,827,345,960,600,20
0,-2,0.0,-0.0,-3.0,0.9973564147949219,235.51008470976353,1,-59,-228,827,345,960,600,20
0,-3,0.37,-0.0,-4.5,1.0043389797210693,231.639806596362,1,-59,-224,827,345,960,600,20
0,-4,0.11,-0.0,-6.0,1.0133144855499268,225.84286572747877,1,-59,-218,827,345,960,600,20
0,-6,0.0,-0.0,-9.0,1.0203232765197754,217.168137626126,1,-59,-209,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0302965641021729,207.28000385951367,1,-58,-199,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0372505187988281,197.40820651634522,1,-57,-189,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0472235679626465,187.55532517100121,1,-56,-179,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0542051792144775,177.72450590731714,1,-55,-169,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.062225341796875,167.91962362987834,1,-54,-159,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.071160078048706,158.14550262337528,1,-53,-149,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0808594226837158,148.4082207965583,1,-52,-139,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0888144969940186,138.7155362603627,1,-51,-129,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.0987942218780518,129.07749610214788,1,-50,-119,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.106767177581787,119.50732195141852,1,-49,-109,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.1157443523406982,110.02272492535349,1,-48,-99,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.125715970993042,100.64790112068906,1,-47,-89,827,345,960,600,20
-1,-7,0.0,-1.5,-10.5,1.1346917152404785,91.4166286842826,1,-46,-79,827,345,960,600,20
-1,-6,0.0,-1.5,-9.0,1.1426708698272705,83.21658488546619,1,-45,-70,827,345,960,600,20
-1,-6,0.0,-1.5,-9.0,1.151646614074707,75.21303078589507,1,-44,-61,827,345,960,600,20
-1,-5,0.0,-1.5,-7.5,1.1596276760101318,69.02897942168927,1,-43,-54,827,345,960,600,20
-1,-5,0.0,-1.5,-7.5,1.1676054000854492,63.0317380372777,1,-42,-47,827,345,960,600,20
-1,-4,0.0,-1.5,-6.0,1.176581859588623,57.982756057296896,1,-41,-41,827,345,960,600,20
-1,-4,0.0,-1.5,-6.0,1.1836776733398438,53.150729063673246,1,-40,-35,827,345,960,600,20
-1,-4,0.0,-1.5,-6.0,1.1926531791687012,48.60041152089147,1,-39,-29,827,345,960,600,20
-1,-3,0.0,-1.5,-4.5,1.2016575336456299,45.48626166217664,1,-38,-25,827,345,960,600,20
-1,-3,0.0,-1.5,-4.5,1.2096188068389893,42.5440947723653,1,-37,-21,827,345,960,600,20
-1,-3,0.0,-1.5,-4.5,1.2185852527618408,39.81205847478876,1,-36,-17,827,345,960,600,20
-1,-3,0.0,-1.5,-4.5,1.227562427520752,37.33630940518894,1,-35,-13,827,345,960,600,20
-1,-3,0.0,-1.5,-4.5,1.2365374565124512,35.17101079013795,1,-34,-9,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.245513916015625,33.54101966249684,1,-33,-6,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2535157203674316,32.14031735997639,1,-32,-3,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2634904384613037,31.0,1,-31,0,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2704472541809082,30.14962686336267,1,-30,3,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2784290313720703,29.614185789921695,1,-29,6,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2874019145965576,29.410882339705484,1,-28,9,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.2973744869232178,29.546573405388315,1,-27,12,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.3043649196624756,30.01666203960727,1,-26,15,827,345,960,600,20
-1,-2,0.0,-1.5,-3.0,1.3143301010131836,30.805843601498726,1,-25,18,827,345,960,600,20
