dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,0,0.0,1.0,-0.0,0.8936052322387695,494.58002338578564,1,501,-60,1468,541,966,601,20
13,-2,0.0,13.0,-2.0,0.9015860557556152,481.4346345140928,1,488,-58,1468,541,966,601,20
13,-2,0.0,13.0,-2.0,0.909564733505249,468.2896611886985,1,475,-56,1468,541,966,601,20
14,-3,0.0,14.0,-3.0,0.9175441265106201,454.0366364846638,1,461,-53,1468,541,966,601,20
14,-2,0.0,14.0,-2.0,0.9255239963531494,439.89998888641907,1,447,-51,1468,541,966,601,20
14,-2,0.0,14.0,-2.0,0.9325337409973145,425.7636974324502,1,433,-49,1468,541,966,601,20
14,-2,0.0,14.0,-2.0,0.9424777030944824,411.62779794505957,1,419,-47,1468,541,966,601,20
14,-2,0.0,14.0,-2.0,0.9504573345184326,397.49233121618374,1,405,-45,1468,541,966,601,20
14,-2,0.0,14.0,-2.0,0.9584362506866455,383.35734389992007,1,391,-43,1468,541,966,601,20
13,-2,0.02,13.0,-2.0,0.9654171466827393,370.2170432792302,1,378,-41,1468,541,966,601,20
12,-2,0.01,12.0,-2.0,0.9743945598602295,358.0720038253385,1,366,-39,1468,541,966,601,20
12,-2,0.01,12.0,-2.0,0.9833693504333496,345.92836357896516,1,354,-37,1468,541,966,601,20
11,-2,0.01,11.0,-2.0,0.9913613796234131,334.78108996869304,1,343,-35,1468,541,966,601,20
11,-1,0.01,11.0,-1.0,1.0001893043518066,323.73642294481436,1,332,-34,1468,541,966,601,20
11,-1,0.01,11.0,-1.0,1.0091643333435059,312.69180342859653,1,321,-33,1468,541,966,601,20
10,-1,0.01,10.0,-1.0,1.018141508102417,302.64196775225173,1,311,-32,1468,541,966,601,20
10,-1,0.01,10.0,-1.0,1.0271165370941162,292.59213472924245,1,301,-31,1468,541,966,601,20
10,-1,0.01,10.0,-1.0,1.0370898246765137,282.54230463302224,1,291,-30,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0450689792633057,272.49247777595775,1,281,-29,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0540449619293213,262.44265451650557,1,271,-28,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0620248317718506,252.39283526803854,1,261,-27,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.070002794265747,242.3430205097815,1,251,-26,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0779821872711182,232.29321080046796,1,241,-25,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0859603881835938,222.24340679554285,1,231,-24,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.0939390659332275,212.19360926903366,1,221,-23,1468,541,966,601,20
10,-1,0.0,10.0,-1.0,1.1019177436828613,202.14381914163798,1,211,-22,1468,541,966,601,20
9,-1,0.0,9.0,-1.0,1.1098966598510742,193.08865059377396,1,202,-21,1468,541,966,601,20
8,-1,0.0,8.0,-1.0,1.1168782711029053,185.02820308868152,1,194,-20,1468,541,966,601,20
7,-1,0.0,7.0,-1.0,1.1268513202667236,177.9627622695517,1,187,-19,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.134831190109253,171.89282558693733,1,181,-18,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.1438064575195312,165.82377541163197,1,175,-17,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.152782678604126,159.75570682601514,1,169,-16,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.159764289855957,153.68872899500442,1,163,-15,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.1687414646148682,147.62296786953354,1,157,-14,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.1777174472808838,141.5585695366646,1,151,-13,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.186692714691162,135.49570440394453,1,145,-12,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.1946852207183838,129.43457247038842,1,139,-11,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.2036473751068115,123.37541002748594,1,133,-10,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.2116260528564453,117.3184982632139,1,127,-9,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.2186079025268555,111.26417442921878,1,121,-8,1468,541,966,601,20
6,-1,0.01,6.0,-1.0,1.2275841236114502,105.2128465059344,1,115,-7,1468,541,966,601,20
5,-1,0.01,5.0,-1.0,1.2375574111938477,100.16351483136329,1,110,-6,1468,541,966,601,20
5,-1,0.01,5.0,-1.0,1.2465355396270752,95.11898020814318,1,105,-5,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.2555103302001953,91.07917688624102,1,101,-4,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.2644948959350586,87.04638066409278,1,97,-3,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.2734618186950684,83.02150289046077,1,93,-2,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.2824409008026123,79.00561780022652,1,89,-1,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.2914140224456787,75.0,1,85,0,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3003902435302734,71.00617260431454,1,81,1,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3103642463684082,67.02596964660685,1,77,2,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3213343620300293,63.06161783043132,1,73,3,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3283162117004395,59.115844782509896,1,69,4,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3382904529571533,55.19202405202648,1,65,5,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3462684154510498,51.29437168288782,1,61,6,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3542559146881104,47.42821606144492,1,57,7,1468,541,966,601,20
4,-1,0.01,4.0,-1.0,1.3622262477874756,43.600373133029585,1,53,8,1468,541,966,601,20
3,-1,0.01,3.0,-1.0,1.3702046871185303,40.80354318352215,1,50,9,1468,541,966,601,20
3,-1,0.01,3.0,-1.0,1.379181146621704,38.05205510693585,1,47,10,1468,541,966,601,20
2,-1,0.01,2.0,-1.0,1.3891546726226807,36.32493928760188,1,45,11,1468,541,966,601,20
2,-1,0.01,2.0,-1.0,1.3971471786499023,34.64302857109943,1,43,12,1468,541,966,601,20
2,-1,0.01,2.0,-1.0,1.4061098098754883,33.01162633521314,1,41,13,1468,541,966,601,20
2,-1,0.01,2.0,-1.0,1.414088249206543,31.43669871020132,1,39,14,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.4220693111419678,29.92492955535426,1,37,15,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.429048776626587,28.483762809787713,1,35,16,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.4380245208740234,27.12142238654117,1,33,17,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.4470007419586182,25.84689665786984,1,31,18,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.4569754600524902,24.66987164671943,1,29,19,1468,541,966,601,20
2,-1,0.02,2.0,-1.0,1.4639556407928467,23.600595232822883,1,27,20,1468,541,966,601,20
2,-1,0.03,2.0,-1.0,1.4719359874725342,22.649655434629018,1,25,21,1468,541,966,601,20
2,-1,0.03,2.0,-1.0,1.4809119701385498,21.827660925679098,1,23,22,1468,541,966,601,20
2,-1,0.03,2.0,-1.0,1.48988676071167,21.144823004794873,1,21,23,1468,541,966,601,20
2,-1,0.04,2.0,-1.0,1.4988720417022705,20.610455730027933,1,19,24,1468,541,966,601,20
2,-1,0.04,2.0,-1.0,1.5078389644622803,20.23243291566195,1,17,25,1468,541,966,601,20
2,-1,0.05,2.0,-1.0,1.516815423965454,20.01666203960727,1,15,26,1468,541,966,601,20
2,-1,0.06,2.0,-1.0,1.5267891883850098,19.966648127543394,1,13,27,1468,541,966,601,20
2,-1,0.07,2.0,-1.0,1.5347673892974854,20.083217912982647,1,11,28,1468,541,966,601,20
2,-1,0.08,2.0,-1.0,1.5427463054656982,20.364452901377952,1,9,29,1468,541,966,601,20
2,-1,0.09,2.0,-1.0,1.5517222881317139,20.805843601498726,1,7,30,1468,541,966,601,20
2,-1,0.09,2.0,-1.0,1.5606987476348877,21.400636936215164,1,5,31,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.5676813125610352,22.140317359976393,1,3,32,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.5776536464691162,23.015148038438355,1,1,33,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.5846359729766846,24.0147027033899,1,-1,34,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.5936110019683838,25.128336140500593,1,-3,35,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.6015992164611816,26.345563690772494,1,-5,36,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.6105661392211914,27.656340767525464,1,-7,37,1468,541,966,601,20
2,-1,0.1,2.0,-1.0,1.6205430030822754,29.05124837953327,1,-9,38,1468,541,966,601,20
