dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,1,0.0,1.5,1.5,0.8632724285125732,802.4643294253023,1,418,685,679,753,260,67,20
5,1,0.0,7.5,1.5,0.8722488880157471,797.983082527443,1,411,684,679,753,260,67,20
6,2,0.0,9.0,3.0,0.8812258243560791,790.8002276175697,1,402,681,679,753,260,67,20
7,3,0.0,10.5,4.5,0.8882067203521729,782.2998146490896,1,392,677,679,753,260,67,20
8,4,0.0,12.0,6.0,0.8971831798553467,771.1296907784059,1,380,671,679,753,260,67,20
8,5,0.0,12.0,7.5,0.9051766395568848,759.1574276788708,1,368,664,679,753,260,67,20
8,6,0.0,12.0,9.0,0.9141383171081543,745.4937960841794,1,356,655,679,753,260,67,20
8,7,0.0,12.0,10.5,0.9221184253692627,731.0,1,344,645,679,753,260,67,20
8,8,0.0,12.0,12.0,0.9310932159423828,714.7817848826312,1,332,633,679,753,260,67,20
8,9,0.0,12.0,13.5,0.9390726089477539,697.7105417004963,1,320,620,679,753,260,67,20
8,10,0.0,12.0,15.0,0.9480481147766113,678.8880614652168,1,308,605,679,753,260,67,20
8,11,0.0,12.0,16.5,0.9570350646972656,659.1942050716162,1,296,589,679,753,260,67,20
8,11,0.0,12.0,16.5,0.966001033782959,639.5193507627428,1,284,573,679,753,260,67,20
8,12,0.0,12.0,18.0,0.9749879837036133,618.0687664006329,1,272,555,679,753,260,67,20
8,12,0.0,12.0,18.0,0.9829561710357666,596.6313769824715,1,260,537,679,753,260,67,20
7,12,0.0,10.5,18.0,0.9909553527832031,576.0737799969722,1,250,519,679,753,260,67,20
7,12,0.0,10.5,18.0,0.9989137649536133,555.518676553723,1,240,501,679,753,260,67,20
6,12,0.0,9.0,18.0,1.0088872909545898,535.3970489272424,1,231,483,679,753,260,67,20
6,12,0.0,9.0,18.0,1.0178639888763428,515.275654383166,1,222,465,679,753,260,67,20
5,12,0.0,7.5,18.0,1.0278370380401611,496.01814482940034,1,215,447,679,753,260,67,20
5,12,0.0,7.5,18.0,1.0348188877105713,476.7651413431985,1,208,429,679,753,260,67,20
4,12,0.0,6.0,18.0,1.0447921752929688,457.9574216016157,1,202,411,679,753,260,67,20
4,12,0.0,6.0,18.0,1.0517723560333252,439.16397848639633,1,196,393,679,753,260,67,20
4,11,0.0,6.0,16.5,1.0617458820343018,422.1717659910478,1,190,377,679,753,260,67,20
4,11,0.0,6.0,16.5,1.0687291622161865,405.18761086686743,1,184,361,679,753,260,67,20
4,10,0.0,6.0,15.0,1.079699993133545,389.1015291668744,1,178,346,679,753,260,67,20
4,10,0.0,6.0,15.0,1.0886776447296143,373.02144710458674,1,172,331,679,753,260,67,20
4,9,0.0,6.0,13.5,1.0986497402191162,358.7199464763564,1,166,318,679,753,260,67,20
4,9,0.0,6.0,13.5,1.1066274642944336,344.41980198589044,1,160,305,679,753,260,67,20
4,8,0.0,6.0,12.0,1.1166021823883057,331.0060422409235,1,154,293,679,753,260,67,20
4,8,0.0,6.0,12.0,1.1252570152282715,317.59250620882096,1,148,281,679,753,260,67,20
