dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,1,0.01,-0.0,1.5,0.9286003112792969,306.5469949312424,1,59,-311,1019,290,960,600,20
0,1,0.32,-0.0,1.5,0.9365804195404053,307.52952618614853,1,59,-312,1019,290,960,600,20
0,0,0.86,-0.0,-0.0,0.9445581436157227,307.52952618614853,1,59,-312,1019,290,960,600,20
-1,0,0.55,-1.5,-0.0,0.95253586769104,307.7168550769694,1,60,-312,1019,290,960,600,20
-1,0,0.82,-1.5,-0.0,0.9615135192871094,307.90721916936707,1,61,-312,1019,290,960,600,20
-2,0,0.42,-3.0,-0.0,0.9704878330230713,308.4964677983101,1,64,-312,1019,290,960,600,20
-2,0,0.04,-3.0,-0.0,0.9794914722442627,309.11283270968596,1,67,-312,1019,290,960,600,20
-2,1,0.01,-3.0,1.5,0.9884400367736816,310.73197533142843,1,70,-313,1019,290,960,600,20
-2,1,0.01,-3.0,1.5,0.9969894886016846,312.37400639629743,1,73,-314,1019,290,960,600,20
-2,1,0.02,-3.0,1.5,1.0069634914398193,314.0385779502188,1,76,-315,1019,290,960,600,20
-1,1,0.01,-1.5,1.5,1.0149426460266113,315.2460606986655,1,77,-316,1019,290,960,600,20
0,0,0.0,-0.0,-0.0,1.0219242572784424,315.2460606986655,1,77,-316,1019,290,960,600,20
0,1,0.0,-0.0,1.5,1.0318965911865234,316.2177187094533,1,77,-317,1019,290,960,600,20
1,0,0.0,1.5,-0.0,1.0398764610290527,315.9831283977746,1,76,-317,1019,290,960,600,20
1,0,0.0,1.5,-0.0,1.0468575954437256,315.75143898377485,1,75,-317,1019,290,960,600,20
2,-1,0.0,3.0,-1.5,1.0568301677703857,314.09875038327436,1,72,-316,1019,290,960,600,20
2,-2,0.0,3.0,-3.0,1.0648090839385986,310.5152102475014,1,69,-313,1019,290,960,600,20
2,-2,0.0,3.0,-3.0,1.0727887153625488,306.9479452528443,1,66,-310,1019,290,960,600,20
2,-2,0.0,3.0,-3.0,1.0797693729400635,303.39751115795417,1,63,-307,1019,290,960,600,20
2,-3,0.0,3.0,-4.5,1.0877492427825928,298.8834731739463,1,60,-303,1019,290,960,600,20
2,-4,0.01,3.0,-6.0,1.0977225303649902,292.42023741806696,1,57,-297,1019,290,960,600,20
2,-5,0.0,3.0,-7.5,1.1057016849517822,284.98474536829866,1,54,-290,1019,290,960,600,20
2,-6,0.0,3.0,-9.0,1.1136794090270996,275.5906160923359,1,51,-281,1019,290,960,600,20
2,-7,0.0,3.0,-10.5,1.123652696609497,265.2180953353177,1,48,-271,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1316320896148682,252.8802008520231,1,45,-259,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1396102905273438,240.54540506662659,1,42,-247,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1475889682769775,228.21418933388497,1,39,-235,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.155592441558838,215.88713996153035,1,36,-223,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1645448207855225,203.56497840235883,1,33,-211,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.172523021697998,191.2486024796197,1,30,-199,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.180506706237793,178.939143641544,1,27,-187,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1894795894622803,166.63804799646084,1,24,-175,1019,290,960,600,20
2,-8,0.0,3.0,-12.0,1.1974561214447021,154.34719346554112,1,21,-163,1019,290,960,600,20
2,-7,0.0,3.0,-10.5,1.2054626941680908,144.05518491761322,1,18,-153,1019,290,960,600,20
2,-7,0.0,3.0,-10.5,1.2144112586975098,133.78456106272327,1,15,-143,1019,290,960,600,20
2,-6,0.0,3.0,-9.0,1.2223906517028809,124.53624047073711,1,12,-134,1019,290,960,600,20
2,-6,0.0,3.0,-9.0,1.230396032333374,115.32358118087753,1,9,-125,1019,290,960,600,20
2,-6,0.0,3.0,-9.0,1.2383472919464111,106.15506876585283,1,6,-116,1019,290,960,600,20
2,-5,0.0,3.0,-7.5,1.247323751449585,99.04127658827184,1,3,-109,1019,290,960,600,20
2,-5,0.0,3.0,-7.5,1.2543375492095947,92.0,1,0,-102,1019,290,960,600,20
2,-5,0.0,3.0,-7.5,1.2632818222045898,85.04735661763561,1,-3,-95,1019,290,960,600,20
2,-4,0.0,3.0,-6.0,1.2722625732421875,79.20201791439474,1,-6,-89,1019,290,960,600,20
2,-4,0.0,3.0,-6.0,1.2812345027923584,73.48652585896721,1,-9,-83,1019,290,960,600,20
2,-4,0.0,3.0,-6.0,1.291208028793335,67.92945527847606,1,-12,-77,1019,290,960,600,20
2,-4,0.0,3.0,-6.0,1.2991855144500732,62.56721022610694,1,-15,-71,1019,290,960,600,20
2,-3,0.0,3.0,-4.5,1.3071644306182861,59.3757882838098,1,-18,-67,1019,290,960,600,20
1,-3,0.0,1.5,-4.5,1.315143346786499,55.80273550544841,1,-19,-63,1019,290,960,600,20
1,-3,0.0,1.5,-4.5,1.3221254348754883,52.297672508690084,1,-20,-59,1019,290,960,600,20
1,-3,0.0,1.5,-4.5,1.330104112625122,48.872744118140105,1,-21,-55,1019,290,960,600,20
1,-3,0.0,1.5,-4.5,1.3390800952911377,45.54277630799526,1,-22,-51,1019,290,960,600,20
1,-3,0.0,1.5,-4.5,1.3480563163757324,42.32590180780452,1,-23,-47,1019,290,960,600,20
