dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,0,0.04,1.5,-0.0,0.8842847347259521,764.0523238128027,1,-711,306,250,906,960,600,20
1,-1,0.14,1.5,-1.5,0.8922641277313232,765.3663650172091,1,-712,307,250,906,960,600,20
0,0,0.23,-0.0,-0.0,0.8992464542388916,765.3663650172091,1,-712,307,250,906,960,600,20
1,-1,0.19,1.5,-1.5,0.9082233905792236,766.6807580982035,1,-713,308,250,906,960,600,20
1,-1,0.09,1.5,-1.5,0.9171974658966064,767.9955012723402,1,-714,309,250,906,960,600,20
1,-1,0.11,1.5,-1.5,0.9261739253997803,769.310592767736,1,-715,310,250,906,960,600,20
1,-1,0.1,1.5,-1.5,0.9361474514007568,770.6260308239791,1,-716,311,250,906,960,600,20
1,-1,0.14,1.5,-1.5,0.9431300163269043,771.9418136920419,1,-717,312,250,906,960,600,20
1,-1,0.22,1.5,-1.5,0.9521069526672363,773.2579396341923,1,-718,313,250,906,960,600,20
1,-1,0.07,1.5,-1.5,0.9620802402496338,774.5744069239067,1,-719,314,250,906,960,600,20
1,-1,0.04,1.5,-1.5,0.9700589179992676,775.8912138457841,1,-720,315,250,906,960,600,20
1,-1,0.08,1.5,-1.5,0.9775428771972656,777.20835869546,1,-721,316,250,906,960,600,20
0,-1,0.06,-0.0,-1.5,0.9875171184539795,777.6103097344524,1,-721,317,250,906,960,600,20
0,-1,0.03,-0.0,-1.5,0.9954960346221924,778.0133247604383,1,-721,318,250,906,960,600,20
-1,-1,0.07,-1.5,-1.5,1.0034747123718262,777.503015867241,1,-720,319,250,906,960,600,20
-1,-1,0.08,-1.5,-1.5,1.0104560852050781,776.9949173914657,1,-719,320,250,906,960,600,20
-1,-1,0.06,-1.5,-1.5,1.0194323062896729,776.4890336171255,1,-718,321,250,906,960,600,20
-1,-1,0.02,-1.5,-1.5,1.0264229774475098,775.9853688205652,1,-717,322,250,906,960,600,20
