dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.13,-0.0,-0.0,0.8849058151245117,156.01281998605114,1,2,156,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,0.8928844928741455,157.07959765672945,1,5,157,961,756,959,600,20
-3,-1,0.0,-4.5,-1.5,0.9008622169494629,158.25612152457168,1,9,158,961,756,959,600,20
-4,-1,0.0,-6.0,-1.5,0.9088418483734131,159.70597985047397,1,15,159,961,756,959,600,20
-5,-1,0.0,-7.5,-1.5,0.916820764541626,161.50541786577935,1,22,160,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9238014221191406,163.95731151735808,1,31,161,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9327771663665771,166.86521506892922,1,40,162,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9427521228790283,170.20575783445165,1,49,163,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9497339725494385,173.95401691251627,1,58,164,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9587366580963135,178.08424972467387,1,67,165,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9686827659606934,182.5705343148231,1,76,166,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9756641387939453,187.38729946290383,1,85,167,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9856390953063965,192.50974001333023,1,94,168,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,0.9946129322052002,197.91412279066898,1,103,169,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0025994777679443,203.57799488156869,1,112,170,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0125977993011475,209.4803093371785,1,121,171,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.020552396774292,215.60148422494683,1,130,172,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0295276641845703,221.92341021172146,1,139,173,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0375072956085205,228.42942017174582,1,148,174,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0475046634674072,235.10423220350586,1,157,175,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0584516525268555,241.93387526346947,1,166,176,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0654330253601074,248.90560459740556,1,175,177,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0744361877441406,256.00781238079435,1,184,178,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.0834136009216309,263.2299375071156,1,193,179,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.092381477355957,270.56237728109943,1,202,180,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1013379096984863,277.9964028544254,1,211,181,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1103136539459229,285.5240795449659,1,220,182,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1182923316955566,293.1381926668717,1,229,183,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1282658576965332,300.83217912982644,1,238,184,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.136244535446167,308.6000648088072,1,247,185,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1462182998657227,316.4364075134213,1,256,186,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1541965007781982,324.33624527641064,1,265,187,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.163172960281372,332.29504961705345,1,274,188,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1721603870391846,340.3086834037592,1,283,189,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1801280975341797,348.3733629312092,1,292,190,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1891038417816162,356.4856238335566,1,301,191,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.1970829963684082,364.6422904710862,1,310,192,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.205061674118042,372.84044844946743,1,319,193,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2140381336212158,381.0774199555781,1,328,194,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2210464477539062,389.3507416199435,1,337,195,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2309925556182861,397.6581446418519,1,346,196,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2389724254608154,405.9975369383415,1,355,197,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2479488849639893,414.36698710201324,1,364,198,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2579221725463867,422.7647099747092,1,373,199,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2668979167938232,431.18905366439907,1,382,200,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2768712043762207,439.638487851098,1,391,201,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.2848494052886963,448.1115932443614,1,400,202,961,756,959,600,20
-6,-1,0.0,-9.0,-1.5,1.294823169708252,456.607052069939,1,409,203,961,756,959,600,20
-5,-1,0.0,-7.5,-1.5,1.303800106048584,463.3270982793905,1,416,204,961,756,959,600,20
-4,-1,0.0,-6.0,-1.5,1.314772129058838,469.1577559840613,1,422,205,961,756,959,600,20
-3,-1,0.0,-4.5,-1.5,1.322749137878418,473.19340654747083,1,426,206,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.331725835800171,476.3297177376192,1,429,207,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3397040367126465,479.4663700406943,1,432,208,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3496778011322021,482.6033568055655,1,435,209,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3596525192260742,485.74067155221826,1,438,210,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3686375617980957,488.8783079663077,1,441,211,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.377603530883789,492.0162598939186,1,444,212,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3865792751312256,495.1545213365218,1,447,213,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.3965530395507812,498.29308644611956,1,450,214,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.4055097103118896,501.4319495205705,1,453,215,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.4144861698150635,504.5711049990873,1,456,216,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.4214673042297363,507.71054745789945,1,459,217,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.431441307067871,510.85027160607444,1,462,218,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.438422441482544,513.9902722814898,1,465,219,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.448396921157837,517.130544446951,1,468,220,961,756,959,600,20
-2,-1,0.0,-3.0,-1.5,1.4554028511047363,520.2710831864481,1,471,221,961,756,959,600,20
