dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-1,0,0.0,-1.5,-0.0,0.8916049003601074,610.5243647881713,1,-574,-208,358,353,933,561,20
-6,-4,0.0,-9.0,-6.0,0.9005744457244873,600.0241661799964,1,-565,-202,358,353,933,561,20
-10,-4,0.0,-15.0,-6.0,0.908137321472168,583.8801246831407,1,-550,-196,358,353,933,561,20
-12,-4,0.0,-18.0,-6.0,0.9181134700775146,564.9106123981032,1,-532,-190,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9260814189910889,545.0,1,-513,-184,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9360549449920654,525.0904683956851,1,-494,-178,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9440333843231201,505.1821453693707,1,-475,-172,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9530091285705566,485.2751796661354,1,-456,-166,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9619858264923096,465.3697454712758,1,-437,-160,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9709610939025879,445.4660480889649,1,-418,-154,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9779417514801025,425.5643312120977,1,-399,-148,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9879374504089355,405.664886328605,1,-380,-142,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,0.9958999156951904,385.7680650339009,1,-361,-136,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,1.0057721138000488,365.8742953529258,1,-342,-130,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,1.0137500762939453,345.98410368107955,1,-323,-124,358,353,933,561,20
-13,-4,0.0,-19.5,-6.0,1.022735834121704,326.0981447355995,1,-304,-118,358,353,933,561,20
-12,-4,0.0,-18.0,-6.0,1.031703233718872,307.14817271147814,1,-286,-112,358,353,933,561,20
-11,-4,0.0,-16.5,-6.0,1.0396804809570312,290.06206232459976,1,-270,-106,358,353,933,561,20
-10,-4,0.0,-15.0,-6.0,1.049654483795166,273.9069184960467,1,-255,-100,358,353,933,561,20
-9,-4,0.0,-13.5,-6.0,1.0576341152191162,259.61509971494337,1,-242,-94,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.0666100978851318,246.26002517664128,1,-230,-88,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.0745875835418701,232.91200054956377,1,-218,-82,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.082566499710083,219.57231155134292,1,-206,-76,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.0915429592132568,206.24257562394823,1,-194,-70,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.0995218753814697,192.92485583770693,1,-182,-64,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.110931158065796,179.62182495454164,1,-170,-58,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.1198980808258057,166.33700730745397,1,-158,-52,358,353,933,561,20
-8,-4,0.0,-12.0,-6.0,1.1288442611694336,153.07514494521962,1,-146,-46,358,353,933,561,20
-7,-4,0.0,-10.5,-6.0,1.1398165225982666,141.7603611733548,1,-136,-40,358,353,933,561,20
-7,-3,0.0,-10.5,-4.5,1.1487915515899658,131.04197800704932,1,-126,-36,358,353,933,561,20
-6,-3,0.0,-9.0,-4.5,1.156799077987671,121.29715577869086,1,-117,-32,358,353,933,561,20
-6,-3,0.0,-9.0,-4.5,1.1667437553405762,111.57060544785082,1,-108,-28,358,353,933,561,20
-5,-3,0.0,-7.5,-4.5,1.17472243309021,103.81233067415451,1,-101,-24,358,353,933,561,20
-5,-2,0.0,-7.5,-3.0,1.1836988925933838,96.317184344228,1,-94,-21,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.1926789283752441,89.82204629154248,1,-88,-18,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2026662826538086,83.3606621854697,1,-82,-15,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2106258869171143,76.94153624668537,1,-76,-12,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2206006050109863,70.57619995437555,1,-70,-9,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2285778522491455,64.28063471995279,1,-64,-6,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2375826835632324,58.077534382926416,1,-58,-3,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2455329895019531,52.0,1,-52,0,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2545382976531982,46.09772228646444,1,-46,3,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2624902725219727,40.44749683231337,1,-40,6,358,353,933,561,20
-4,-2,0.0,-6.0,-3.0,1.2724637985229492,35.17101079013795,1,-34,9,358,353,933,561,20
-3,-2,0.0,-4.5,-3.0,1.281437635421753,32.31098884280702,1,-30,12,358,353,933,561,20
-3,-1,0.0,-4.5,-1.5,1.2904131412506104,29.068883707497267,1,-26,13,358,353,933,561,20
-2,-1,0.0,-3.0,-1.5,1.2983922958374023,26.92582403567252,1,-23,14,358,353,933,561,20
-2,-1,0.0,-3.0,-1.5,1.3073687553405762,25.0,1,-20,15,358,353,933,561,20
-2,-1,0.0,-3.0,-1.5,1.3173704147338867,23.345235059857504,1,-17,16,358,353,933,561,20
-1,-1,0.01,-1.5,-1.5,1.3263297080993652,23.345235059857504,1,-16,17,358,353,933,561,20
-1,0,0.03,-1.5,-0.0,1.3362908363342285,22.67156809750927,1,-15,17,358,353,933,561,20
-1,0,0.11,-1.5,-0.0,1.3462727069854736,22.02271554554524,1,-14,17,358,353,933,561,20
-1,0,0.13,-1.5,-0.0,1.3552401065826416,21.400934559032695,1,-13,17,358,353,933,561,20
0,0,0.21,-0.0,-0.0,1.3632190227508545,21.400934559032695,1,-13,17,358,353,933,561,20
0,0,0.46,-0.0,-0.0,1.3731939792633057,21.400934559032695,1,-13,17,358,353,933,561,20
0,0,0.64,-0.0,-0.0,1.3811721801757812,21.400934559032695,1,-13,17,358,353,933,561,20
