dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,-1,0.0,1.5,-1.5,0.3061714172363281,306.8061277093403,1,103,-289,1064,309,961,598,20
1,-2,0.0,1.5,-3.0,0.33409786224365234,303.6445290137795,1,102,-286,1064,309,962,595,20
2,-2,0.0,3.0,-3.0,0.36202478408813477,299.81661061388843,1,99,-283,1064,309,965,592,20
3,-1,0.0,4.5,-1.5,0.3869600296020508,296.62434155004877,1,95,-281,1064,309,969,590,20
3,0,0.0,4.5,-0.0,0.4118947982788086,295.36756761702867,1,91,-281,1064,309,973,590,20
4,0,0.0,6.0,-0.0,0.4368295669555664,293.5745220553037,1,85,-281,1064,309,979,590,20
4,0,0.0,6.0,-0.0,0.4637582302093506,291.8938163099726,1,79,-281,1064,309,985,590,20
4,0,0.0,6.0,-0.0,0.48969197273254395,290.32740139366797,1,73,-281,1064,309,991,590,20
4,0,0.0,6.0,-0.0,0.5176174640655518,288.87713651308576,1,67,-281,1064,309,997,590,20
4,0,0.0,6.0,-0.0,0.5453152656555176,287.544779121444,1,61,-281,1064,309,1003,590,20
4,0,0.0,6.0,-0.0,0.5732355117797852,286.33197516169935,1,55,-281,1064,309,1009,590,20
4,0,0.0,6.0,-0.0,0.6031575202941895,285.2402496142506,1,49,-281,1064,309,1015,590,20
4,0,0.0,6.0,-0.0,0.6299777030944824,284.27099746544667,1,43,-281,1064,309,1021,590,20
4,0,0.0,6.0,-0.0,0.6569094657897949,283.425475213503,1,37,-281,1064,309,1027,590,20
4,0,0.0,6.0,-0.0,0.6848471164703369,282.70479302622374,1,31,-281,1064,309,1033,590,20
4,0,0.0,6.0,-0.0,0.7097713947296143,282.10990766011747,1,25,-281,1064,309,1039,590,20
4,0,0.0,6.0,-0.0,0.7386956214904785,281.64161624305456,1,19,-281,1064,309,1045,590,20
4,0,0.0,6.0,-0.0,0.7666232585906982,281.30055101261354,1,13,-281,1064,309,1051,590,20
4,0,0.0,6.0,-0.0,0.793550968170166,281.0871750898643,1,7,-281,1064,309,1057,590,20
4,0,0.0,6.0,-0.0,0.821479320526123,281.00177935379696,1,1,-281,1064,309,1063,590,20
4,0,0.0,6.0,-0.0,0.856386661529541,281.04448046528154,1,-5,-281,1064,309,1069,590,20
4,0,0.0,6.0,-0.0,0.8833167552947998,281.215220071745,1,-11,-281,1064,309,1075,590,20
3,0,0.0,4.5,-0.0,0.9112441539764404,281.40007107319644,1,-15,-281,1064,309,1079,590,20
2,0,0.0,3.0,-0.0,0.9381740093231201,281.5759222660915,1,-18,-281,1064,309,1082,590,20
1,1,0.0,1.5,1.5,0.9676296710968018,282.63934616397626,1,-19,-282,1064,309,1083,591,20
0,-1,0.0,-0.0,-1.5,0.9945583343505859,280.6439024814186,1,-19,-280,1064,309,1083,589,20
-1,-1,0.0,-1.5,-1.5,1.0244801044464111,278.5192991517823,1,-17,-278,1064,309,1081,587,20
-1,-2,0.0,-1.5,-3.0,1.0530352592468262,275.40878707840824,1,-15,-275,1064,309,1079,584,20
-1,-2,0.0,-1.5,-3.0,1.0789668560028076,272.31048455760936,1,-13,-272,1064,309,1077,581,20
-1,-3,0.0,-1.5,-4.5,1.1048994064331055,267.22649569232465,1,-11,-267,1064,309,1075,576,20
-1,-4,0.0,-1.5,-6.0,1.1298344135284424,261.15512631384433,1,-9,-261,1064,309,1073,570,20
-1,-5,0.0,-1.5,-7.5,1.1555039882659912,253.09681941897256,1,-7,-253,1064,309,1071,562,20
-1,-6,0.0,-1.5,-9.0,1.1824328899383545,244.05122413132864,1,-5,-244,1064,309,1069,553,20
-1,-7,0.0,-1.5,-10.5,1.211357831954956,233.01931250435015,1,-3,-233,1064,309,1067,542,20
-1,-8,0.0,-1.5,-12.0,1.2382869720458984,221.00226243185838,1,-1,-221,1064,309,1065,530,20
-1,-9,0.0,-1.5,-13.5,1.264218807220459,207.0024154448445,1,1,-207,1064,309,1063,516,20
-1,-9,0.0,-1.5,-13.5,1.291149377822876,193.02331465395574,1,3,-193,1064,309,1061,502,20
-1,-9,0.0,-1.5,-13.5,1.3190762996673584,179.06981878585793,1,5,-179,1064,309,1059,488,20
1,-9,0.0,1.5,-13.5,1.3470149040222168,165.04847772699995,1,4,-165,1064,309,1060,474,20
0,-9,0.0,-0.0,-13.5,1.3729355335235596,151.0529708413575,1,4,-151,1064,309,1060,460,20
0,-9,0.0,-0.0,-13.5,1.4018588066101074,137.05838172107534,1,4,-137,1064,309,1060,446,20
0,-8,0.0,-0.0,-12.0,1.4287891387939453,125.06398362438324,1,4,-125,1064,309,1060,434,20
0,-8,0.0,-0.0,-12.0,1.454721450805664,113.07077429645558,1,4,-113,1064,309,1060,422,20
