dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
2,1,0.08,3.0,1.5,0.247314453125,90.87353850269065,1,83,37,1046,638,960,600,20
3,1,0.03,4.5,1.5,0.25429606437683105,86.81589716175259,1,79,36,1046,638,960,600,20
4,1,0.04,6.0,1.5,0.26227426528930664,80.95677859203639,1,73,35,1046,638,960,600,20
5,1,0.03,7.5,1.5,0.27126073837280273,74.24284477308234,1,66,34,1046,638,960,600,20
5,1,0.02,7.5,1.5,0.28122758865356445,67.60177512462228,1,59,33,1046,638,960,600,20
5,1,0.03,7.5,1.5,0.28920626640319824,61.05735008989499,1,52,32,1046,638,960,600,20
5,1,0.03,7.5,1.5,0.2991924285888672,54.644304369257,1,45,31,1046,638,960,600,20
5,1,0.02,7.5,1.5,0.3081827163696289,48.41487374764082,1,38,30,1046,638,960,600,20
5,1,0.02,7.5,1.5,0.31713175773620605,42.44997055358225,1,31,29,1046,638,960,600,20
4,1,0.01,6.0,1.5,0.32511162757873535,37.53664875824692,1,25,28,1046,638,960,600,20
3,1,0.01,4.5,1.5,0.33608078956604004,34.20526275297414,1,21,27,1046,638,960,600,20
2,1,0.01,3.0,1.5,0.3430624008178711,31.622776601683793,1,18,26,1046,638,960,600,20
2,1,0.01,3.0,1.5,0.3530387878417969,29.154759474226502,1,15,25,1046,638,960,600,20
1,1,0.01,1.5,1.5,0.36101531982421875,27.784887978899608,1,14,24,1046,638,960,600,20
1,1,0.01,1.5,1.5,0.3709878921508789,26.419689627245813,1,13,23,1046,638,960,600,20
1,1,0.02,1.5,1.5,0.37896728515625,25.059928172283335,1,12,22,1046,638,960,600,20
1,1,0.02,1.5,1.5,0.38894128799438477,23.706539182259394,1,11,21,1046,638,960,600,20
1,1,0.02,1.5,1.5,0.3979165554046631,22.360679774997898,1,10,20,1046,638,960,600,20
1,1,0.02,1.5,1.5,0.406893253326416,21.02379604162864,1,9,19,1046,638,960,600,20
1,1,0.03,1.5,1.5,0.41586923599243164,19.697715603592208,1,8,18,1046,638,960,600,20
1,1,0.03,1.5,1.5,0.4258425235748291,18.384776310850235,1,7,17,1046,638,960,600,20
1,1,0.04,1.5,1.5,0.43282413482666016,17.08800749063506,1,6,16,1046,638,960,600,20
