dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-1,-1,0.1,-1.5,-1.5,0.22636938095092773,583.013721965444,1,-464,-353,495,246,960,600,20
-2,-2,0.06,-3.0,-3.0,0.23336482048034668,578.8099860921544,1,-461,-350,495,246,960,600,20
-3,-3,0.03,-4.5,-4.5,0.24132966995239258,573.2058966898369,1,-457,-346,495,246,960,600,20
-5,-5,0.01,-7.5,-7.5,0.2503054141998291,563.4012779538222,1,-450,-339,495,246,960,600,20
-7,-7,0.0,-10.5,-10.5,0.2592813968658447,549.400582453277,1,-440,-329,495,246,960,600,20
-10,-9,0.0,-15.0,-13.5,0.2672722339630127,529.6045694666918,1,-425,-316,495,246,960,600,20
-13,-10,0.0,-19.5,-15.0,0.2772340774536133,505.40775617317155,1,-406,-301,495,246,960,600,20
-15,-11,0.0,-22.5,-16.5,0.2862098217010498,478.206022546768,1,-384,-285,495,246,960,600,20
-17,-11,0.0,-25.5,-16.5,0.2941906452178955,448.60004458314535,1,-359,-269,495,246,960,600,20
-18,-11,0.0,-27.0,-16.5,0.30416226387023926,417.41226623088113,1,-332,-253,495,246,960,600,20
-18,-11,0.0,-27.0,-16.5,0.31214094161987305,386.25639153287807,1,-305,-237,495,246,960,600,20
-17,-11,0.0,-25.5,-16.5,0.3221135139465332,356.70856451731015,1,-280,-221,495,246,960,600,20
-16,-10,0.0,-24.0,-15.0,0.3300933837890625,328.5909310982274,1,-256,-206,495,246,960,600,20
-15,-9,0.0,-22.5,-13.5,0.34006619453430176,303.3232599059953,1,-234,-193,495,246,960,600,20
-13,-8,0.0,-19.5,-12.0,0.34804582595825195,281.04448046528154,1,-215,-181,495,246,960,600,20
-11,-7,0.0,-16.5,-10.5,0.3580458164215088,262.37759050650646,1,-199,-171,495,246,960,600,20
-9,-6,0.0,-13.5,-9.0,0.3660004138946533,246.6576574931336,1,-186,-162,495,246,960,600,20
-8,-6,0.0,-12.0,-9.0,0.37497425079345703,231.70023737579555,1,-174,-153,495,246,960,600,20
-7,-6,0.0,-10.5,-9.0,0.38395047187805176,218.24756585125985,1,-164,-144,495,246,960,600,20
-6,-6,0.0,-9.0,-9.0,0.3939237594604492,205.54804791094466,1,-155,-135,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.40289902687072754,194.3707796969493,1,-148,-126,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.41087841987609863,183.22117781522965,1,-141,-117,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.4208645820617676,172.10461934532728,1,-134,-108,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.4298276901245117,161.02794788483146,1,-127,-99,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.43880462646484375,150.0,1,-120,-90,495,246,960,600,20
-5,-6,0.0,-7.5,-9.0,0.4477806091308594,139.0323703315167,1,-113,-81,495,246,960,600,20
-5,-5,0.0,-7.5,-7.5,0.45575833320617676,129.2749008895385,1,-106,-74,495,246,960,600,20
-5,-5,0.0,-7.5,-7.5,0.4647347927093506,119.54078801814885,1,-99,-67,495,246,960,600,20
-5,-4,0.0,-7.5,-6.0,0.4737124443054199,110.38568747804219,1,-92,-61,495,246,960,600,20
-5,-4,0.0,-7.5,-6.0,0.48268699645996094,101.24228365658294,1,-85,-55,495,246,960,600,20
-5,-4,0.0,-7.5,-6.0,0.4926731586456299,92.11405973031478,1,-78,-49,495,246,960,600,20
-5,-4,0.0,-7.5,-6.0,0.5016374588012695,83.00602387778854,1,-71,-43,495,246,960,600,20
-5,-3,0.0,-7.5,-4.5,0.5096161365509033,74.94664769020693,1,-64,-39,495,246,960,600,20
-4,-3,0.0,-6.0,-4.5,0.5185916423797607,67.7421582177598,1,-58,-35,495,246,960,600,20
-4,-2,0.0,-6.0,-3.0,0.5275676250457764,61.05735008989499,1,-52,-32,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.537541389465332,56.08029957123981,1,-48,-29,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5455319881439209,51.10772935672255,1,-44,-26,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5544970035552979,46.14108798023731,1,-40,-23,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5644700527191162,41.182520563948,1,-36,-20,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5734474658966064,36.235341863986875,1,-32,-17,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5824246406555176,31.304951684997057,1,-28,-14,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.5923962593078613,26.40075756488817,1,-24,-11,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6003751754760742,21.540659228538015,1,-20,-8,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6093511581420898,16.76305461424021,1,-16,-5,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6183266639709473,12.165525060596439,1,-12,-2,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6273362636566162,8.06225774829855,1,-8,1,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6363139152526855,5.656854249492381,1,-4,4,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.6452884674072266,7.0,1,0,7,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.6522715091705322,10.770329614269007,1,4,10,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.6612515449523926,15.264337522473747,1,8,13,495,246,960,600,20
-3,-2,0.03,-4.5,-3.0,0.6702356338500977,20.0,1,12,16,495,246,960,600,20
-3,-2,0.05,-4.5,-3.0,0.6791999340057373,24.839484696748443,1,16,19,495,246,960,600,20
-3,-2,0.05,-4.5,-3.0,0.6891734600067139,29.732137494637012,1,20,22,495,246,960,600,20
-3,-2,0.04,-4.5,-3.0,0.6961681842803955,34.655446902326915,1,24,25,495,246,960,600,20
-3,-2,0.03,-4.5,-3.0,0.7051303386688232,39.59797974644666,1,28,28,495,246,960,600,20
-3,-2,0.02,-4.5,-3.0,0.7131280899047852,44.553338819890925,1,32,31,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7220845222473145,49.51767361255979,1,36,34,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7310621738433838,54.48853090330111,1,40,37,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7390398979187012,59.464274989274024,1,44,40,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7480196952819824,64.4437739428721,1,48,43,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7569930553436279,69.42621983083913,1,52,46,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7659685611724854,74.41102068914255,1,56,49,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.775942325592041,79.39773296511683,1,60,52,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7829229831695557,84.38601779915912,1,64,55,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.7928969860076904,89.37561188601732,1,68,58,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8008770942687988,94.36630754670864,1,72,61,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8098528385162354,99.35793878699377,1,76,64,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8188283443450928,104.35037134576953,1,80,67,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8268067836761475,109.34349546269316,1,84,70,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8357832431793213,114.33722053644648,1,88,73,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.844759464263916,119.33147112141039,1,92,76,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8537347316741943,124.32618388738553,1,96,79,495,246,960,600,20
-3,-2,0.01,-4.5,-3.0,0.8617212772369385,129.3213052826177,1,100,82,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.8716883659362793,134.31678971744373,1,104,85,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.8816704750061035,139.31259813814398,1,108,88,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.8916351795196533,144.30869689661813,1,112,91,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9026048183441162,149.30505684671232,1,116,94,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9105839729309082,154.30165261590687,1,120,97,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9205577373504639,159.29846201391902,1,124,100,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9295380115509033,164.2954655491137,1,128,103,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9395084381103516,169.29264603047588,1,132,106,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9494802951812744,174.28998823799375,1,136,109,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9594545364379883,179.28747864811976,1,140,112,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9674327373504639,184.28510520386612,1,144,115,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9764094352722168,189.2828571212935,1,148,118,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9843878746032715,194.28072472584614,1,152,121,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,0.9933648109436035,199.2786993132984,1,156,124,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0023396015167236,204.27677303110113,1,160,127,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0103187561035156,209.27493877672023,1,164,130,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0202975273132324,214.27319011019554,1,168,133,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.029268503189087,219.27152117865194,1,172,136,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.038245439529419,224.26992665089986,1,176,139,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0462236404418945,229.26840166058645,1,180,142,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0552005767822266,234.26694175662087,1,184,145,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.065173625946045,239.2655428598109,1,188,148,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0731515884399414,244.2642012248213,1,192,151,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0811309814453125,249.26291340670798,1,196,154,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0901069641113281,254.26167623139747,1,200,157,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.0980868339538574,259.26048676958084,1,204,160,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.108060598373413,264.25934231356894,1,208,163,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.1160383224487305,269.2582403567252,1,212,166,495,246,960,600,20
-3,-2,0.0,-4.5,-3.0,1.1258859634399414,274.2571785751469,1,216,169,495,246,960,600,20
-3,-1,0.0,-4.5,-1.5,1.132871150970459,278.0287754891569,1,220,170,495,246,960,600,20
-3,-1,0.0,-4.5,-1.5,1.14284086227417,281.81021982887705,1,224,171,495,246,960,600,20
-3,0,0.0,-4.5,-0.0,1.1498222351074219,285.0,1,228,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.157801628112793,288.20999288713085,1,232,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.1667804718017578,291.4395306062649,1,236,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.1757538318634033,294.6879705722648,1,240,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.1847305297851562,297.9546945426435,1,244,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.1937077045440674,301.23910768690047,1,248,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2036912441253662,304.54063768239536,1,252,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2146499156951904,307.8587338374534,1,256,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2236342430114746,311.1928662421425,1,260,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2336030006408691,314.5425249469458,1,264,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2435741424560547,317.90721916936707,1,268,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2505543231964111,321.2864765283469,1,272,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2605278491973877,324.6798423062325,1,276,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2695050239562988,328.0868787379343,1,280,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2774837017059326,331.50716432680605,1,284,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.28645920753479,334.94029318671113,1,288,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.2954351902008057,338.3858744096745,1,292,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.304412841796875,341.84353145847297,1,296,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3133893013000488,345.3129015834769,1,300,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.323362112045288,348.7936352630306,1,304,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3313405513763428,352.28539566663846,1,308,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3393199443817139,355.78785814021256,1,312,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3483037948608398,359.3007097126305,1,316,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3572719097137451,362.8236486228537,1,320,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3662471771240234,366.3563838668572,1,324,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3762516975402832,369.8986347636336,1,328,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3832030296325684,373.45013053954074,1,332,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.3921794891357422,377.01060993027767,1,336,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4011542797088623,380.5798207997897,1,340,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4101457595825195,384.15751977541714,1,344,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.41810941696167,387.7434718986253,1,348,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.426088809967041,391.33745029066665,1,352,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4350640773773193,394.93923583255184,1,356,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4440536499023438,398.5486168587215,1,360,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4520196914672852,402.16538886383546,1,364,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4619927406311035,405.7893542221136,1,368,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.471968412399292,409.42032191868543,1,372,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4799602031707764,413.05810729242444,1,376,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.488922357559204,416.70253178976486,1,380,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.4978997707366943,420.3534227290174,1,384,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5078706741333008,424.0106130747201,1,388,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5158498287200928,427.6739412215806,1,392,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.525822639465332,431.3432507875833,1,396,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.532804250717163,435.01839041585356,1,400,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5417804718017578,438.6992135848889,1,404,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5487620830535889,442.3855784267837,1,408,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5577392578125,446.07734755308974,1,412,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5667266845703125,449.7743878879721,1,416,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5737099647521973,453.47657050833396,1,420,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.582676649093628,457.18377049059825,1,424,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.5926692485809326,460.89586676384937,1,428,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.6016349792480469,464.61274196905106,1,432,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.6115949153900146,468.33428232406817,1,436,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.6205716133117676,472.06037749423535,1,440,171,495,246,960,600,20
-3,0,0.01,-4.5,-0.0,1.6305453777313232,475.79092046822416,1,444,171,495,246,960,600,20
