dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.0,-0.0,-0.0,0.23736834526062012,211.12318678913502,1,-182,107,778,707,960,600,20
-1,0,0.0,-1.5,-0.0,0.2453474998474121,210.261741645978,1,-181,107,778,707,960,600,20
-2,0,0.0,-3.0,-0.0,0.25232815742492676,207.68485741623053,1,-178,107,778,707,960,600,20
-3,0,0.0,-4.5,-0.0,0.2613048553466797,204.26698215815497,1,-174,107,778,707,960,600,20
-4,0,0.0,-6.0,-0.0,0.27127766609191895,199.1808223700264,1,-168,107,778,707,960,600,20
-5,0,0.0,-7.5,-0.0,0.28125715255737305,193.31321734428818,1,-161,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.2912256717681885,185.88437266214714,1,-152,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3012256622314453,178.60011198204776,1,-143,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3101928234100342,171.4788616710526,1,-134,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3201475143432617,164.54178800535746,1,-125,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.33012962341308594,157.8131806916013,1,-116,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3390965461730957,151.32085117392117,1,-107,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.34807324409484863,145.09651959988565,1,-98,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3580465316772461,139.17614738165446,1,-89,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3660252094268799,133.60014970051492,1,-80,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3740043640136719,128.41339493993607,1,-71,107,778,707,960,600,20
-6,0,0.0,-9.0,-0.0,0.3829798698425293,123.664869708418,1,-62,107,778,707,960,600,20
-6,1,0.0,-9.0,1.5,0.3909590244293213,118.51160280748886,1,-53,106,778,707,960,600,20
-6,1,0.0,-9.0,1.5,0.3989381790161133,113.84638773364749,1,-44,105,778,707,960,600,20
-5,1,0.0,-7.5,1.5,0.4069232940673828,110.38568747804219,1,-37,104,778,707,960,600,20
-5,1,0.0,-7.5,1.5,0.4138977527618408,107.28000745712129,1,-30,103,778,707,960,600,20
-4,1,0.0,-6.0,1.5,0.42287373542785645,104.78549517943789,1,-24,102,778,707,960,600,20
-4,1,0.0,-6.0,1.5,0.43085312843322754,102.59142264341595,1,-18,101,778,707,960,600,20
-3,1,0.0,-4.5,1.5,0.44182372093200684,100.9752444909147,1,-14,100,778,707,960,600,20
-3,1,0.0,-4.5,1.5,0.44981932640075684,99.50376877284599,1,-10,99,778,707,960,600,20
-3,1,0.0,-4.5,1.5,0.4577808380126953,98.18350166906862,1,-6,98,778,707,960,600,20
-3,1,0.01,-4.5,1.5,0.46575927734375,97.02061636580135,1,-2,97,778,707,960,600,20
-3,1,0.01,-4.5,1.5,0.47473573684692383,96.02083107326243,1,2,96,778,707,960,600,20
-3,1,0.01,-4.5,1.5,0.48371148109436035,95.1892851112981,1,6,95,778,707,960,600,20
-3,1,0.01,-4.5,1.5,0.49269747734069824,94.53041838477179,1,10,94,778,707,960,600,20
-2,1,0.01,-3.0,1.5,0.5026798248291016,93.90420650854784,1,13,93,778,707,960,600,20
-2,1,0.01,-3.0,1.5,0.5106673240661621,93.38094023943002,1,16,92,778,707,960,600,20
-2,1,0.02,-3.0,1.5,0.5186192989349365,92.9623579735368,1,19,91,778,707,960,600,20
-2,1,0.03,-3.0,1.5,0.5266308784484863,92.64987857520376,1,22,90,778,707,960,600,20
-2,1,0.02,-3.0,1.5,0.5356063842773438,92.44457799135652,1,25,89,778,707,960,600,20
-2,1,0.02,-3.0,1.5,0.5446093082427979,92.34717104492157,1,28,88,778,707,960,600,20
-2,1,0.02,-3.0,1.5,0.5535585880279541,92.35799911215054,1,31,87,778,707,960,600,20
-2,1,0.03,-3.0,1.5,0.5625348091125488,92.47702417357513,1,34,86,778,707,960,600,20
-2,1,0.03,-3.0,1.5,0.5715105533599854,92.70382947861431,1,37,85,778,707,960,600,20
-2,1,0.03,-3.0,1.5,0.5804867744445801,93.03762679690406,1,40,84,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.5894637107849121,92.57429448826494,1,41,83,778,707,960,600,20
-1,1,0.02,-1.5,1.5,0.5984394550323486,92.13034245024816,1,42,82,778,707,960,600,20
-1,1,0.02,-1.5,1.5,0.608412504196167,91.706052144883,1,43,81,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.616391658782959,91.30169768410661,1,44,80,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.6233720779418945,90.91754506144565,1,45,79,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.632375955581665,90.55385138137417,1,46,78,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.6413521766662598,90.21086409075129,1,47,77,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.6503279209136963,89.88882021697692,1,48,76,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.6583075523376465,89.58794561770016,1,49,75,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.6683006286621094,89.30845424706443,1,50,74,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.6782641410827637,89.05054744357274,1,51,73,778,707,960,600,20
-1,1,0.03,-1.5,1.5,0.687230110168457,88.81441324469807,1,52,72,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.6962146759033203,88.60022573334675,1,53,71,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.7061800956726074,88.40814442120137,1,54,70,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.7151556015014648,88.23831367382311,1,55,69,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.7251572608947754,88.09086218218096,1,56,68,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.732109785079956,87.96590248499699,1,57,67,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.7410862445831299,87.86353054595519,1,58,66,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.7500627040863037,87.78382538941898,1,59,65,778,707,960,600,20
-1,1,0.05,-1.5,1.5,0.7590382099151611,87.72684879784524,1,60,64,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.767017126083374,87.69264507357501,1,61,63,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.776991605758667,87.68124086713189,1,62,62,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.7859687805175781,87.69264507357501,1,63,61,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.7949504852294922,87.72684879784524,1,64,60,778,707,960,600,20
-1,1,0.04,-1.5,1.5,0.8039188385009766,87.78382538941898,1,65,59,778,707,960,600,20
0,1,0.04,-0.0,1.5,0.8128952980041504,87.11486669908874,1,65,58,778,707,960,600,20
0,1,0.03,-0.0,1.5,0.8218715190887451,86.45229898620394,1,65,57,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.8305180072784424,85.7962703152066,1,65,56,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.8395013809204102,85.14693182963201,1,65,55,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.8484692573547363,84.50443775329198,1,65,54,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.858443021774292,83.86894538504703,1,65,53,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.865426778793335,83.24061508662703,1,65,52,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.8744020462036133,82.61961026293939,1,65,51,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.8833839893341064,82.00609733428362,1,65,50,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.8923523426055908,81.40024569987489,1,65,49,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.9013569355010986,80.80222769206304,1,65,48,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.9093074798583984,80.2122185206219,1,65,47,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.919281005859375,79.63039620647382,1,65,46,778,707,960,600,20
0,1,0.01,-0.0,1.5,0.9282674789428711,79.05694150420949,1,65,45,778,707,960,600,20
0,1,0.02,-0.0,1.5,0.9382359981536865,78.49203781276162,1,65,44,778,707,960,600,20
