dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.0,-0.0,-0.0,0.22141122817993164,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.22939682006835938,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.23637151718139648,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.2453479766845703,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.2533252239227295,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.26330065727233887,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.27127861976623535,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.2812514305114746,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.29022765159606934,921.7033145215438,1,801,-456,1761,144,960,600,20
0,0,0.0,-0.0,-0.0,0.2982056140899658,921.7033145215438,1,801,-456,1761,144,960,600,20
1,0,0.0,1.5,-0.0,0.3081793785095215,920.834404222605,1,800,-456,1761,144,960,600,20
1,0,0.0,1.5,-0.0,0.316159725189209,919.9657602324121,1,799,-456,1761,144,960,600,20
2,0,0.0,3.0,-0.0,0.3251354694366455,917.3614336781333,1,796,-456,1761,144,960,600,20
3,0,0.0,4.5,-0.0,0.33510804176330566,913.892772703669,1,792,-456,1761,144,960,600,20
4,0,0.0,6.0,-0.0,0.34308671951293945,908.6979696246713,1,786,-456,1761,144,960,600,20
5,0,0.0,7.5,-0.0,0.3530609607696533,902.6499875366974,1,779,-456,1761,144,960,600,20
6,0,0.0,9.0,-0.0,0.36203670501708984,894.8944071788582,1,770,-456,1761,144,960,600,20
8,0,0.0,12.0,-0.0,0.37101244926452637,884.5903006477066,1,758,-456,1761,144,960,600,20
10,0,0.0,15.0,-0.0,0.3800022602081299,871.7711855756647,1,743,-456,1761,144,960,600,20
12,0,0.0,18.0,-0.0,0.3889651298522949,856.4817569569127,1,725,-456,1761,144,960,600,20
14,0,0.0,21.0,-0.0,0.396944522857666,838.7800665251887,1,704,-456,1761,144,960,600,20
16,0,0.0,24.0,-0.0,0.40691637992858887,818.7404961280466,1,680,-456,1761,144,960,600,20
18,0,0.0,27.0,-0.0,0.4158926010131836,796.4577829364216,1,653,-456,1761,144,960,600,20
20,-1,0.0,30.0,-1.5,0.42586588859558105,771.4622479421789,1,623,-455,1761,144,960,600,20
21,-2,0.0,31.5,-3.0,0.4338564872741699,744.8274968071466,1,592,-452,1761,144,960,600,20
22,-3,0.0,33.0,-4.5,0.44182443618774414,716.3693181592857,1,559,-448,1761,144,960,600,20
22,-4,0.0,33.0,-6.0,0.4498023986816406,687.0516720014587,1,526,-442,1761,144,960,600,20
22,-5,0.0,33.0,-7.5,0.4577822685241699,657.4754748277687,1,493,-435,1761,144,960,600,20
21,-6,0.0,31.5,-9.0,0.4657609462738037,628.4266066932557,1,462,-426,1761,144,960,600,20
20,-7,0.0,30.0,-10.5,0.47473597526550293,599.733274047722,1,432,-416,1761,144,960,600,20
19,-8,0.0,28.5,-12.0,0.48372888565063477,571.3422791987304,1,404,-404,1761,144,960,600,20
18,-9,0.0,27.0,-13.5,0.4926950931549072,543.1482302281763,1,377,-391,1761,144,960,600,20
17,-9,0.0,25.5,-13.5,0.5006673336029053,516.5152466287902,1,352,-378,1761,144,960,600,20
16,-9,0.0,24.0,-13.5,0.5096433162689209,490.7229360851192,1,328,-365,1761,144,960,600,20
15,-9,0.0,22.5,-13.5,0.5186192989349365,466.4118351843143,1,306,-352,1761,144,960,600,20
14,-9,0.0,21.0,-13.5,0.5285937786102295,442.8837319206927,1,285,-339,1761,144,960,600,20
13,-9,0.0,19.5,-13.5,0.5375702381134033,420.7517082555934,1,266,-326,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5455482006072998,399.34070666537366,1,248,-313,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5545246601104736,378.02116342871597,1,230,-300,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5645096302032471,356.8094729684177,1,212,-287,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5734827518463135,335.72607882021913,1,194,-274,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5824494361877441,314.79675983084707,1,176,-261,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.5914275646209717,294.0544167326857,1,158,-248,1761,144,960,600,20
12,-9,0.0,18.0,-13.5,0.6013989448547363,273.5415873317986,1,140,-235,1761,144,960,600,20
11,-9,0.0,16.5,-13.5,0.6103754043579102,254.2833065696606,1,124,-222,1761,144,960,600,20
11,-9,0.0,16.5,-13.5,0.6193513870239258,235.25518060183074,1,108,-209,1761,144,960,600,20
10,-8,0.0,15.0,-12.0,0.6293251514434814,217.84857125994654,1,93,-197,1761,144,960,600,20
9,-8,0.0,13.5,-12.0,0.6383018493652344,201.55644370746373,1,80,-185,1761,144,960,600,20
8,-7,0.0,12.0,-10.5,0.6472783088684082,187.7471704180918,1,68,-175,1761,144,960,600,20
7,-7,0.0,10.5,-10.5,0.6552557945251465,174.89711261195822,1,58,-165,1761,144,960,600,20
