dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,1,0.16,-0.0,1.5,0.9545562267303467,687.699792174256,1,-692,-89,268,512,960,600,20
-3,2,0.01,-4.5,3.0,0.9625651836395264,684.1239082469355,1,-688,-92,268,512,960,600,20
-4,2,0.01,-6.0,3.0,0.971510648727417,678.5847805463028,1,-682,-95,268,512,960,600,20
-6,3,0.0,-9.0,4.5,0.9784927368164062,670.2426037819155,1,-673,-99,268,512,960,600,20
-8,3,0.0,-12.0,4.5,0.9884665012359619,658.9768306899724,1,-661,-103,268,512,960,600,20
-10,3,0.0,-15.0,4.5,0.9954469203948975,644.8014966384851,1,-646,-107,268,512,960,600,20
-12,3,0.04,-18.0,4.5,1.0034534931182861,627.7342706801949,1,-628,-111,268,512,960,600,20
-14,3,0.03,-21.0,4.5,1.0114059448242188,607.7977015172523,1,-607,-115,268,512,960,600,20
-15,3,0.06,-22.5,4.5,1.019383192062378,586.9807367076429,1,-585,-119,268,512,960,600,20
-16,3,0.03,-24.0,4.5,1.0273635387420654,564.3256915722994,1,-561,-123,268,512,960,600,20
-17,3,0.15,-25.5,4.5,1.0343434810638428,540.8402672281684,1,-536,-127,268,512,960,600,20
-17,2,0.06,-25.5,3.0,1.0433313846588135,517.2769670675934,1,-511,-130,268,512,960,600,20
-17,2,0.1,-25.5,3.0,1.0513041019439697,493.8700229225787,1,-486,-133,268,512,960,600,20
-16,1,0.12,-24.0,1.5,1.0582876205444336,471.04053883222775,1,-462,-134,268,512,960,600,20
-15,1,0.04,-22.5,1.5,1.0672633647918701,450.2445002387318,1,-440,-135,268,512,960,600,20
-14,0,0.0,-21.0,-0.0,1.0742580890655518,430.21131289415996,1,-419,-135,268,512,960,600,20
-13,0,0.01,-19.5,-0.0,1.0842180252075195,412.1670285562339,1,-400,-135,268,512,960,600,20
-12,-1,0.0,-18.0,-1.5,1.0921971797943115,394.82094807457776,1,-382,-134,268,512,960,600,20
-11,-1,0.0,-16.5,-1.5,1.1001858711242676,379.41622975936684,1,-366,-133,268,512,960,600,20
-11,-1,0.0,-16.5,-1.5,1.108154296875,364.064165618681,1,-350,-132,268,512,960,600,20
-11,-2,0.01,-16.5,-3.0,1.1161317825317383,348.04608641905304,1,-334,-129,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.123115062713623,332.0526275297414,1,-318,-126,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.1321032047271729,316.08741159388535,1,-302,-123,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.1410942077636719,300.1548000595831,1,-286,-120,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.150547981262207,284.2600890368927,1,-270,-117,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.159541368484497,268.4097699435133,1,-254,-114,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.1685023307800293,252.6118809193522,1,-238,-111,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.1764788627624512,236.8764873372918,1,-222,-108,268,512,960,600,20
-11,-2,0.0,-16.5,-3.0,1.1854543685913086,221.21634890292685,1,-206,-105,268,512,960,600,20
-10,-2,0.0,-15.0,-3.0,1.1944315433502197,206.52944372532804,1,-191,-102,268,512,960,600,20
-9,-2,0.0,-13.5,-3.0,1.2034060955047607,193.67866849525504,1,-178,-99,268,512,960,600,20
-8,-2,0.0,-12.0,-3.0,1.2103888988494873,181.7602670002313,1,-166,-96,268,512,960,600,20
-7,-2,0.0,-10.5,-3.0,1.2203609943389893,171.61773041198373,1,-156,-93,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2283403873443604,162.3629890666787,1,-147,-90,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2373161315917969,153.1349134918703,1,-138,-87,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.245295763015747,143.93829932800998,1,-129,-84,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.253274917602539,134.77914214416384,1,-120,-81,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2612698078155518,125.66502865514016,1,-111,-78,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2712275981903076,116.60568707605516,1,-102,-75,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2792072296142578,107.61377470347595,1,-93,-72,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2881810665130615,98.70602559196064,1,-84,-69,268,512,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2961606979370117,89.90495483208028,1,-75,-66,268,512,960,600,20
-5,-2,0.0,-7.5,-3.0,1.3051350116729736,82.69843580125827,1,-68,-63,268,512,960,600,20
-5,-2,0.0,-7.5,-3.0,1.3121182918548584,75.56284240252891,1,-61,-60,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.322091817855835,69.20858539325141,1,-55,-57,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.3300683498382568,62.91776189653656,1,-49,-54,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.3380472660064697,56.70832032063167,1,-43,-51,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.3460261821746826,50.60528029800704,1,-37,-48,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.3560004234313965,44.644304369257,1,-31,-45,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.362990379333496,38.877397639399746,1,-25,-42,268,512,960,600,20
-4,-2,0.0,-6.0,-3.0,1.3719582557678223,33.382023926967726,1,-19,-39,268,512,960,600,20
-3,-2,0.0,-4.5,-3.0,1.3799381256103516,29.0,1,-15,-36,268,512,960,600,20
-3,-2,0.0,-4.5,-3.0,1.3889122009277344,24.785054261852174,1,-11,-33,268,512,960,600,20
-3,-2,0.0,-4.5,-3.0,1.3978888988494873,20.805843601498726,1,-7,-30,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.406865119934082,17.294688127912362,1,-4,-27,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.4158415794372559,14.020824298928627,1,-1,-24,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.4238190650939941,11.095023109728988,1,2,-21,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.431797742843628,8.681541692269406,1,5,-18,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.4397871494293213,7.0,1,8,-15,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.4467582702636719,6.278820596099706,1,11,-12,268,512,960,600,20
-2,-2,0.0,-3.0,-3.0,1.4557349681854248,6.643316977093239,1,14,-9,268,512,960,600,20
-1,-2,0.0,-1.5,-3.0,1.4647386074066162,6.15549442140351,1,15,-6,268,512,960,600,20
-1,-2,0.0,-1.5,-3.0,1.4736881256103516,6.278820596099706,1,16,-3,268,512,960,600,20
-1,-2,0.01,-1.5,-3.0,1.482663631439209,7.0,1,17,0,268,512,960,600,20
-1,-2,0.04,-1.5,-3.0,1.4916400909423828,8.248287590894659,1,18,3,268,512,960,600,20
-1,-2,0.06,-1.5,-3.0,1.5016200542449951,9.924858845171276,1,19,6,268,512,960,600,20
0,-1,0.1,-0.0,-1.5,1.5095922946929932,10.248456731316587,1,19,7,268,512,960,600,20
0,-1,0.34,-0.0,-1.5,1.5175695419311523,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.73,-0.0,-0.0,1.5255496501922607,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.58,-0.0,-0.0,1.5345253944396973,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.5,-0.0,-0.0,1.5425033569335938,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.75,-0.0,-0.0,1.550483226776123,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.92,-0.0,-0.0,1.5584607124328613,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.89,-0.0,-0.0,1.5654420852661133,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.89,-0.0,-0.0,1.573420524597168,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.9,-0.0,-0.0,1.5833957195281982,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.93,-0.0,-0.0,1.5913732051849365,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.93,-0.0,-0.0,1.5993530750274658,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.93,-0.0,-0.0,1.6083292961120605,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.93,-0.0,-0.0,1.6153109073638916,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.89,-0.0,-0.0,1.6252882480621338,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.9,-0.0,-0.0,1.6332614421844482,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.92,-0.0,-0.0,1.6422388553619385,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.92,-0.0,-0.0,1.6492204666137695,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.93,-0.0,-0.0,1.6581969261169434,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.91,-0.0,-0.0,1.6661741733551025,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.92,-0.0,-0.0,1.6741526126861572,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.94,-0.0,-0.0,1.6821329593658447,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.94,-0.0,-0.0,1.6911089420318604,10.615528128088304,1,19,8,268,512,960,600,20
0,0,0.94,-0.0,-0.0,1.6980905532836914,10.615528128088304,1,19,8,268,512,960,600,20
