dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.27,-0.0,-0.0,0.8951137065887451,917.5456862063453,1,921,110,1872,741,951,631,20
0,0,0.06,-0.0,-0.0,0.9030928611755371,917.5456862063453,1,921,110,1872,741,951,631,20
0,0,0.17,-0.0,-0.0,0.91107177734375,917.5456862063453,1,921,110,1872,741,951,631,20
1,1,0.02,1.5,1.5,0.9200482368469238,916.4345632585174,1,920,109,1872,741,951,631,20
2,1,0.02,3.0,1.5,0.9290237426757812,913.3379662940325,1,917,108,1872,741,951,631,20
3,1,0.0,4.5,1.5,0.937002420425415,909.2486061996505,1,913,107,1872,741,951,631,20
4,1,0.0,6.0,1.5,0.9449813365936279,903.1730394618536,1,907,106,1872,741,951,631,20
5,1,0.0,7.5,1.5,0.9539644718170166,896.1042986323373,1,900,105,1872,741,951,631,20
6,1,0.0,9.0,1.5,0.9619362354278564,887.049051055738,1,891,104,1872,741,951,631,20
8,1,0.0,12.0,1.5,0.9709398746490479,875.0141241810777,1,879,103,1872,741,951,631,20
10,1,0.0,15.0,1.5,0.9798884391784668,860.0,1,864,102,1872,741,951,631,20
12,1,0.0,18.0,1.5,0.9888644218444824,842.0076290738247,1,846,101,1872,741,951,631,20
14,1,0.0,21.0,1.5,0.9978411197662354,821.0385069297331,1,825,100,1872,741,951,631,20
16,1,0.0,24.0,1.5,1.0068166255950928,797.0947899720329,1,801,99,1872,741,951,631,20
17,1,0.0,25.5,1.5,1.014796495437622,772.1636657375489,1,776,98,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.0227744579315186,745.2549238502189,1,749,97,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.0307526588439941,718.3543093852057,1,722,96,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.038731336593628,691.4627573863063,1,695,95,1872,741,951,631,20
18,1,0.01,27.0,1.5,1.0487048625946045,664.581351654491,1,668,94,1872,741,951,631,20
18,1,0.01,27.0,1.5,1.0557169914245605,637.7113554663065,1,641,93,1872,741,951,631,20
18,1,0.01,27.0,1.5,1.0656607151031494,610.8542502069225,1,614,92,1872,741,951,631,20
18,1,0.01,27.0,1.5,1.072641134262085,584.0117843948889,1,587,91,1872,741,951,631,20
18,1,0.01,27.0,1.5,1.081617832183838,557.1860364994893,1,560,90,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.0895991325378418,530.3794962801605,1,533,89,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.0975754261016846,503.59517131686505,1,506,88,1872,741,951,631,20
18,1,0.0,27.0,1.5,1.1065733432769775,476.83672827756124,1,479,87,1872,741,951,631,20
17,1,0.0,25.5,1.5,1.1175222396850586,452.07358721311914,1,454,86,1872,741,951,631,20
16,1,0.01,24.0,1.5,1.1255006790161133,428.32065887886233,1,430,85,1872,741,951,631,20
15,1,0.01,22.5,1.5,1.135474681854248,406.5573189850348,1,408,84,1872,741,951,631,20
14,1,0.01,21.0,1.5,1.1444623470306396,385.80045477487766,1,387,83,1872,741,951,631,20
13,1,0.01,19.5,1.5,1.153426170349121,367.02519809689113,1,368,82,1872,741,951,631,20
12,1,0.01,18.0,1.5,1.1614069938659668,349.25060890693004,1,350,81,1872,741,951,631,20
11,1,0.01,16.5,1.5,1.1713781356811523,333.4472302989209,1,334,80,1872,741,951,631,20
10,1,0.0,15.0,1.5,1.1803550720214844,318.63657739210953,1,319,79,1872,741,951,631,20
9,1,0.0,13.5,1.5,1.1893320083618164,305.7847368065784,1,306,78,1872,741,951,631,20
8,1,0.0,12.0,1.5,1.1973092555999756,293.9161068452937,1,294,77,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2062857151031494,283.99319720020736,1,284,76,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2142648696899414,274.07921430474283,1,274,75,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2222449779510498,264.1751265158822,1,264,74,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2302212715148926,254.2820463065927,1,254,73,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2382278442382812,244.40125785852553,1,244,72,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2461884021759033,234.53425117966603,1,234,71,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2561531066894531,224.68276459936294,1,224,70,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.266127109527588,214.84883811129646,1,214,69,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2760999202728271,205.0348808914498,1,204,68,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2850768566131592,195.24375751773792,1,194,67,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.2940516471862793,185.47889911701466,1,184,66,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3030283451080322,175.74444810007108,1,174,65,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3120036125183105,166.0454486773231,1,164,64,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3209805488586426,156.388100536066,1,154,63,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3289592266082764,146.7801007781281,1,144,62,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3369646072387695,137.2311108427835,1,134,61,1872,741,951,631,20
7,1,0.0,10.5,1.5,1.3469104766845703,127.7534028617805,1,124,60,1872,741,951,631,20
6,1,0.0,9.0,1.5,1.3549137115478516,119.25169244539896,1,115,59,1872,741,951,631,20
6,1,0.0,9.0,1.5,1.3628687858581543,110.83045973594572,1,106,58,1872,741,951,631,20
