dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-1,0,0.06,-1.5,-0.0,0.9100155830383301,147.45793088949188,1,157,12,826,419,670,407,20
-1,0,0.12,-1.5,-0.0,0.9189615249633789,148.45504094221806,1,158,12,826,419,670,407,20
0,-1,0.08,-0.0,-1.5,0.9269406795501709,148.5339080449353,1,158,13,826,419,670,407,20
0,-1,0.01,-0.0,-1.5,0.9369127750396729,148.61904047118682,1,158,14,826,419,670,407,20
0,-1,0.0,-0.0,-1.5,0.9458894729614258,148.71042813879623,1,158,15,826,419,670,407,20
1,-1,0.03,1.5,-1.5,0.953866720199585,147.8131806916013,1,157,16,826,419,670,407,20
2,-1,0.04,3.0,-1.5,0.9628441333770752,144.93547043850222,1,154,17,826,419,670,407,20
3,-1,0.01,4.5,-1.5,0.9708511829376221,141.07613974417006,1,150,18,826,419,670,407,20
4,-1,0.01,6.0,-1.5,0.9797983169555664,135.24806367039804,1,144,19,826,419,670,407,20
5,-1,0.0,7.5,-1.5,0.9887740612030029,128.45215780189199,1,137,20,826,419,670,407,20
6,0,0.0,9.0,-0.0,0.9987478256225586,119.55307792561317,1,128,20,826,419,670,407,20
6,0,0.01,9.0,-0.0,1.0067260265350342,110.66896867049125,1,119,20,826,419,670,407,20
5,0,0.0,7.5,-0.0,1.0167100429534912,103.77170122662314,1,112,20,826,419,670,407,20
5,0,0.0,7.5,-0.0,1.0246777534484863,96.88779163215975,1,105,20,826,419,670,407,20
4,0,0.0,6.0,-0.0,1.0346808433532715,91.0,1,99,20,826,419,670,407,20
4,0,0.0,6.0,-0.0,1.0436286926269531,85.12623192369179,1,93,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.0526347160339355,81.21951545584969,1,89,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.061579704284668,77.32124598286491,1,85,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.069559097290039,73.43260753446461,1,81,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.0785346031188965,69.55501241279521,1,77,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.0865137577056885,65.69015788066504,1,73,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.0954906940460205,61.84010022264724,1,69,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1034693717956543,58.007352543677214,1,65,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1124444007873535,54.19501538281614,1,61,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1214442253112793,50.40695324215582,1,57,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.135383129119873,46.64803615307419,1,53,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1453838348388672,42.92447448959697,1,49,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1533350944519043,39.24428900898052,1,45,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1623115539550781,35.617978911828175,1,41,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1713149547576904,32.05948168962618,1,37,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1802647113800049,28.587562763149478,1,33,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1892404556274414,25.22782990761707,1,29,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.1992137432098389,22.015621187164243,1,25,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.2081904411315918,19.0,1,21,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.2191596031188965,16.248809496813376,1,17,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.2271385192871094,13.853720883753127,1,13,20,826,419,670,407,20
3,0,0.0,4.5,-0.0,1.236114263534546,11.931712199461309,1,9,20,826,419,670,407,20
2,0,0.0,3.0,-0.0,1.2440946102142334,10.880613017821101,1,6,20,826,419,670,407,20
2,0,0.0,3.0,-0.0,1.2530689239501953,10.223748416156685,1,3,20,826,419,670,407,20
1,0,0.0,1.5,-0.0,1.2610487937927246,10.09975124224178,1,2,20,826,419,670,407,20
1,0,0.07,1.5,-0.0,1.2700369358062744,10.024984394500787,1,1,20,826,419,670,407,20
1,0,0.2,1.5,-0.0,1.2790005207061768,10.0,1,0,20,826,419,670,407,20
0,0,0.26,-0.0,-0.0,1.2869787216186523,10.0,1,0,20,826,419,670,407,20
0,0,0.88,-0.0,-0.0,1.2959551811218262,10.0,1,0,20,826,419,670,407,20
0,0,0.94,-0.0,-0.0,0.008975505828857422,440.93311627024065,2,-207,423,619,822,826,399,60
0,1,0.51,-0.0,1.5,0.01994800567626953,440.03510507195097,2,-207,422,619,822,826,399,60
-1,1,0.1,-1.5,1.5,0.028924942016601562,438.697130351787,2,-206,421,619,822,826,399,60
-1,1,0.05,-1.5,1.5,0.03889608383178711,437.3596045873028,2,-205,420,619,822,826,399,60
-1,1,0.05,-1.5,1.5,0.0468747615814209,436.02253164412554,2,-204,419,619,822,826,399,60
-1,2,0.02,-1.5,3.0,0.05884289741516113,432.8876753598004,2,-203,416,619,822,826,399,60
-1,2,0.01,-1.5,3.0,0.06781864166259766,429.7531946599175,2,-202,413,619,822,826,399,60
-1,2,0.0,-1.5,3.0,0.07879137992858887,426.6190972791217,2,-201,410,619,822,826,399,60
-1,2,0.0,-1.5,3.0,0.08876276016235352,423.48539116491946,2,-200,407,619,822,826,399,60
-1,3,0.0,-1.5,4.5,0.09774112701416016,419.45522580119143,2,-199,403,619,822,826,399,60
-2,3,0.0,-3.0,4.5,0.10674285888671875,414.54133666060795,2,-196,399,619,822,826,399,60
-2,4,0.0,-3.0,6.0,0.11669373512268066,407.8333016114695,2,-193,393,619,822,826,399,60
-2,5,0.0,-3.0,7.5,0.1266629695892334,400.22784661153673,2,-190,386,619,822,826,399,60
-3,6,0.0,-4.5,9.0,0.1376328468322754,390.38672671719786,2,-186,377,619,822,826,399,60
-3,7,0.0,-4.5,10.5,0.14561247825622559,379.6498504820916,2,-182,367,619,822,826,399,60
-4,8,0.0,-6.0,12.0,0.1555938720703125,366.2335170073324,2,-176,355,619,822,826,399,60
-4,9,0.0,-6.0,13.5,0.16356372833251953,351.9214578941592,2,-170,342,619,822,826,399,60
-5,9,0.0,-7.5,13.5,0.1735372543334961,337.16481312892716,2,-163,329,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.1815166473388672,320.6165997211199,2,-156,314,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.190521240234375,304.0688551780905,2,-149,299,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.19946956634521484,287.52165280497013,2,-142,284,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.20844411849975586,270.97508202507396,2,-135,269,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.21642327308654785,254.42925306655786,2,-128,254,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.2254018783569336,237.88430338487547,2,-121,239,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.23636960983276367,221.34040662018512,2,-114,224,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.24634456634521484,204.7977853387889,2,-107,209,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.2563166618347168,188.25672956406177,2,-100,194,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.26628971099853516,171.71762441591463,2,-93,179,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.27428197860717773,155.18099254513137,2,-86,164,619,822,826,399,60
-5,10,0.0,-7.5,15.0,0.2832458019256592,138.6475615003075,2,-79,149,619,822,826,399,60
-5,9,0.0,-7.5,13.5,0.2922205924987793,123.88307249337075,2,-72,136,619,822,826,399,60
