dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,1,0.01,-0.0,1.5,0.9245619773864746,291.61961525247233,1,-291,-19,669,582,960,600,20
0,1,0.0,-0.0,1.5,0.9325301647186279,291.6864755178066,1,-291,-20,669,582,960,600,20
0,1,0.01,-0.0,1.5,0.9415063858032227,291.756747993941,1,-291,-21,669,582,960,600,20
1,2,0.0,1.5,3.0,0.9494843482971191,292.9846412356798,1,-292,-24,669,582,960,600,20
1,2,0.01,1.5,3.0,0.9574637413024902,294.24139749532185,1,-293,-27,669,582,960,600,20
1,3,0.01,1.5,4.5,0.965442419052124,295.62983611266304,1,-294,-31,669,582,960,600,20
1,3,0.0,1.5,4.5,0.973421573638916,297.06901555025894,1,-295,-35,669,582,960,600,20
1,3,0.0,1.5,4.5,0.9814000129699707,298.5582020310278,1,-296,-39,669,582,960,600,20
1,3,0.0,1.5,4.5,0.9883925914764404,300.0966510976089,1,-297,-43,669,582,960,600,20
1,3,0.01,1.5,4.5,0.9983551502227783,301.6836091006603,1,-298,-47,669,582,960,600,20
1,3,0.0,1.5,4.5,1.0063409805297852,303.3183146465112,1,-299,-51,669,582,960,600,20
1,3,0.0,1.5,4.5,1.014312744140625,305.0,1,-300,-55,669,582,960,600,20
1,3,0.0,1.5,4.5,1.0222935676574707,306.7278924388847,1,-301,-59,669,582,960,600,20
1,3,0.0,1.5,4.5,1.031273365020752,308.5012155567624,1,-302,-63,669,582,960,600,20
0,3,0.0,-0.0,4.5,1.0402441024780273,309.3428518650463,1,-302,-67,669,582,960,600,20
0,3,0.0,-0.0,4.5,1.048224925994873,310.2337828154761,1,-302,-71,669,582,960,600,20
-1,3,0.0,-1.5,4.5,1.0562095642089844,310.20315923600776,1,-301,-75,669,582,960,600,20
-1,3,0.0,-1.5,4.5,1.0651779174804688,310.22733599732953,1,-300,-79,669,582,960,600,20
-1,3,0.0,-1.5,4.5,1.0731570720672607,310.3063002905355,1,-299,-83,669,582,960,600,20
-2,3,0.0,-3.0,4.5,1.0811357498168945,308.5206638136253,1,-296,-87,669,582,960,600,20
-3,2,0.0,-4.5,3.0,1.0891196727752686,305.5552323230614,1,-292,-90,669,582,960,600,20
-3,2,0.0,-4.5,3.0,1.0970945358276367,302.64335446198055,1,-288,-93,669,582,960,600,20
-4,1,0.0,-6.0,1.5,1.106069803237915,297.2541000558277,1,-282,-94,669,582,960,600,20
-4,1,0.0,-6.0,1.5,1.1140501499176025,291.89210335327675,1,-276,-95,669,582,960,600,20
-5,0,0.0,-7.5,-0.0,1.1220273971557617,285.2823163114041,1,-269,-95,669,582,960,600,20
-5,-1,0.0,-7.5,-1.5,1.1310040950775146,278.3522947633089,1,-262,-94,669,582,960,600,20
-6,-1,0.0,-9.0,-1.5,1.140007495880127,269.5514793133215,1,-253,-93,669,582,960,600,20
-6,-2,0.0,-9.0,-3.0,1.1489555835723877,260.06922155457,1,-244,-90,669,582,960,600,20
-7,-2,0.0,-10.5,-3.0,1.1569349765777588,249.64975465639858,1,-234,-87,669,582,960,600,20
-7,-3,0.0,-10.5,-4.5,1.1669082641601562,238.88281646028875,1,-224,-83,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.1758861541748047,226.24102192131292,1,-212,-79,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.1838653087615967,213.60009363293827,1,-200,-75,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.1928412914276123,200.9601950635996,1,-188,-71,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.2008183002471924,188.32153355365392,1,-176,-67,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.2087998390197754,175.6843760839307,1,-164,-63,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.2167775630950928,163.04907236779974,1,-152,-59,669,582,960,600,20
-8,-3,0.0,-12.0,-4.5,1.225752592086792,150.41608956491322,1,-140,-55,669,582,960,600,20
-7,-3,0.0,-10.5,-4.5,1.2347285747528076,139.64598096615597,1,-130,-51,669,582,960,600,20
-7,-2,0.0,-10.5,-3.0,1.2427072525024414,129.24395537122808,1,-120,-48,669,582,960,600,20
-6,-2,0.0,-9.0,-3.0,1.250687599182129,119.77478866606278,1,-111,-45,669,582,960,600,20
-6,-2,0.0,-9.0,-3.0,1.2596628665924072,110.30865786510141,1,-102,-42,669,582,960,600,20
-5,-2,0.0,-7.5,-3.0,1.2676417827606201,102.69371937952194,1,-95,-39,669,582,960,600,20
-5,-1,0.0,-7.5,-1.5,1.275620460510254,95.85405573057407,1,-88,-38,669,582,960,600,20
-4,-2,0.0,-6.0,-3.0,1.2845962047576904,89.15716460273958,1,-82,-35,669,582,960,600,20
-4,-1,0.0,-6.0,-1.5,1.2925751209259033,83.2586331859946,1,-76,-34,669,582,960,600,20
-3,-1,0.0,-4.5,-1.5,1.3015525341033936,79.20227269466452,1,-72,-33,669,582,960,600,20
