dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,0,0.01,1.5,-0.0,0.07079219818115234,852.2329493747587,1,-651,-550,310,50,960,600,20
2,-2,0.0,3.0,-3.0,0.0777733325958252,852.5989678623826,1,-654,-547,310,50,960,600,20
3,-2,0.0,4.5,-3.0,0.09073901176452637,853.7564055396598,1,-658,-544,310,50,960,600,20
4,-2,0.0,6.0,-3.0,0.10370612144470215,856.4910974435169,1,-664,-541,310,50,960,600,20
5,-2,0.0,7.5,-3.0,0.11766910552978516,860.0494171848499,1,-671,-538,310,50,960,600,20
6,-2,0.0,9.0,-3.0,0.12465119361877441,865.2311829794393,1,-680,-535,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.13661861419677734,871.2772233910399,1,-690,-532,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.14958405494689941,877.4058354034352,1,-700,-529,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.1575636863708496,883.6153009087155,1,-710,-526,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.16976642608642578,889.9039273989075,1,-720,-523,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.18273234367370605,896.2700485902673,1,-730,-520,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.1897134780883789,902.7120249559102,1,-740,-517,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.20267963409423828,909.2282441719461,1,-750,-514,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.21364998817443848,915.8171214822313,1,-760,-511,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.22861075401306152,922.4770999867693,1,-770,-508,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.23659014701843262,929.2066508586774,1,-780,-505,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.24957847595214844,936.0042734945177,1,-790,-502,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.261523962020874,942.8684956026476,1,-800,-499,310,50,960,600,20
7,-2,0.0,10.5,-3.0,0.2745034694671631,949.7978732340897,1,-810,-496,310,50,960,600,20
6,-2,0.0,9.0,-3.0,0.2884528636932373,955.9340981469381,1,-819,-493,310,50,960,600,20
5,-2,0.0,7.5,-3.0,0.2964315414428711,960.4040816239798,1,-826,-490,310,50,960,600,20
4,-2,0.0,6.0,-3.0,0.3103947639465332,964.050309890516,1,-832,-487,310,50,960,600,20
3,-2,0.0,4.5,-3.0,0.3233609199523926,965.9979296044065,1,-836,-484,310,50,960,600,20
2,-2,0.01,3.0,-3.0,0.33632612228393555,967.099788026034,1,-839,-481,310,50,960,600,20
1,-2,0.01,1.5,-3.0,0.3492922782897949,966.4802119029649,1,-840,-478,310,50,960,600,20
0,-2,0.01,-0.0,-3.0,0.3572719097137451,965.0,1,-840,-475,310,50,960,600,20
-1,-2,0.01,-1.5,-3.0,0.370236873626709,962.6551822953014,1,-839,-472,310,50,960,600,20
-2,-2,0.01,-3.0,-3.0,0.38320350646972656,958.5702895458423,1,-836,-469,310,50,960,600,20
-3,-3,0.01,-4.5,-4.5,0.3901839256286621,953.1259098356313,1,-832,-465,310,50,960,600,20
-4,-3,0.0,-6.0,-4.5,0.4031987190246582,945.9371015030545,1,-826,-461,310,50,960,600,20
-6,-4,0.0,-9.0,-6.0,0.4161396026611328,935.1545326843045,1,-817,-455,310,50,960,600,20
-8,-5,0.0,-12.0,-7.5,0.42312145233154297,921.264891331478,1,-805,-448,310,50,960,600,20
-11,-6,0.0,-16.5,-9.0,0.4370841979980469,902.9075257189963,1,-789,-439,310,50,960,600,20
-14,-7,0.0,-21.0,-10.5,0.44705820083618164,879.6959702078894,1,-768,-429,310,50,960,600,20
-17,-8,0.0,-25.5,-12.0,0.45802879333496094,852.0199528180077,1,-743,-417,310,50,960,600,20
-20,-9,0.0,-30.0,-13.5,0.4660074710845947,819.5028981034783,1,-713,-404,310,50,960,600,20
-23,-9,0.0,-34.5,-13.5,0.4739863872528076,783.5317479209123,1,-679,-391,310,50,960,600,20
-25,-9,0.01,-37.5,-13.5,0.48296332359313965,745.0154360816962,1,-642,-378,310,50,960,600,20
-27,-9,0.01,-40.5,-13.5,0.4919393062591553,704.0092328940012,1,-602,-365,310,50,960,600,20
-28,-9,0.01,-42.0,-13.5,0.4999518394470215,661.4408514750204,1,-560,-352,310,50,960,600,20
-29,-9,0.01,-43.5,-13.5,0.5069329738616943,618.2313482831488,1,-517,-339,310,50,960,600,20
-29,-9,0.01,-43.5,-13.5,0.5159103870391846,575.2842775532806,1,-474,-326,310,50,960,600,20
-29,-9,0.01,-43.5,-13.5,0.5238885879516602,532.6631205555722,1,-431,-313,310,50,960,600,20
-28,-9,0.01,-42.0,-13.5,0.531867504119873,491.2443383897671,1,-389,-300,310,50,960,600,20
-27,-9,0.01,-40.5,-13.5,0.5388493537902832,451.8517455980446,1,-349,-287,310,50,960,600,20
-26,-9,0.01,-39.0,-13.5,0.5468294620513916,413.73421420037283,1,-310,-274,310,50,960,600,20
-25,-9,0.01,-37.5,-13.5,0.5558042526245117,377.69034936042516,1,-273,-261,310,50,960,600,20
-24,-9,0.01,-36.0,-13.5,0.5647809505462646,343.0349836386954,1,-237,-248,310,50,960,600,20
-23,-9,0.0,-34.5,-13.5,0.5737566947937012,310.5382424114621,1,-203,-235,310,50,960,600,20
-21,-9,0.0,-31.5,-13.5,0.5827620029449463,280.8344708186657,1,-172,-222,310,50,960,600,20
-19,-9,0.0,-28.5,-13.5,0.5917422771453857,253.80504329110562,1,-144,-209,310,50,960,600,20
-17,-9,0.0,-25.5,-13.5,0.6016838550567627,229.2967509582288,1,-119,-196,310,50,960,600,20
-15,-9,0.0,-22.5,-13.5,0.611656904220581,207.1183236703117,1,-97,-183,310,50,960,600,20
-13,-9,0.0,-19.5,-13.5,0.6216320991516113,187.040102651811,1,-78,-170,310,50,960,600,20
-11,-8,0.0,-16.5,-12.0,0.6306066513061523,169.72919607421701,1,-62,-158,310,50,960,600,20
-9,-8,0.0,-13.5,-12.0,0.6385858058929443,154.00324671902212,1,-49,-146,310,50,960,600,20
-8,-7,0.0,-12.0,-10.5,0.6475620269775391,140.9432509913121,1,-37,-136,310,50,960,600,20
-7,-7,0.0,-10.5,-10.5,0.6575357913970947,128.86038956948718,1,-27,-126,310,50,960,600,20
-6,-6,0.0,-9.0,-9.0,0.6655144691467285,118.37651794169315,1,-18,-117,310,50,960,600,20
-5,-6,0.0,-7.5,-9.0,0.6744921207427979,108.55873986004075,1,-11,-108,310,50,960,600,20
-4,-6,0.0,-6.0,-9.0,0.6814730167388916,99.12618221237011,1,-5,-99,310,50,960,600,20
-3,-6,0.0,-4.5,-9.0,0.6894519329071045,90.00555538409837,1,-1,-90,310,50,960,600,20
-3,-6,0.0,-4.5,-9.0,0.6984279155731201,81.05553651663777,1,3,-81,310,50,960,600,20
