dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
12,29,1.0,18.0,43.5,0.9089782238006592,317.9405433916337,1,84,-317,1054,334,952,608,20
18,37,1.0,27.0,55.5,0.9169585704803467,366.3416001453998,1,57,-372,1054,334,952,608,20
21,37,1.0,31.5,55.5,0.9249424934387207,417.79083674150854,1,26,-427,1054,334,952,608,20
19,35,1.0,28.5,52.5,0.9329168796539307,469.00417534714666,1,-2,-479,1054,334,952,608,20
15,44,1.0,22.5,66.0,0.9398977756500244,535.5281844231332,1,-24,-545,1054,334,952,608,20
22,78,0.0,33.0,117.0,0.94887375831604,654.4493961168149,1,-57,-662,1054,334,952,608,20
70,114,0.0,105.0,171.0,0.9598448276519775,838.6065048065564,1,-162,-833,1054,334,952,608,20
212,0,0.0,318.0,0,0.9698195457458496,979.2547700162987,1,-480,-865,1054,334,952,608,20
0,0,0.0,0,0,0.977797269821167,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,0.0,0,0,0.9867763519287109,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,0.0,0,0,0.9947540760040283,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0037291049957275,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0107107162475586,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0206847190856934,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.02866530418396,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0366430282592773,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0446217060089111,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0535988807678223,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0605800151824951,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.068558931350708,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0765390396118164,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0845167636871338,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0924959182739258,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.0994775295257568,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.1084537506103516,1213.2947314527273,1,-865,-865,1054,334,952,608,20
0,0,1.0,0,0,1.1154356002807617,1213.2947314527273,1,-865,-865,1054,334,952,608,20
