dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
0,0,0.01,-0.0,-0.0,0.23917627334594727,841.4921271170634,1,797,-270,1757,330,960,600,20
0,0,0.01,-0.0,-0.0,0.24615859985351562,841.4921271170634,1,797,-270,1757,330,960,600,20
0,0,0.01,-0.0,-0.0,0.2541522979736328,841.4921271170634,1,797,-270,1757,330,960,600,20
0,0,0.02,-0.0,-0.0,0.262115478515625,841.4921271170634,1,797,-270,1757,330,960,600,20
1,0,0.02,1.5,-0.0,0.270094633102417,840.5450612548979,1,796,-270,1757,330,960,600,20
2,0,0.0,3.0,-0.0,0.2780730724334717,837.7046018734767,1,793,-270,1757,330,960,600,20
3,0,0.0,4.5,-0.0,0.28605175018310547,833.919060820653,1,789,-270,1757,330,960,600,20
5,0,0.0,7.5,-0.0,0.29503703117370605,827.2992203550056,1,782,-270,1757,330,960,600,20
7,0,0.0,10.5,-0.0,0.30301904678344727,817.85328757669,1,772,-270,1757,330,960,600,20
10,0,0.0,15.0,-0.0,0.3139779567718506,803.7095246418322,1,757,-270,1757,330,960,600,20
13,0,0.0,19.5,-0.0,0.32095956802368164,785.8396783059507,1,738,-270,1757,330,960,600,20
15,0,0.0,22.5,-0.0,0.3309342861175537,765.2163092877726,1,716,-270,1757,330,960,600,20
17,-1,0.0,25.5,-1.5,0.3399088382720947,741.5133174798683,1,691,-269,1757,330,960,600,20
18,-1,0.0,27.0,-1.5,0.34888625144958496,716.0446913426564,1,664,-268,1757,330,960,600,20
19,-2,0.0,28.5,-3.0,0.3558666706085205,689.0,1,636,-265,1757,330,960,600,20
19,-2,0.0,28.5,-3.0,0.36583971977233887,662.0483366039069,1,608,-262,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.3738236427307129,634.7944549222212,1,580,-258,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.38280367851257324,607.6347587161222,1,552,-254,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.3907742500305176,580.5824661492974,1,524,-250,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.399749755859375,553.6533211315543,1,496,-246,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.4077296257019043,526.8662069254394,1,468,-242,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.4167053699493408,500.24394049303584,1,440,-238,1757,330,960,600,20
19,-3,0.0,28.5,-4.5,0.42368650436401367,473.8143096192853,1,412,-234,1757,330,960,600,20
18,-3,0.0,27.0,-4.5,0.4326629638671875,448.4696199298231,1,385,-230,1757,330,960,600,20
17,-3,0.0,25.5,-4.5,0.4401991367340088,425.0599957653037,1,360,-226,1757,330,960,600,20
16,-3,0.0,24.0,-4.5,0.449174165725708,402.715780669196,1,336,-222,1757,330,960,600,20
15,-3,0.0,22.5,-4.5,0.4571530818939209,382.25645841502796,1,314,-218,1757,330,960,600,20
14,-3,0.0,21.0,-4.5,0.46712756156921387,362.8291609008295,1,293,-214,1757,330,960,600,20
13,-3,0.0,19.5,-4.5,0.47510457038879395,345.21877121616666,1,274,-210,1757,330,960,600,20
12,-3,0.0,18.0,-4.5,0.484081506729126,328.5909310982274,1,256,-206,1757,330,960,600,20
11,-3,0.0,16.5,-4.5,0.4930572509765625,313.69411852950003,1,240,-202,1757,330,960,600,20
10,-3,0.0,15.0,-4.5,0.5020337104797363,299.7148644962408,1,225,-198,1757,330,960,600,20
9,-3,0.0,13.5,-4.5,0.5110151767730713,287.3673607075097,1,212,-194,1757,330,960,600,20
8,-3,0.0,12.0,-4.5,0.5199856758117676,275.86228448267445,1,200,-190,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5299594402313232,265.88719412562915,1,190,-186,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5369415283203125,255.97656142701817,1,180,-182,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5448763370513916,246.1381725779242,1,170,-178,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5538558959960938,236.3810483097154,1,160,-174,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.561830997467041,226.71568097509268,1,150,-170,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5708074569702148,217.1543230055529,1,140,-166,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5787861347198486,207.71133815947553,1,130,-162,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5877623558044434,198.40362899906847,1,120,-158,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.5947439670562744,189.25115587493778,1,110,-154,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.6037254333496094,180.27756377319946,1,100,-150,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.6116993427276611,171.51093259614677,1,90,-146,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.6196777820587158,162.9846618550347,1,80,-142,1757,330,960,600,20
7,-3,0.0,10.5,-4.5,0.6266653537750244,154.7384890710776,1,70,-138,1757,330,960,600,20
6,-3,0.0,9.0,-4.5,0.6356439590454102,147.2311108427835,1,61,-134,1757,330,960,600,20
5,-3,0.0,7.5,-4.5,0.6436257362365723,140.7693148381422,1,54,-130,1757,330,960,600,20
4,-3,0.0,6.0,-4.5,0.6515929698944092,134.8332303254654,1,48,-126,1757,330,960,600,20
4,-3,0.0,6.0,-4.5,0.6615679264068604,129.0271289303145,1,42,-122,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.6695456504821777,123.96773773849388,1,38,-118,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.6775262355804443,118.96217886370441,1,34,-114,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.6855044364929199,114.0175425099138,1,30,-110,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.6934821605682373,109.14210919713803,1,26,-106,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7014667987823486,104.34557968596465,1,22,-102,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7094402313232422,99.6393496566492,1,18,-98,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7184159755706787,95.03683496413377,1,14,-94,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7273929119110107,90.55385138137417,1,10,-90,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7363700866699219,86.20904824900923,1,6,-86,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7433531284332275,82.02438661763951,1,2,-82,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7533247470855713,78.02563681252464,1,-2,-78,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7613029479980469,74.24284477308234,1,-6,-74,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7692811489105225,70.71067811865476,1,-10,-70,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7772603034973145,67.468511173732,1,-14,-66,1757,330,960,600,20
3,-3,0.0,4.5,-4.5,0.7862644195556641,64.5600495662759,1,-18,-62,1757,330,960,600,20
2,-3,0.0,3.0,-4.5,0.7942149639129639,61.68468205316454,1,-21,-58,1757,330,960,600,20
2,-3,0.0,3.0,-4.5,0.8021945953369141,59.09314681077663,1,-24,-54,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8111701011657715,55.90169943749474,1,-25,-50,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8191490173339844,52.839379254491625,1,-26,-46,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8281247615814209,49.92995093127971,1,-27,-42,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8371021747589111,47.20169488482379,1,-28,-38,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8450801372528076,44.68780594300866,1,-29,-34,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8540573120117188,42.42640687119285,1,-30,-30,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8630330562591553,40.45985664828782,1,-31,-26,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8730065822601318,38.8329756778952,1,-32,-22,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.8839771747589111,37.589892258425,1,-33,-18,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.891958475112915,36.76955262170047,1,-34,-14,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9019293785095215,36.40054944640259,1,-35,-10,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9109194278717041,36.49657518178932,1,-36,-6,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9198825359344482,37.05401462729781,1,-37,-2,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9288582801818848,38.05259518088089,1,-38,2,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9388351440429688,39.45883931389772,1,-39,6,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.949803352355957,41.23105625617661,1,-40,10,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9577815532684326,43.32435804486894,1,-41,14,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9667572975158691,45.69463863518345,1,-42,18,1757,330,960,600,20
1,-3,0.0,1.5,-4.5,0.9747371673583984,48.30113870293329,1,-43,22,1757,330,960,600,20
