dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
29,340,0.0,43.5,510.0,0.9255762100219727,846.5383820938791,1,-827,-223,176,887,960,600,20
91,0,0.0,136.5,0,0.9335553646087646,1002.2810874455771,1,-963,-312,176,887,960,600,20
0,0,0.0,0,0,0.9415342807769775,1760.704097244935,1,-1743,-312,176,887,960,600,20
0,0,0.0,0,0,0.9495129585266113,1760.704097244935,1,-1743,-312,176,887,960,600,20
0,0,0.0,0,0,0.9577980041503906,1760.704097244935,1,-1743,-312,176,887,960,600,20
0,0,0.0,0,0,0.9657855033874512,1760.704097244935,1,-1743,-312,176,887,960,600,20
0,0,0.0,0,0,0.9737560749053955,1760.704097244935,1,-1743,-312,176,887,960,600,20
0,-403,1.0,0,-604.5,0.9817352294921875,1757.289732896109,1,-1743,292,176,887,960,600,20
0,0,1.0,0,0,0.9897148609161377,1945.260852162698,1,-1743,886,176,887,960,600,20
0,0,1.0,0,0,0.9977219104766846,1945.260852162698,1,-1743,886,176,887,960,600,20
0,0,1.0,0,0,1.0076746940612793,1945.260852162698,1,-1743,886,176,887,960,600,20
0,0,1.0,0,0,1.0156450271606445,1945.260852162698,1,-1743,886,176,887,960,600,20
0,0,0.0,0,0,1.0236246585845947,1945.260852162698,1,-1743,886,176,887,960,600,20
0,0,1.0,0,0,1.0316033363342285,1945.260852162698,1,-1743,886,176,887,960,600,20
-104,7,1.0,-156.0,10.5,1.0395822525024414,1802.7175731481173,1,-1587,876,176,887,960,600,20
-53,0,0.0,-79.5,0,1.0485575199127197,1739.0168666996897,1,-1508,886,176,887,960,600,20
-552,0,0.0,-828.0,0,1.058532476425171,1106.8688374200437,1,-680,886,176,887,960,600,20
0,0,0.0,0,0,1.0665104389190674,893.1173788605776,1,175,886,176,887,960,600,20
0,0,0.0,0,0,1.0754871368408203,893.1173788605776,1,175,886,176,887,960,600,20
0,160,0.0,0,240.0,1.0824687480926514,659.2839457210968,1,175,646,176,887,960,600,20
0,196,0.0,0,294.0,1.090446949005127,383.1017679939891,1,175,352,176,887,960,600,20
35,172,0.0,52.5,258.0,1.100421667098999,144.80633061990713,1,123,94,176,887,960,600,20
99,50,0.0,148.5,75.0,1.1093966960906982,21.400636936215164,1,-25,19,176,887,960,600,20
80,27,1.0,120.0,40.5,1.1163780689239502,136.5127980757995,1,-145,-21,176,887,960,600,20
114,4,1.0,171.0,6.0,1.1253540515899658,307.1513834117707,1,-316,-27,176,887,960,600,20
6,-7,0.0,9.0,-10.5,1.1333372592926025,315.44431167251946,1,-325,-17,176,887,960,600,20
-22,-71,0.0,-33.0,-106.5,1.1413118839263916,295.26218239408564,1,-292,89,176,887,960,600,20
-36,-50,0.0,-54.0,-75.0,1.1492912769317627,279.03287010303865,1,-238,164,176,887,960,600,20
-24,-6,0.0,-36.0,-9.0,1.1582679748535156,255.9567634033773,1,-202,173,176,887,960,600,20
-52,-48,1.0,-78.0,-72.0,1.166245937347412,264.592425241484,1,-124,245,176,887,960,600,20
-71,-87,0.0,-106.5,-130.5,1.1762197017669678,365.4317514542424,1,-18,375,176,887,960,600,20
0,-150,0.0,0,-225.0,1.1841990947723389,615.0,1,175,600,176,887,960,600,20
31,-142,0.0,46.5,-213.0,1.1921789646148682,813.1706991869912,1,129,813,176,887,960,600,20
-9,0,0.0,-13.5,0,1.2011535167694092,887.3070823302355,1,142,886,176,887,960,600,20
0,30,0.0,0,45.0,1.210129737854004,849.0145516811691,1,175,841,176,887,960,600,20
51,140,0.0,76.5,210.0,1.2181100845336914,628.7190305603865,1,99,631,176,887,960,600,20
45,129,0.0,67.5,193.5,1.226088285446167,429.16739405379354,1,32,438,176,887,960,600,20
76,121,0.0,114.0,181.5,1.2350642681121826,259.7647122957337,1,-82,257,176,887,960,600,20
41,114,0.0,61.5,171.0,1.2440400123596191,156.86821147240718,1,-143,86,176,887,960,600,20
39,116,0.0,58.5,174.0,1.2510221004486084,209.4196891803468,1,-201,-88,176,887,960,600,20
39,93,0.0,58.5,139.5,1.2599976062774658,334.3980255460243,1,-259,-227,176,887,960,600,20
38,0,0.0,57.0,0,1.2679777145385742,434.07206622349037,1,-316,-312,176,887,960,600,20
-7,0,0.0,-10.5,0,1.276953935623169,427.01258563112344,1,-306,-312,176,887,960,600,20
-39,-30,1.0,-58.5,-45.0,1.2839479446411133,354.4077386664559,1,-248,-267,176,887,960,600,20
-117,-61,0.0,-175.5,-91.5,1.2929115295410156,180.53870997778904,1,-73,-176,176,887,960,600,20
0,-90,0.0,0,-135.0,1.2998924255371094,169.7386992275175,1,175,-41,176,887,960,600,20
0,-80,0.0,0,-120.0,1.3098669052124023,182.00520826269272,1,175,79,176,887,960,600,20
30,-119,0.0,45.0,-178.5,1.3168604373931885,278.00868042473996,1,130,257,176,887,960,600,20
67,-134,0.0,100.5,-201.0,1.3258249759674072,448.9814811078983,1,30,458,176,887,960,600,20
64,-105,0.0,96.0,-157.5,1.3338124752044678,608.5313249949431,1,-66,615,176,887,960,600,20
21,-81,0.0,31.5,-121.5,1.3427796363830566,732.3644657444213,1,-97,736,176,887,960,600,20
6,13,0.0,9.0,19.5,1.3517558574676514,714.7930739183425,1,-106,717,176,887,960,600,20
-64,76,0.0,-96.0,114.0,1.3597402572631836,593.0829130393266,1,-10,603,176,887,960,600,20
-79,130,0.0,-118.5,195.0,1.3677129745483398,412.05212948165536,1,108,408,176,887,960,600,20
0,140,0.0,0,210.0,1.3766896724700928,254.25177388240934,1,175,198,176,887,960,600,20
0,124,0.0,0,186.0,1.3846683502197266,165.410946066658,1,175,12,176,887,960,600,20
31,94,0.0,46.5,141.0,1.3936445713043213,172.43354954612926,1,129,-129,176,887,960,600,20
48,71,0.0,72.0,106.5,1.401623249053955,231.81397809059757,1,57,-235,176,887,960,600,20
75,16,0.0,112.5,24.0,1.4106006622314453,254.7753764986465,1,-55,-259,176,887,960,600,20
58,-26,0.0,87.0,-39.0,1.4185779094696045,251.8472837361503,1,-142,-220,176,887,960,600,20
18,-57,0.0,27.0,-85.5,1.4285521507263184,206.3007165961315,1,-169,-135,176,887,960,600,20
-64,-98,0.0,-96.0,-147.0,1.4365413188934326,63.97972695272672,1,-73,12,176,887,960,600,20
-148,-90,0.0,-222.0,-135.0,1.4455068111419678,199.3083849252103,1,149,147,176,887,960,600,20
0,-59,0.0,0,-88.5,1.4524879455566406,283.00170647967224,1,175,235,176,887,960,600,20
30,-38,0.0,45.0,-57.0,1.4604671001434326,309.631037291437,1,130,292,176,887,960,600,20
100,-38,0.0,150.0,-57.0,1.4684467315673828,339.57259617996374,1,-20,349,176,887,960,600,20
115,-52,0.0,172.5,-78.0,1.4764251708984375,458.1805207395968,1,-192,427,176,887,960,600,20
113,-56,0.0,169.5,-84.0,1.4844040870666504,615.6532586025586,1,-361,511,176,887,960,600,20
65,-60,0.0,97.5,-90.0,1.4933803081512451,745.6222601273735,1,-458,601,176,887,960,600,20
18,-15,0.0,27.0,-22.5,1.501359224319458,779.5277069235759,1,-485,623,176,887,960,600,20
-43,41,0.0,-64.5,61.5,1.5103356838226318,692.2001139276467,1,-421,562,176,887,960,600,20
-91,70,0.0,-136.5,105.0,1.5193114280700684,528.5851836060847,1,-285,457,176,887,960,600,20
-113,78,0.0,-169.5,117.0,1.5272908210754395,349.2436499090833,1,-116,340,176,887,960,600,20
-152,67,0.0,-228.0,100.5,1.535271406173706,254.84712571594957,1,112,240,176,887,960,600,20
0,74,0.0,0,111.0,1.545253038406372,207.40745157422734,1,175,129,176,887,960,600,20
13,56,0.0,19.5,84.0,1.5532214641571045,152.3607095328177,1,156,45,176,887,960,600,20
61,16,0.0,91.5,24.0,1.5621991157531738,58.30812543175226,1,65,21,176,887,960,600,20
64,-6,0.0,96.0,-9.0,1.5711736679077148,33.139309220245984,1,-31,30,176,887,960,600,20
69,-13,0.0,103.5,-19.5,1.579153060913086,132.67795905464865,1,-134,49,176,887,960,600,20
16,-18,0.0,24.0,-27.0,1.5871315002441406,165.32826355154492,1,-158,76,176,887,960,600,20
-44,-10,0.0,-66.0,-15.0,1.5951104164123535,119.40247292845683,1,-92,91,176,887,960,600,20
-101,4,0.0,-151.5,6.0,1.6050844192504883,93.46980235798269,1,59,85,176,887,960,600,20
0,17,0.0,0,25.5,1.612065315246582,175.0,1,175,60,176,887,960,600,20
47,6,0.0,70.5,9.0,1.6220390796661377,106.73045875006231,1,105,51,176,887,960,600,20
84,3,0.0,126.0,4.5,1.6310155391693115,41.478150704935004,1,-21,47,176,887,960,600,20
67,8,0.0,100.5,12.0,1.6389944553375244,115.96031120952345,1,-121,35,176,887,960,600,20
36,-14,0.0,54.0,-21.0,1.6469738483428955,173.74166647769363,1,-175,56,176,887,960,600,20
1,-16,0.0,1.5,-24.0,1.654952049255371,183.32873557751316,1,-176,80,176,887,960,600,20
-37,-18,0.0,-55.5,-27.0,1.6639468669891357,151.5239920259526,1,-121,107,176,887,960,600,20
-62,-21,0.0,-93.0,-31.5,1.6719074249267578,130.81193131265547,1,-28,138,176,887,960,600,20
-81,-21,0.0,-121.5,-31.5,1.6798861026763916,182.89893727027115,1,93,169,176,887,960,600,20
0,-35,0.0,0,-52.5,1.6868674755096436,271.89714436297504,1,175,221,176,887,960,600,20
1,-14,0.0,1.5,-21.0,1.6958441734313965,288.0603965641863,1,174,242,176,887,960,600,20
0,-3,0.0,-0.0,-4.5,1.7048203945159912,291.3171087077533,1,174,246,176,887,960,600,20
6,-13,1.0,9.0,-19.5,1.7148065567016602,302.1698255757593,1,165,265,176,887,960,600,20
5,-20,0.0,7.5,-30.0,1.7227728366851807,324.647575816709,1,158,295,176,887,960,600,20
6,-26,0.0,9.0,-39.0,1.7307515144348145,355.7280410359588,1,149,334,176,887,960,600,20
12,-7,0.0,18.0,-10.5,1.7387306690216064,358.099171419877,1,131,344,176,887,960,600,20
1,13,0.0,1.5,19.5,1.7467100620269775,340.03571246374275,1,130,325,176,887,960,600,20
-10,22,0.0,-15.0,33.0,1.755685567855835,316.0199380406051,1,145,292,176,887,960,600,20
-7,29,0.0,-10.5,43.5,1.7636651992797852,283.3018922543801,1,155,249,176,887,960,600,20
0,29,0.0,0,43.5,1.7716445922851562,260.2979837142704,1,175,206,176,887,960,600,20
0,35,0.0,0,52.5,1.779623031616211,223.11156127485398,1,175,154,176,887,960,600,20
0,21,0.0,0,31.5,1.7885982990264893,203.90184664934523,1,175,123,176,887,960,600,20
7,5,0.0,10.5,7.5,1.798572301864624,191.6953147695801,1,165,116,176,887,960,600,20
7,3,0.0,10.5,4.5,1.8065521717071533,181.23022773609824,1,155,112,176,887,960,600,20
4,7,0.0,6.0,10.5,1.8155274391174316,170.56854654119581,1,149,102,176,887,960,600,20
-6,-2,0.0,-9.0,-3.0,1.82350754737854,179.70766985021982,1,158,105,176,887,960,600,20
