targetX,targetY,targetSize,initMouseX,initMouseY,targetID,pdx,pdy,btn
115,1106,20,960,600,1,1043,801,14
115,1106,20,960,600,1,-1473,-397,7
115,1106,20,960,600,1,-169,289,5
115,1106,20,960,600,1,398,301,5
115,1106,20,960,600,1,-780,-210,4
115,1106,20,960,600,1,43,278,4
115,1106,20,960,600,1,273,20,4
115,1106,20,960,600,1,-620,-167,3
115,1106,20,960,600,1,109,251,2
115,1106,20,960,600,1,20,68,1
115,1106,20,960,600,1,-302,-81,1
115,1106,20,960,600,1,133,97,2
115,1106,20,960,600,1,-130,-35,1
115,1106,20,960,600,1,31,-30,1
115,1106,20,960,600,1,73,76,1
115,1106,20,960,600,1,-123,-33,1
115,1106,20,960,600,1,62,-27,1
115,1106,20,960,600,1,22,52,0
115,1106,20,960,600,1,-91,-24,0
115,1106,20,960,600,1,83,-13,1
115,1106,20,960,600,1,-28,3,0
115,1106,20,960,600,1,-42,-4,0
115,1106,20,960,600,1,37,45,1
115,1106,20,960,600,1,-35,-21,0
115,1106,20,960,600,1,13,-28,0
115,1106,20,960,600,1,9,20,0
60,708,33,133,1099,2,-6,8,0
60,708,33,133,1099,2,-50,-111,2
60,708,33,133,1099,2,84,-60,1
60,708,33,133,1099,2,-28,-7,0
60,708,33,133,1099,2,23,54,0
60,708,33,133,1099,2,-68,-16,0
775,1031,35,58,677,3,33,29,0
775,1031,35,58,677,3,381,115,4
775,1031,35,58,677,3,-263,-71,1
775,1031,35,58,677,3,27,62,1
775,1031,35,58,677,3,171,-35,2
775,1031,35,58,677,3,-171,-46,1
775,1031,35,58,677,3,57,132,1
775,1031,35,58,677,3,99,-61,1
775,1031,35,58,677,3,-210,-56,1
775,1031,35,58,677,3,188,95,2
775,1031,35,58,677,3,-82,-22,0
775,1031,35,58,677,3,-76,-32,1
775,1031,35,58,677,3,174,8,2
775,1031,35,58,677,3,-113,-30,1
775,1031,35,58,677,3,28,64,1
775,1031,35,58,677,3,39,2,0
775,1031,35,58,677,3,-105,-28,1
775,1031,35,58,677,3,130,-23,1
775,1031,35,58,677,3,-40,-2,0
775,1031,35,58,677,3,-45,8,0
775,1031,35,58,677,3,32,73,1
775,1031,35,58,677,3,-30,-43,1
493,128,7,769,1054,4,-7,-36,1
