dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-1,1,0.13,-1.5,1.5,0.8557982444763184,470.8752436963251,1,29,480,988,1081,960,600,20
-1,1,0.1,-1.5,1.5,0.863776445388794,469.9385377316558,1,30,479,988,1081,960,600,20
-2,2,0.08,-3.0,3.0,0.8697617053985596,467.1425363557519,1,33,476,988,1081,960,600,20
-2,2,0.06,-3.0,3.0,0.8797354698181152,464.3680006071236,1,36,473,988,1081,960,600,20
-3,3,0.02,-4.5,4.5,0.8877131938934326,460.7026662342163,1,40,469,988,1081,960,600,20
-3,3,0.0,-4.5,4.5,0.896690845489502,457.07708143303284,1,44,465,988,1081,960,600,20
-3,4,0.0,-4.5,6.0,0.9056675434112549,451.50297940533386,1,48,459,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.915640115737915,446.20718977236646,1,54,453,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9246180057525635,441.0088690923938,1,60,447,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9335930347442627,435.91142618237535,1,66,441,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9415767192840576,430.918359790109,1,72,435,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9505531787872314,426.033255612459,1,78,429,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9595303535461426,421.2597824977423,1,84,423,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9685049057006836,416.60168776037443,1,90,417,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9794764518737793,412.0627915369939,1,96,411,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9884538650512695,407.6469801159826,1,102,405,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,0.9964327812194824,403.35819817683546,1,108,399,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.0054094791412354,399.2004398824615,1,114,393,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.0143847465515137,395.1777387764535,1,120,387,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.023362398147583,391.29415644885734,1,126,381,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.033334493637085,387.55376994816686,1,132,375,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.0418238639831543,383.96065793426635,1,138,369,988,1081,960,600,20
-4,4,0.0,-6.0,6.0,1.0498011112213135,380.5188855868561,1,144,363,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.0587773323059082,376.3107557394694,1,150,356,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.0677549839019775,372.2786941486538,1,156,349,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.0767309665679932,368.4283287493155,1,162,342,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.0867056846618652,364.76525986275726,1,168,335,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.0956807136535645,361.29503093900945,1,174,328,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.1046583652496338,358.0230971012553,1,180,321,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.1126375198364258,354.95479172083765,1,186,314,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.121612548828125,352.0952913253637,1,192,307,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.1295931339263916,349.4495792180038,1,198,300,988,1081,960,600,20
-4,5,0.0,-6.0,7.5,1.1390845775604248,347.0224082603219,1,204,293,988,1081,960,600,20
