dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-2,1,0.0,-3.0,1.5,0.05735468864440918,448.1288028491551,1,-449,91,508,692,960,600,20
-3,1,0.0,-4.5,1.5,0.06433773040771484,444.00991178607546,1,-445,90,508,692,960,600,20
-4,2,0.0,-6.0,3.0,0.0743098258972168,437.53770790850683,1,-439,87,508,692,960,600,20
-5,2,0.0,-7.5,3.0,0.0852806568145752,430.09089970141395,1,-432,84,508,692,960,600,20
-6,3,0.0,-9.0,4.5,0.09724950790405273,420.49854819731974,1,-423,80,508,692,960,600,20
-7,3,0.0,-10.5,4.5,0.10822010040283203,409.934518705,1,-413,76,508,692,960,600,20
-8,3,0.0,-12.0,4.5,0.11919069290161133,397.4125673073917,1,-401,72,508,692,960,600,20
-9,3,0.0,-13.5,4.5,0.13115906715393066,383.91369613152574,1,-388,68,508,692,960,600,20
-10,3,0.0,-15.0,4.5,0.14113259315490723,368.4507894033252,1,-373,64,508,692,960,600,20
-11,3,0.0,-16.5,4.5,0.15310144424438477,352.00690601147375,1,-357,60,508,692,960,600,20
-12,3,0.0,-18.0,4.5,0.165069580078125,333.59423743712586,1,-339,56,508,692,960,600,20
-13,3,0.0,-19.5,4.5,0.18102765083312988,314.1974706872341,1,-320,52,508,692,960,600,20
-14,3,0.0,-21.0,4.5,0.19100046157836914,292.82833420933383,1,-299,48,508,692,960,600,20
-14,3,0.0,-21.0,4.5,0.20296931266784668,271.46047679914136,1,-278,44,508,692,960,600,20
-14,3,0.0,-21.0,4.5,0.21593451499938965,250.09421369957465,1,-257,40,508,692,960,600,20
-14,3,0.0,-21.0,4.5,0.22889971733093262,228.72997298202839,1,-236,36,508,692,960,600,20
-14,3,0.0,-21.0,4.5,0.24086904525756836,207.36835096213983,1,-215,32,508,692,960,600,20
-13,3,0.0,-19.5,4.5,0.247849702835083,187.9898987322333,1,-196,28,508,692,960,600,20
-12,3,0.0,-18.0,4.5,0.25682640075683594,169.61069010501575,1,-178,24,508,692,960,600,20
-11,3,0.0,-16.5,4.5,0.26580214500427246,153.22989922192565,1,-162,20,508,692,960,600,20
-10,3,0.0,-15.0,4.5,0.27378129959106445,137.8681845428556,1,-147,16,508,692,960,600,20
-9,3,0.0,-13.5,4.5,0.283754825592041,124.53624047073711,1,-134,12,508,692,960,600,20
-8,3,0.0,-12.0,4.5,0.2977180480957031,112.2620137246234,1,-122,8,508,692,960,600,20
-7,3,0.0,-10.5,4.5,0.304699182510376,102.0714058089752,1,-112,4,508,692,960,600,20
-6,3,0.0,-9.0,4.5,0.31267809867858887,93.0,1,-103,0,508,692,960,600,20
-6,3,0.0,-9.0,4.5,0.32265162467956543,84.08506789071261,1,-94,-4,508,692,960,600,20
-5,3,0.0,-7.5,4.5,0.33162832260131836,77.36704184073076,1,-87,-8,508,692,960,600,20
-5,3,0.0,-7.5,4.5,0.3416018486022949,70.89499366462674,1,-80,-12,508,692,960,600,20
-5,3,0.0,-7.5,4.5,0.3515758514404297,64.73285756613352,1,-73,-16,508,692,960,600,20
-5,3,0.0,-7.5,4.5,0.360551118850708,58.963758598266665,1,-66,-20,508,692,960,600,20
-5,3,0.0,-7.5,4.5,0.3715217113494873,53.694583757176716,1,-59,-24,508,692,960,600,20
-5,2,0.01,-7.5,3.0,0.37850308418273926,48.59180830116101,1,-52,-27,508,692,960,600,20
-5,2,0.01,-7.5,3.0,0.38648247718811035,44.08326913195984,1,-45,-30,508,692,960,600,20
-5,1,0.01,-7.5,1.5,0.39745306968688965,39.040799340956916,1,-38,-31,508,692,960,600,20
-4,1,0.01,-6.0,1.5,0.41041994094848633,35.254833995939045,1,-32,-32,508,692,960,600,20
-4,0,0.01,-6.0,-0.0,0.42438173294067383,31.231056256176608,1,-26,-32,508,692,960,600,20
-3,0,0.02,-4.5,-0.0,0.43335819244384766,28.8329756778952,1,-22,-32,508,692,960,600,20
-3,-1,0.03,-4.5,-1.5,0.44133687019348145,25.84689665786984,1,-18,-31,508,692,960,600,20
-3,-1,0.03,-4.5,-1.5,0.454303503036499,23.105890714493697,1,-14,-30,508,692,960,600,20
-3,-1,0.04,-4.5,-1.5,0.4682652950286865,20.675723300355934,1,-10,-29,508,692,960,600,20
-3,-1,0.06,-4.5,-1.5,0.479236364364624,18.635642126552707,1,-6,-28,508,692,960,600,20
-2,-1,0.08,-3.0,-1.5,0.48821282386779785,17.16615541441225,1,-3,-27,508,692,960,600,20
-2,-1,0.1,-3.0,-1.5,0.49619221687316895,16.0,1,0,-26,508,692,960,600,20
-2,-1,0.12,-3.0,-1.5,0.5041704177856445,15.179356624028344,1,3,-25,508,692,960,600,20
-2,-1,0.14,-3.0,-1.5,0.5131468772888184,14.738633753705962,1,6,-24,508,692,960,600,20
-2,-1,0.15,-3.0,-1.5,0.5221230983734131,14.698178070456937,1,9,-23,508,692,960,600,20
-2,-1,0.16,-3.0,-1.5,0.5310995578765869,15.059928172283335,1,12,-22,508,692,960,600,20
