dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
1,3,0.0,1.0,3.0,0.05681920051574707,571.4206738670375,1,213,541,1036,968,822,424,20
1,5,0.0,1.0,5.0,0.06379938125610352,566.4026370515666,1,212,536,1036,968,822,424,20
1,7,0.0,1.0,7.0,0.07180666923522949,559.5278746470624,1,211,529,1036,968,822,424,20
0,9,0.0,-0.0,9.0,0.08078408241271973,551.1782248091955,1,211,520,1036,968,822,424,20
-2,10,0.0,-2.0,10.0,0.08973026275634766,542.6925004014438,1,213,510,1036,968,822,424,20
-4,12,0.0,-4.0,12.0,0.09971475601196289,533.2246312530389,1,217,498,1036,968,822,424,20
-6,13,0.0,-6.0,13.0,0.1077110767364502,523.8108279156578,1,223,485,1036,968,822,424,20
-8,14,0.0,-8.0,14.0,0.11765623092651367,514.5969881728258,1,231,471,1036,968,822,424,20
-9,15,0.0,-9.0,15.0,0.12564778327941895,505.3018532860133,1,240,456,1036,968,822,424,20
-10,15,0.0,-10.0,15.0,0.13560819625854492,496.9329344203235,1,250,441,1036,968,822,424,20
-10,16,0.0,-10.0,16.0,0.14261722564697266,488.2218381404011,1,260,425,1036,968,822,424,20
-9,16,0.0,-9.0,16.0,0.15256333351135254,479.532429977831,1,269,409,1036,968,822,424,20
-8,16,0.0,-8.0,16.0,0.16054248809814453,470.80973367851027,1,277,393,1036,968,822,424,20
-6,16,0.0,-6.0,16.0,0.1705152988433838,461.40004242681186,1,283,377,1036,968,822,424,20
-5,15,0.0,-5.0,15.0,0.17849493026733398,452.5883699359507,1,288,362,1036,968,822,424,20
-3,14,0.0,-3.0,14.0,0.18846750259399414,443.6353160855094,1,291,348,1036,968,822,424,20
-1,13,0.0,-1.0,13.0,0.1984412670135498,434.3973447265409,1,292,335,1036,968,822,424,20
1,12,0.0,1.0,12.0,0.20741653442382812,424.752803326212,1,291,323,1036,968,822,424,20
3,11,0.0,3.0,11.0,0.21639323234558105,414.60334431089916,1,288,312,1036,968,822,424,20
4,11,0.0,4.0,11.0,0.22437191009521484,403.83209155405046,1,284,301,1036,968,822,424,20
5,11,0.0,5.0,11.0,0.23235082626342773,392.4189359361709,1,279,290,1036,968,822,424,20
5,11,0.0,5.0,11.0,0.2413318157196045,381.0460330958492,1,274,279,1036,968,822,424,20
5,11,0.0,5.0,11.0,0.2523033618927002,369.71699988280744,1,269,268,1036,968,822,424,20
5,11,0.0,5.0,11.0,0.2592787742614746,358.4358831601504,1,264,257,1036,968,822,424,20
4,11,0.0,4.0,11.0,0.2672567367553711,347.9329546158051,1,260,246,1036,968,822,424,20
3,10,0.0,3.0,10.0,0.2752361297607422,338.919761549844,1,257,236,1036,968,822,424,20
2,9,0.0,2.0,9.0,0.28520989418029785,331.40005858230313,1,255,227,1036,968,822,424,20
1,8,0.0,1.0,8.0,0.2942075729370117,325.37590849671955,1,254,219,1036,968,822,424,20
0,7,0.0,-0.0,7.0,0.3031916618347168,320.84739684634064,1,254,212,1036,968,822,424,20
0,6,0.0,-0.0,6.0,0.31014275550842285,317.0351663047875,1,254,206,1036,968,822,424,20
-1,5,0.0,-1.0,5.0,0.31812143325805664,314.69370181757455,1,255,201,1036,968,822,424,20
-1,5,0.0,-1.0,5.0,0.3271055221557617,312.41588050218616,1,256,196,1036,968,822,424,20
-1,4,0.0,-1.0,4.0,0.3360745906829834,310.80056109676616,1,257,192,1036,968,822,424,20
-1,4,0.0,-1.0,4.0,0.342057466506958,309.2303243741108,1,258,188,1036,968,822,424,20
0,3,0.0,-0.0,3.0,0.35205936431884766,307.47283348343365,1,258,185,1036,968,822,424,20
1,3,0.0,1.0,3.0,0.3610076904296875,304.91744950065885,1,257,182,1036,968,822,424,20
2,3,0.0,2.0,3.0,0.3699839115142822,301.55416864487626,1,255,179,1036,968,822,424,20
3,3,0.0,3.0,3.0,0.3779928684234619,297.37599125501004,1,252,176,1036,968,822,424,20
4,3,0.0,4.0,3.0,0.3879525661468506,292.3789013803708,1,248,173,1036,968,822,424,20
5,3,0.0,5.0,3.0,0.39591407775878906,286.56196654325043,1,243,170,1036,968,822,424,20
6,3,0.0,6.0,3.0,0.4048900604248047,279.9275771636772,1,237,167,1036,968,822,424,20
7,3,0.0,7.0,3.0,0.41486406326293945,272.48185782453356,1,230,164,1036,968,822,424,20
8,3,0.0,8.0,3.0,0.42284274101257324,264.23530042647684,1,222,161,1036,968,822,424,20
9,3,0.0,9.0,3.0,0.43082189559936523,255.20369529853838,1,213,158,1036,968,822,424,20
10,3,0.0,10.0,3.0,0.43979763984680176,245.4094751570505,1,203,155,1036,968,822,424,20
11,3,0.0,11.0,3.0,0.44777560234069824,234.88364584022347,1,192,152,1036,968,822,424,20
12,3,0.0,12.0,3.0,0.45675134658813477,223.66856870362346,1,180,149,1036,968,822,424,20
13,3,0.0,13.0,3.0,0.46672677993774414,211.82200071228283,1,167,146,1036,968,822,424,20
14,3,0.0,14.0,3.0,0.4747049808502197,199.42301688209918,1,153,143,1036,968,822,424,20
15,3,0.0,15.0,3.0,0.48368072509765625,186.5807722031837,1,138,140,1036,968,822,424,20
15,3,0.0,15.0,3.0,0.49165940284729004,174.1140950606444,1,123,137,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5016319751739502,161.32717239247253,1,108,133,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5106213092803955,149.02829936838285,1,93,129,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5205812454223633,137.33974345029924,1,78,125,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5265655517578125,126.41847382227965,1,63,121,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5365664958953857,116.46343345014795,1,48,117,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5445454120635986,107.72000679578642,1,33,113,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5534944534301758,100.47624178980746,1,18,109,1036,968,822,424,20
15,4,0.0,15.0,4.0,0.5634670257568359,95.04284840006957,1,3,105,1036,968,822,424,20
14,4,0.0,14.0,4.0,0.5724706649780273,91.59724405711013,1,-11,101,1036,968,822,424,20
13,4,0.0,13.0,4.0,0.5824172496795654,89.92497185388645,1,-24,97,1036,968,822,424,20
12,4,0.0,12.0,4.0,0.591392993927002,89.72462083156798,1,-36,93,1036,968,822,424,20
11,4,0.0,11.0,4.0,0.6013658046722412,90.64790112068906,1,-47,89,1036,968,822,424,20
10,4,0.0,10.0,4.0,0.6083612442016602,92.34256201600583,1,-57,85,1036,968,822,424,20
9,4,0.0,9.0,4.0,0.6163263320922852,94.48444860360799,1,-66,81,1036,968,822,424,20
8,4,0.0,8.0,4.0,0.6263055801391602,96.7941945987702,1,-74,77,1036,968,822,424,20
7,4,0.0,7.0,4.0,0.635305643081665,99.04127658827184,1,-81,73,1036,968,822,424,20
6,4,0.0,6.0,4.0,0.6432549953460693,101.04053313993049,1,-87,69,1036,968,822,424,20
5,3,0.0,5.0,3.0,0.6522305011749268,103.22543883774529,1,-92,66,1036,968,822,424,20
4,3,0.0,4.0,3.0,0.6602098941802979,104.82595525402782,1,-96,63,1036,968,822,424,20
3,3,0.0,3.0,3.0,0.6702075004577637,105.76268828944843,1,-99,60,1036,968,822,424,20
3,2,0.0,3.0,2.0,0.6781620979309082,107.33712115098103,1,-102,58,1036,968,822,424,20
2,2,0.0,2.0,2.0,0.6871583461761475,108.1185844818672,1,-104,56,1036,968,822,424,20
2,2,0.0,2.0,2.0,0.6951510906219482,108.96217886370441,1,-106,54,1036,968,822,424,20
2,2,0.0,2.0,2.0,0.7041456699371338,109.86659251017358,1,-108,52,1036,968,822,424,20
2,2,0.0,2.0,2.0,0.7170815467834473,110.83045973594572,1,-110,50,1036,968,822,424,20
2,2,0.0,2.0,2.0,0.724062442779541,111.85236969382254,1,-112,48,1036,968,822,424,20
2,1,0.0,2.0,1.0,0.7320456504821777,113.30855606972291,1,-114,47,1036,968,822,424,20
2,1,0.0,2.0,1.0,0.7410378456115723,114.78781991845197,1,-116,46,1036,968,822,424,20
2,1,0.0,2.0,1.0,0.750990629196167,116.28935030318273,1,-118,45,1036,968,822,424,20
1,0,0.0,1.0,-0.0,0.7589693069458008,117.22421153223941,1,-119,45,1036,968,822,424,20
1,0,0.0,1.0,-0.0,0.7689738273620605,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.01,-0.0,-0.0,0.7779190540313721,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.02,-0.0,-0.0,0.7869279384613037,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.04,-0.0,-0.0,0.7929098606109619,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.12,-0.0,-0.0,0.8034579753875732,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.06,-0.0,-0.0,0.8114075660705566,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.14,-0.0,-0.0,0.8213810920715332,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.09,-0.0,-0.0,0.8313536643981934,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.13,-0.0,-0.0,0.839331865310669,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.1,-0.0,-0.0,0.8503036499023438,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.28,-0.0,-0.0,0.8573174476623535,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.27,-0.0,-0.0,0.8652637004852295,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.2,-0.0,-0.0,0.874239444732666,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.1,-0.0,-0.0,0.8842127323150635,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.8921916484832764,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.17,-0.0,-0.0,0.902165412902832,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.09,-0.0,-0.0,0.9111416339874268,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.05,-0.0,-0.0,0.9211142063140869,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.07,-0.0,-0.0,0.9280970096588135,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.11,-0.0,-0.0,0.93607497215271,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.15,-0.0,-0.0,0.944054126739502,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9520328044891357,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9610090255737305,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9689860343933105,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9779624938964844,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9869387149810791,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,0.9939210414886475,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0024137496948242,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0113906860351562,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0203685760498047,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.028346061706543,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.039316177368164,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0472979545593262,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0572679042816162,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0662510395050049,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0752196311950684,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0831990242004395,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0911774635314941,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.0991559028625488,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1081316471099854,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1191141605377197,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1260840892791748,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1360573768615723,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1450340747833252,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1530120372772217,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1609916687011719,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.170964002609253,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.178943157196045,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1889166831970215,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.1968953609466553,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.205871820449829,118.16005617976296,1,-120,45,1036,968,822,424,20
0,0,0.16,-0.0,-0.0,1.2148473262786865,118.16005617976296,1,-120,45,1036,968,822,424,20
