dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-2,1,0.0,-3.0,1.5,0.06382942199707031,1235.0510029713641,1,-1134,514,22,941,1159,426,20
-1,1,0.0,-1.5,1.5,0.07081294059753418,1233.727462107354,1,-1133,513,22,941,1159,426,20
0,1,0.0,-0.0,1.5,0.07879161834716797,1233.3153260536926,1,-1133,512,22,941,1159,426,20
2,0,0.0,3.0,-0.0,0.08976101875305176,1236.0497582360024,1,-1136,512,22,941,1159,426,20
4,-1,0.0,6.0,-1.5,0.09674215316772461,1241.9317074026044,1,-1142,513,22,941,1159,426,20
3,1,0.0,4.5,1.5,0.1047210693359375,1245.1732948083304,1,-1146,512,22,941,1159,426,20
2,1,0.0,3.0,1.5,0.11369776725769043,1247.5062624098537,1,-1149,511,22,941,1159,426,20
1,2,0.0,1.5,3.0,0.12269353866577148,1247.2048361345098,1,-1150,508,22,941,1159,426,20
0,3,0.0,-0.0,4.5,0.13164949417114258,1245.593883387459,1,-1150,504,22,941,1159,426,20
-1,3,0.0,-1.5,4.5,0.13962960243225098,1243.0766137790617,1,-1149,500,22,941,1159,426,20
-1,4,0.0,-1.5,6.0,0.14861297607421875,1239.7759799260025,1,-1148,494,22,941,1159,426,20
-1,4,0.0,-1.5,6.0,0.15658330917358398,1236.4962896053883,1,-1147,488,22,941,1159,426,20
-1,5,0.0,-1.5,7.5,0.1655595302581787,1232.8503530192202,1,-1146,481,22,941,1159,426,20
0,5,0.0,-0.0,7.5,0.1735382080078125,1230.1580544430617,1,-1146,474,22,941,1159,426,20
0,5,0.0,-0.0,7.5,0.18351244926452637,1227.4994949493919,1,-1146,467,22,941,1159,426,20
0,6,0.0,-0.0,9.0,0.19149017333984375,1224.1312734065204,1,-1146,458,22,941,1159,426,20
0,6,0.0,-0.0,9.0,0.20046687126159668,1220.8196456020678,1,-1146,449,22,941,1159,426,20
-1,6,0.0,-1.5,9.0,0.2094430923461914,1216.6315665268035,1,-1145,440,22,941,1159,426,20
-2,7,0.0,-3.0,10.5,0.2174227237701416,1210.272100803751,1,-1142,430,22,941,1159,426,20
-3,7,0.0,-4.5,10.5,0.22540068626403809,1203.030914692614,1,-1138,420,22,941,1159,426,20
-4,8,0.0,-6.0,12.0,0.2343769073486328,1193.2821780447011,1,-1132,408,22,941,1159,426,20
