dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-1,0,0.0,-1.5,-0.0,0.06482720375061035,80.52071586106685,1,-65,63,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.07380318641662598,79.10667763978185,1,-64,62,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.0827794075012207,77.69264507357501,1,-63,61,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.09175562858581543,76.27861844049197,1,-62,60,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.09973382949829102,74.86459803710851,1,-61,59,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.10970735549926758,73.45058418010026,1,-60,58,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.1186833381652832,72.03657720797473,1,-59,57,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.12765955924987793,70.62257748298549,1,-58,56,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.13663625717163086,69.20858539325141,1,-57,55,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.14461517333984375,67.79460135510689,1,-56,54,894,663,960,600,20
-1,1,0.0,-1.5,1.5,0.1545875072479248,66.38062581571324,1,-55,53,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.16356396675109863,64.96665925596525,1,-54,52,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.17154264450073242,63.55270219373317,1,-53,51,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.18151593208312988,62.13875518748573,1,-52,50,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.18949508666992188,60.724818840347695,1,-51,49,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.19946837425231934,59.31089380465383,1,-50,48,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.209442138671875,57.896980787071826,1,-49,47,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.21742033958435059,56.483080554378645,1,-48,46,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.226395845413208,55.06919393998976,1,-47,45,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.24335098266601562,53.655321851358195,1,-46,44,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.2513296604156494,52.24146527838174,1,-45,43,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.2623004913330078,50.8276253029822,1,-44,42,894,663,960,600,20
-1,1,0.01,-1.5,1.5,0.27626466751098633,49.413803110051795,1,-43,41,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.2842419147491455,48.0,1,-42,40,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.2922208309173584,46.586217403180434,1,-41,39,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.3001995086669922,45.17245689653489,1,-40,38,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.3091754913330078,43.75872022286245,1,-39,37,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.3171536922454834,42.3450093132096,1,-38,36,894,663,960,600,20
-1,1,0.02,-1.5,1.5,0.32712793350219727,40.93132631298737,1,-37,35,894,663,960,600,20
-1,1,0.03,-1.5,1.5,0.33510637283325195,39.51767361255979,1,-36,34,894,663,960,600,20
-1,1,0.03,-1.5,1.5,0.3440818786621094,38.104053883222775,1,-35,33,894,663,960,600,20
-1,1,0.03,-1.5,1.5,0.35405611991882324,36.69047011971501,1,-34,32,894,663,960,600,20
-1,1,0.03,-1.5,1.5,0.36303186416625977,35.27692569068709,1,-33,31,894,663,960,600,20
-1,1,0.04,-1.5,1.5,0.3720076084136963,33.86342439892262,1,-32,30,894,663,960,600,20
-1,1,0.04,-1.5,1.5,0.3809843063354492,32.44997055358225,1,-31,29,894,663,960,600,20
-1,1,0.04,-1.5,1.5,0.3889627456665039,31.036569057366385,1,-30,28,894,663,960,600,20
-1,1,0.05,-1.5,1.5,0.39793968200683594,29.6232255123179,1,-29,27,894,663,960,600,20
-1,1,0.05,-1.5,1.5,0.40691566467285156,28.209946349085598,1,-28,26,894,663,960,600,20
-1,1,0.06,-1.5,1.5,0.41489410400390625,26.796738985948195,1,-27,25,894,663,960,600,20
-1,1,0.06,-1.5,1.5,0.4238698482513428,25.383612025908263,1,-26,24,894,663,960,600,20
-1,1,0.07,-1.5,1.5,0.4328453540802002,23.97057550292606,1,-25,23,894,663,960,600,20
-1,1,0.07,-1.5,1.5,0.44281888008117676,22.557641192199412,1,-24,22,894,663,960,600,20
-1,1,0.08,-1.5,1.5,0.45079779624938965,21.144823004794873,1,-23,21,894,663,960,600,20
-1,1,0.08,-1.5,1.5,0.4607715606689453,19.732137494637012,1,-22,20,894,663,960,600,20
-1,1,0.09,-1.5,1.5,0.46974730491638184,18.319604517012593,1,-21,19,894,663,960,600,20
-1,1,0.1,-1.5,1.5,0.47872328758239746,16.90724809414742,1,-20,18,894,663,960,600,20
-1,1,0.11,-1.5,1.5,0.4876992702484131,15.495097567963924,1,-19,17,894,663,960,600,20
-1,1,0.11,-1.5,1.5,0.4986705780029297,14.083189157584592,1,-18,16,894,663,960,600,20
-1,1,0.12,-1.5,1.5,0.5066485404968262,12.671568097509269,1,-17,15,894,663,960,600,20
-1,1,0.13,-1.5,1.5,0.5146281719207764,11.2602916254693,1,-16,14,894,663,960,600,20
-1,1,0.14,-1.5,1.5,0.5236034393310547,9.849433241279208,1,-15,13,894,663,960,600,20
-1,1,0.15,-1.5,1.5,0.008976221084594727,630.1619513081172,2,408,492,1316,1143,909,650,19
