targetSize,pdx,pdy,btn
20,0,7,0
20,1,9,0
20,3,11,0
20,4,12,0
20,5,13,0
20,6,13,0
20,6,13,0
20,7,13,0
20,7,13,0
20,8,12,0
20,8,12,0
20,8,12,0
20,8,11,0
20,8,11,0
20,8,10,0
20,7,10,0
20,7,9,0
20,7,8,0
20,7,7,0
20,6,6,0
20,6,6,0
20,6,5,0
20,5,5,0
20,5,4,0
20,5,4,0
20,4,4,0
20,4,4,0
20,4,4,0
20,4,4,0
20,4,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,3,4,0
20,4,3,0
20,4,3,0
20,4,3,0
20,4,2,0
20,4,2,0
20,4,2,0
20,4,2,0
20,4,2,0
20,4,2,0
20,4,2,0
20,3,2,0
20,3,2,0
63,2,2,0
63,0,1,0
63,0,1,0
63,0,1,0
63,0,1,0
63,0,1,0
63,0,1,0
63,0,1,0
63,1,-1,0
63,1,0,0
63,0,1,0
63,0,1,0
63,0,1,0
63,-1,0,0
63,-4,-1,0
63,-6,-1,0
63,-9,-3,0
63,-12,-7,0
63,-15,-12,0
63,-16,-15,0
63,-18,-16,0
63,-20,-18,0
63,-21,-19,0
63,-23,-20,0
63,-24,-21,0
63,-25,-21,0
63,-25,-20,0
63,-24,-19,0
63,-23,-18,0
63,-21,-16,0
63,-19,-15,0
63,-18,-13,0
63,-17,-11,0
63,-16,-10,0
63,-14,-9,0
63,-13,-8,0
63,-11,-7,0
63,-10,-6,0
63,-9,-6,0
63,-8,-5,0
63,-7,-5,0
63,-7,-5,0
63,-6,-5,0
63,-6,-4,0
63,-6,-4,0
63,-6,-4,0
63,-6,-4,0
63,-6,-4,0
63,-6,-4,0
63,-6,-4,0
63,-6,-3,0
63,-6,-3,0
63,-6,-3,0
63,-6,-3,0
63,-6,-3,0
63,-6,-3,0
63,-6,-3,0
46,-6,-3,0
46,-8,-1,0
46,-8,-2,0
46,-6,-2,0
46,-7,-2,0
46,-5,-1,0
46,-4,-1,0
46,-4,-1,0
46,0,0,0
46,1,0,0
46,0,0,0
46,-4,-1,0
46,-7,-2,0
46,-8,-2,0
46,-7,-2,0
46,-3,0,0
46,0,1,0
46,1,1,0
46,5,2,0
46,7,1,0
46,7,-2,0
46,7,-3,0
46,7,-4,0
46,6,-4,0
46,6,-5,0
46,6,-5,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,6,-6,0
46,5,-6,0
46,5,-6,0
46,5,-5,0
46,5,-5,0
46,5,-5,0
46,4,-5,0
46,4,-4,0
46,4,-4,0
46,4,-4,0
46,3,-3,0
46,3,-3,0
46,3,-3,0
46,3,-2,0
46,3,-2,0
46,3,-2,0
46,3,-2,0
46,3,-1,0
46,3,-1,0
46,4,-1,0
46,4,-1,0
46,4,-1,0
46,5,0,0
46,5,0,0
46,5,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,0,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,6,-1,0
46,5,-1,0
46,5,-1,0
46,5,-1,0
46,5,-1,0
46,5,-1,0
46,5,-1,0
46,4,-1,0
46,4,-1,0
46,4,0,0
46,4,0,0
46,4,0,0
46,4,1,0
46,4,1,0
46,4,1,0
46,3,2,0
46,3,2,0
7,3,1,0
7,3,1,0
7,6,7,0
7,7,11,0
7,8,14,0
7,8,15,0
7,6,15,0
7,8,17,0
7,7,18,0
7,7,18,0
7,6,14,0
7,3,12,0
7,2,11,0
7,2,11,0
7,2,11,0
7,1,11,0
7,1,11,0
7,0,11,0
7,-1,11,0
7,-2,9,0
7,-1,9,0
7,-1,8,0
7,-1,7,0
7,-1,7,0
7,-1,7,0
7,-1,7,0
7,-1,7,0
7,-1,7,0
7,-1,6,0
7,0,6,0
7,0,6,0
7,0,6,0
7,0,6,0
7,0,6,0
7,0,6,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,5,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,4,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,3,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
7,0,2,0
67,0,1,0
67,0,1,0
67,0,1,0
67,0,1,0
67,-1,2,0
67,-1,2,0
67,-1,2,0
67,-2,1,0
67,-2,2,0
67,-3,3,0
67,-4,5,0
67,-5,5,0
67,-9,5,0
67,-12,6,0
67,-13,6,0
67,-13,5,0
67,-15,5,0
67,-14,4,0
67,-16,3,0
67,-16,2,0
67,-17,3,0
67,-18,2,0
67,-19,2,0
67,-20,1,0
67,-20,1,0
67,-20,0,0
67,-20,0,0
67,-19,0,0
67,-18,-1,0
67,-17,-1,0
67,-16,-1,0
67,-15,-1,0
67,-14,-1,0
67,-13,-1,0
67,-12,-1,0
67,-12,-1,0
67,-11,-1,0
67,-11,-1,0
67,-11,-1,0
67,-11,-1,0
67,-11,-1,0
67,-11,-1,0
67,-10,-1,0
62,-10,-1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,1,0
62,0,0,0
62,-1,0,0
62,-2,0,0
62,-3,0,0
62,-4,-2,0
62,-6,-4,0
62,-6,-6,0
62,-8,-7,0
62,-9,-8,0
62,-10,-10,0
62,-12,-11,0
62,-13,-12,0
62,-14,-13,0
62,-15,-13,0
62,-16,-13,0
62,-16,-13,0
62,-16,-13,0
62,-15,-12,0
62,-14,-12,0
62,-13,-11,0
62,-12,-10,0
62,-11,-9,0
62,-11,-8,0
62,-10,-7,0
62,-9,-6,0
62,-8,-5,0
62,-7,-4,0
62,-6,-4,0
62,-6,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
62,-5,-3,0
50,-5,-3,0
50,-8,0,0
50,-8,-2,0
50,-6,-2,0
50,-7,-2,0
50,-5,-1,0
50,-3,-1,0
50,-1,0,0
50,5,1,0
50,8,2,0
50,10,2,0
50,9,2,0
50,10,3,0
50,8,2,0
50,4,1,0
50,4,1,0
50,2,1,0
50,2,1,0
50,5,1,0
50,8,-1,0
50,9,-4,0
50,9,-5,0
50,9,-6,0
50,8,-7,0
50,7,-7,0
50,7,-7,0
50,7,-7,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-8,0
50,7,-7,0
50,7,-7,0
50,6,-7,0
50,6,-7,0
50,6,-6,0
50,6,-6,0
50,5,-6,0
50,5,-5,0
50,5,-5,0
50,4,-4,0
50,4,-4,0
50,4,-4,0
50,4,-3,0
50,4,-3,0
50,4,-2,0
50,4,-2,0
50,4,-2,0
50,4,-1,0
50,4,-1,0
50,4,-1,0
50,5,-1,0
50,5,0,0
50,6,0,0
50,6,0,0
50,6,0,0
50,6,0,0
50,6,0,0
50,6,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,7,0,0
50,6,0,0
50,6,0,0
50,5,0,0
50,5,0,0
50,4,0,0
50,4,0,0
50,4,0,0
50,4,0,0
50,4,0,0
50,4,0,0
50,3,0,0
50,3,0,0
25,2,0,0
25,2,1,0
25,5,8,0
25,6,13,0
25,7,17,0
25,7,19,0
25,6,19,0
25,8,21,0
25,6,24,0
25,8,24,0
25,10,21,0
25,9,19,0
25,7,18,0
25,6,18,0
25,3,16,0
25,2,16,0
25,3,18,0
25,3,17,0
25,3,18,0
25,4,15,0
25,4,13,0
25,4,11,0
25,3,10,0
25,3,9,0
25,2,9,0
25,2,9,0
25,2,9,0
25,2,8,0
25,2,8,0
25,2,7,0
25,2,7,0
25,2,7,0
25,2,6,0
25,2,6,0
25,2,6,0
25,2,6,0
25,2,6,0
25,1,6,0
25,1,6,0
25,1,6,0
25,1,6,0
25,1,6,0
25,1,6,0
25,1,5,0
25,1,5,0
25,1,5,0
25,1,5,0
25,1,4,0
25,1,4,0
25,0,4,0
25,0,4,0
25,0,4,0
25,0,4,0
25,0,4,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,3,0
25,0,2,0
25,0,2,0
57,0,2,0
57,3,1,0
57,7,2,0
57,10,2,0
57,11,0,0
57,7,-1,0
57,8,-2,0
57,10,-4,0
57,9,-5,0
57,7,-7,0
57,2,-10,0
57,-4,-11,0
57,-4,-13,0
57,-5,-15,0
57,-7,-18,0
57,-3,-19,0
57,2,-18,0
57,7,-18,0
57,11,-17,0
57,12,-15,0
57,11,-15,0
57,10,-15,0
57,9,-15,0
57,9,-15,0
57,9,-14,0
57,9,-14,0
57,9,-13,0
57,9,-13,0
57,8,-12,0
57,7,-12,0
57,6,-11,0
57,5,-10,0
57,4,-9,0
57,3,-8,0
57,2,-7,0
