dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize
-3,1,0.0,-4.5,1.5,0.08577156066894531,358.8604072003391,1,-367,-37,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.0937502384185791,352.9944903163132,1,-361,-38,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.09973430633544922,347.13582850226607,1,-355,-39,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.10970759391784668,341.2847847544781,1,-349,-40,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.11968135833740234,335.44174617437307,1,-343,-41,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.13164949417114258,329.60712595586097,1,-337,-42,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.14461565017700195,323.7813655673426,1,-331,-43,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.15259361267089844,317.96493715029965,1,-325,-44,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.16456198692321777,312.158346159152,1,-319,-45,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.17752766609191895,306.36213427020624,1,-313,-46,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.18550610542297363,300.57688259109045,1,-307,-47,589,564,960,600,20
-4,1,0.0,-6.0,1.5,0.19747424125671387,294.8032152061392,1,-301,-48,589,564,960,600,20
-4,2,0.0,-6.0,3.0,0.2104496955871582,289.3760177435728,1,-295,-51,589,564,960,600,20
-4,2,0.0,-6.0,3.0,0.2191319465637207,284.0017006753532,1,-289,-54,589,564,960,600,20
-5,2,0.0,-7.5,3.0,0.23110032081604004,277.70297183032363,1,-282,-57,589,564,960,600,20
-5,2,0.0,-7.5,3.0,0.24306821823120117,271.4693589007514,1,-275,-60,589,564,960,600,20
-6,3,0.0,-9.0,4.5,0.2570312023162842,263.59093552235976,1,-266,-64,589,564,960,600,20
-7,3,0.0,-10.5,4.5,0.2719910144805908,254.87733009829287,1,-256,-68,589,564,960,600,20
-7,4,0.0,-10.5,6.0,0.28894615173339844,246.8890811225732,1,-246,-74,589,564,960,600,20
-6,3,0.0,-9.0,4.5,0.3019118309020996,239.505510961181,1,-237,-78,589,564,960,600,20
-6,1,0.0,-9.0,1.5,0.31343746185302734,231.29857024027308,1,-228,-79,589,564,960,600,20
-6,1,0.0,-9.0,1.5,0.3254051208496094,223.15445524372893,1,-219,-80,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.33338451385498047,214.3680012836055,1,-210,-79,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.34136223793029785,205.60380330597138,1,-201,-78,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.34934091567993164,196.86469007542104,1,-192,-77,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.3593175411224365,188.15398053029367,1,-183,-76,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.36829090118408203,179.47559209565753,1,-174,-75,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.37726664543151855,170.83417818543043,1,-165,-74,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.3862433433532715,162.23530416264836,1,-156,-73,589,564,960,600,20
-6,-1,0.0,-9.0,-1.5,0.3952188491821289,153.68567438844488,1,-147,-72,589,564,960,600,20
-7,-1,0.0,-10.5,-1.5,0.40419507026672363,144.30489298787643,1,-137,-71,589,564,960,600,20
-8,-1,0.0,-12.0,-1.5,0.4126873016357422,133.26548781894402,1,-125,-70,589,564,960,600,20
-8,1,0.0,-12.0,1.5,0.4226529598236084,123.4541119636259,1,-113,-71,589,564,960,600,20
-9,2,0.0,-13.5,3.0,0.4316284656524658,114.4025723206719,1,-100,-74,589,564,960,600,20
-9,-1,0.0,-13.5,-1.5,0.44060397148132324,103.56936206565572,1,-87,-73,589,564,960,600,20
-9,-3,0.0,-13.5,-4.5,0.44958066940307617,91.17806086301516,1,-74,-69,589,564,960,600,20
-10,-5,0.0,-15.0,-7.5,0.45755934715270996,75.58621384311844,1,-59,-62,589,564,960,600,20
-8,-7,0.0,-12.0,-10.5,0.4665353298187256,60.092795635500224,1,-47,-52,589,564,960,600,20
-6,-9,0.0,-9.0,-13.5,0.4755115509033203,44.45181356024793,1,-38,-39,589,564,960,600,20
-7,-6,0.0,-10.5,-9.0,0.4834904670715332,31.036569057366385,1,-28,-30,589,564,960,600,20
-4,-3,0.0,-6.0,-4.5,0.4914686679840088,24.058772731852805,1,-22,-26,589,564,960,600,20
-4,-2,0.0,-6.0,-3.0,0.5004451274871826,18.0178514522438,1,-16,-23,589,564,960,600,20
-2,-1,0.0,-3.0,-1.5,0.5104186534881592,15.553864678361276,1,-13,-22,589,564,960,600,20
-5,3,0.0,-7.5,4.5,0.517399787902832,16.68332812825267,1,-6,-26,589,564,960,600,20
7,-6,0.0,10.5,-9.0,0.526376485824585,13.345235059857504,1,-16,-17,589,564,960,600,20
-6,7,0.0,-9.0,10.5,0.5353519916534424,17.892651361962706,1,-7,-27,589,564,960,600,20
8,-8,0.0,12.0,-12.0,0.5443282127380371,14.20743687382041,1,-19,-15,589,564,960,600,20
3,4,0.0,4.5,6.0,0.553316593170166,21.144823004794873,1,-23,-21,589,564,960,600,20
-6,9,0.0,-9.0,13.5,0.5622806549072266,26.76955262170047,1,-14,-34,589,564,960,600,20
5,-4,0.0,7.5,-6.0,0.5712571144104004,25.0,1,-21,-28,589,564,960,600,20
-6,3,0.0,-9.0,4.5,0.5802328586578369,24.17601498127012,1,-12,-32,589,564,960,600,20
4,-2,0.0,6.0,-3.0,0.5892088413238525,24.132096331752024,1,-18,-29,589,564,960,600,20
-4,3,0.0,-6.0,4.5,0.5971875190734863,25.114099732158877,1,-12,-33,589,564,960,600,20
4,1,0.0,6.0,1.5,0.6061646938323975,28.470768123342687,1,-18,-34,589,564,960,600,20
-1,5,0.0,-1.5,7.5,0.6151394844055176,34.384682042344295,1,-17,-41,589,564,960,600,20
4,4,0.0,6.0,6.0,0.6251134872436523,42.32590180780452,1,-23,-47,589,564,960,600,20
1,3,0.0,1.5,4.5,0.6340892314910889,46.36488268416781,1,-24,-51,589,564,960,600,20
2,3,0.0,3.0,4.5,0.6440632343292236,51.26989472816156,1,-27,-55,589,564,960,600,20
2,3,0.0,3.0,4.5,0.6540365219116211,56.18912297349165,1,-30,-59,589,564,960,600,20
4,2,0.0,6.0,3.0,0.6630125045776367,61.69379331573968,1,-36,-62,589,564,960,600,20
5,1,0.0,7.5,1.5,0.6719889640808105,66.27581530209953,1,-43,-63,589,564,960,600,20
5,1,0.0,7.5,1.5,0.6819624900817871,71.21576201698781,1,-50,-64,589,564,960,600,20
2,2,0.0,3.0,3.0,0.6919360160827637,75.42833253669417,1,-53,-67,589,564,960,600,20
-1,4,0.0,-1.5,6.0,0.7009122371673584,79.62700485902673,1,-52,-73,589,564,960,600,20
4,2,0.0,6.0,3.0,0.7088897228240967,85.60334722173695,1,-58,-76,589,564,960,600,20
2,3,0.0,3.0,4.5,0.7178664207458496,90.60318086422517,1,-61,-80,589,564,960,600,20
2,1,0.0,3.0,1.5,0.7258455753326416,93.23274674249446,1,-64,-81,589,564,960,600,20
1,1,0.0,1.5,1.5,0.73484206199646,94.63746938836012,1,-65,-82,589,564,960,600,20
-1,3,0.0,-1.5,4.5,0.7447950839996338,97.20074626605917,1,-64,-86,589,564,960,600,20
1,1,0.0,1.5,1.5,0.7527732849121094,98.60018416190647,1,-65,-87,589,564,960,600,20
1,2,0.0,1.5,3.0,0.7617616653442383,101.60645142642964,1,-66,-90,589,564,960,600,20
-2,-6,0.0,-3.0,-9.0,0.7707259654998779,92.61578825892242,1,-63,-81,589,564,960,600,20
-2,-7,0.0,-3.0,-10.5,0.7806999683380127,82.9569792968769,1,-60,-71,589,564,960,600,20
-3,-8,0.0,-4.5,-12.0,0.7887053489685059,71.34494452638098,1,-56,-59,589,564,960,600,20
-2,-7,0.0,-3.0,-10.5,0.797654390335083,62.180329730474355,1,-53,-49,589,564,960,600,20
-3,-8,0.0,-4.5,-12.0,0.8076281547546387,51.40032573203501,1,-49,-37,589,564,960,600,20
-4,-7,0.0,-6.0,-10.5,0.8156068325042725,40.774009099144415,1,-43,-27,589,564,960,600,20
-5,-3,0.0,-7.5,-4.5,0.8255801200866699,32.720018726587654,1,-36,-23,589,564,960,600,20
-5,-1,0.0,-7.5,-1.5,0.8345565795898438,26.400549446402593,1,-29,-22,589,564,960,600,20
-4,-1,0.0,-6.0,-1.5,0.8435320854187012,21.144823004794873,1,-23,-21,589,564,960,600,20
-4,-1,0.0,-6.0,-1.5,0.8525092601776123,16.248809496813376,1,-17,-20,589,564,960,600,20
-4,-1,0.0,-6.0,-1.5,0.8614845275878906,11.95449840010015,1,-11,-19,589,564,960,600,20
-2,1,0.0,-3.0,1.5,0.8704657554626465,11.540659228538015,1,-8,-20,589,564,960,600,20
3,-1,0.0,4.5,-1.5,0.87843918800354,12.472205054244231,1,-12,-19,589,564,960,600,20
-7,7,0.0,-10.5,10.5,0.8874166011810303,19.068883707497267,1,-2,-29,589,564,960,600,20
5,-9,0.0,7.5,-13.5,0.8963916301727295,8.35755975068582,1,-9,-16,589,564,960,600,20
5,-4,0.0,7.5,-6.0,0.007978439331054688,986.2769231929143,2,958,351,1563,925,598,580,69
