targetSize,pdx,pdy,btn
20,2,-2,0
20,4,-3,0
20,6,-5,0
20,7,-6,0
20,8,-7,0
20,8,-8,0
20,8,-8,0
20,7,-8,0
20,6,-8,0
20,5,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-8,0
20,4,-7,0
20,4,-7,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-6,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-5,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-4,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
20,4,-3,0
7,4,-3,0
7,7,-5,1
7,5,-3,0
7,8,-6,0
7,10,-7,0
7,12,-9,0
7,17,-10,0
7,19,-13,0
7,21,-13,0
7,22,-15,0
7,22,-15,0
7,22,-16,0
7,22,-16,0
7,22,-17,0
7,22,-18,0
7,22,-19,0
7,22,-20,0
7,22,-21,0
7,23,-22,0
7,24,-22,0
7,25,-23,0
7,26,-23,0
7,26,-24,0
7,26,-24,0
7,26,-24,0
7,26,-24,0
7,25,-24,0
7,25,-24,0
7,25,-24,0
7,25,-24,0
7,25,-24,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
7,25,-25,0
